player,position,team,total_passing_distance,total_progressive_passing_distance,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,expected_assisted_goals,expected_assists,assists-expected_assisted_goals,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Patrick van Aanholt,DF,Crystal Palace,13287,5990,545,613,284,361,51,105,0.7,1.7,0.3,11,71,20,4,103
Tammy Abraham,FW,Chelsea,1714,297,85,111,33,46,4,8,0.7,0.2,0.3,9,14,1,0,11
Che Adams,FW,Southampton,6240,1416,228,308,125,162,34,49,5,3,0,37,35,23,1,57
Tosin Adarabioyo,DF,Fulham,33255,12650,484,551,949,1008,196,318,0.3,0.4,-0.3,5,71,5,0,75
Adrián,GK,Liverpool,1796,1138,24,24,33,34,20,40,0,0,0,0,0,0,0,0
Sergio Agüero,FW,Manchester City,1625,219,86,99,34,38,2,2,1.2,0.9,-0.2,7,12,5,1,12
Ola Aina,DF,Fulham,22797,9159,642,717,565,704,112,257,1.5,1.2,-0.5,15,92,15,9,106
Rayan Aït Nouri,DF,Wolves,9828,2664,362,392,248,296,25,57,0.6,0.8,0.4,14,35,16,6,54
Semi Ajayi,DF,West Brom,13941,6401,264,316,374,460,76,188,0.5,0.3,-0.5,7,68,4,0,73
Nathan Aké,DF,Manchester City,11178,3225,348,363,319,336,26,35,0,0.2,0,1,55,2,0,52
Marc Albrighton,"DF,FW",Leicester City,10197,3898,345,408,193,262,67,157,3.5,3.9,1.5,38,54,37,14,84
Thiago Alcántara,MF,Liverpool,26781,7745,704,746,597,658,177,221,2.3,2.2,-2.3,30,205,24,0,203
Toby Alderweireld,DF,Tottenham,24372,8025,365,398,658,713,157,303,0.7,0.8,-0.7,8,64,5,1,59
Rúnar Alex Rúnarsson,GK,Arsenal,100,32,3,3,4,4,0,4,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,DF,Liverpool,40719,15754,1064,1184,897,1145,256,545,8.6,7.5,-1.6,77,193,101,29,251
Ezgjan Alioski,"DF,MF",Leeds United,20073,7163,703,788,521,619,58,147,3.3,2.3,-0.3,28,87,29,12,132
Alisson Becker,GK,Liverpool,22600,14023,223,225,578,590,191,330,0,0,0,0,4,1,0,1
Allan,MF,Everton,14950,4370,430,468,354,405,82,116,0.8,0.8,-0.8,17,88,16,1,92
Dele Alli,MF,Tottenham,3878,882,151,177,99,109,9,20,1.2,0.9,-0.2,9,15,7,1,26
Miguel Almirón,"MF,FW",Newcastle Utd,10715,2430,369,422,245,289,51,92,2.9,2.2,-1.9,31,64,23,7,90
Marcos Alonso,DF,Chelsea,7494,2506,278,306,184,221,24,49,1.3,1,-1.3,15,29,8,1,42
Steven Alzate,MF,Brighton,6190,1326,216,235,142,150,30,35,0.6,0.3,-0.6,11,37,6,1,39
Daniel Amartey,DF,Leicester City,7047,2296,178,195,203,233,26,43,0,0.1,0,0,15,2,0,24
Ethan Ampadu,"DF,MF",Sheffield Utd,15680,5536,370,424,378,446,102,158,1.2,1.1,-1.2,11,76,14,2,100
Joachim Andersen,DF,Fulham,34882,12812,427,491,912,1007,252,442,0.4,0.9,0.6,8,130,6,1,95
Elliot Anderson,MF,Newcastle Utd,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Felipe Anderson,"FW,MF",West Ham,45,23,1,2,2,3,0,0,0,0,0,0,0,0,0,1
Michail Antonio,FW,West Ham,4273,796,192,266,78,122,18,30,3,1.8,2,27,24,13,2,36
Alphonse Areola,GK,Fulham,18222,12486,272,274,254,256,204,465,0,0,0,0,12,1,0,0
Stuart Armstrong,MF,Southampton,15050,4362,563,653,360,420,51,78,2.6,1.8,2.4,35,80,40,7,144
Kepa Arrizabalaga,GK,Chelsea,4701,2827,45,46,103,104,52,94,0,0,0,0,2,0,0,2
Pierre-Emerick Aubameyang,FW,Arsenal,6849,1366,319,380,137,197,24,38,2.4,3,0.6,22,29,22,4,66
Serge Aurier,DF,Tottenham,10939,4252,449,499,255,333,33,59,3.4,1.9,-0.4,18,31,18,9,59
Charlie Austin,"FW,MF",West Brom,297,111,17,20,4,7,1,2,0,0,0,0,2,0,0,3
Jordan Ayew,"FW,MF",Crystal Palace,6434,1218,323,368,136,177,13,25,0.7,1.4,2.3,13,23,12,2,35
Luke Ayling,DF,Leeds United,39595,16160,910,1029,956,1148,248,451,3.2,3.2,-3.2,27,179,32,12,224
César Azpilicueta,DF,Chelsea,27154,9701,935,1012,739,822,62,134,2.5,2.4,-0.5,27,123,22,3,135
Eric Bailly,DF,Manchester Utd,9002,3349,185,200,268,299,37,49,0,0.1,0,0,26,0,0,37
Fabián Balbuena,DF,West Ham,7770,3294,105,127,199,225,55,119,0,0.1,0,0,30,1,0,30
George Baldock,DF,Sheffield Utd,11908,3743,582,647,229,305,36,98,2.9,1.8,-0.9,18,47,23,7,75
Gareth Bale,FW,Tottenham,5015,1496,142,173,87,126,41,72,1.8,1.2,0.2,21,24,17,3,43
Patrick Bamford,FW,Leeds United,4378,832,238,290,85,111,6,10,3.5,1.7,3.5,30,18,11,1,31
Phil Bardsley,DF,Burnley,1713,640,50,56,41,63,11,30,0,0.1,0,0,6,4,2,10
Ross Barkley,MF,Aston Villa,10363,2800,330,383,214,255,65,97,4.2,2.4,-3.2,39,46,25,0,88
Ross Barkley,"FW,MF",Chelsea,437,98,11,14,7,8,5,5,0.1,0,-0.1,1,1,1,0,2
Ashley Barnes,FW,Burnley,2362,506,124,170,38,63,8,22,0.8,0.8,-0.8,18,15,6,1,20
Harvey Barnes,"FW,MF",Leicester City,6331,1534,272,343,135,171,20,37,1.6,2.4,2.4,26,38,17,1,56
Kyle Bartley,DF,West Brom,12274,4688,223,266,345,412,64,131,1.4,0.9,-0.4,7,47,4,0,44
Chris Basham,"DF,MF",Sheffield Utd,14844,4412,493,557,364,426,62,116,0.9,0.9,0.1,11,50,14,6,82
Michy Batshuayi,FW,Crystal Palace,1523,293,81,99,30,37,3,5,1.6,1,-0.6,9,8,5,0,13
Jan Bednarek,DF,Southampton,29051,11094,792,885,795,893,108,269,0.6,1,0.4,5,77,3,0,76
Donny van de Beek,"MF,FW",Manchester Utd,3308,739,146,163,74,80,8,12,0.9,0.8,0.1,3,12,1,0,16
Héctor Bellerín,"DF,MF",Arsenal,15904,4280,603,676,416,497,31,54,2.4,2.6,-0.4,20,69,26,9,108
Saïd Benrahma,"FW,MF",West Ham,5618,1648,251,279,120,161,17,46,4.1,3.2,1.9,27,43,20,8,60
Josh Benson,MF,Burnley,738,273,37,38,15,24,2,7,0,0.1,0,0,7,0,0,6
Christian Benteke,FW,Crystal Palace,4059,800,229,359,63,124,14,19,0.9,1,0.1,15,27,11,1,36
Gaetano Berardi,DF,Leeds United,785,388,24,27,23,28,2,5,0,0,0,0,2,1,0,2
Jóhann Berg Guðmundsson,MF,Burnley,5201,1224,206,243,100,131,28,61,0.5,0.8,-0.5,9,25,12,4,31
Sander Berge,MF,Sheffield Utd,5944,1357,198,229,138,154,28,45,1.1,0.8,-0.1,13,28,4,2,39
Steven Bergwijn,"FW,MF",Tottenham,4248,714,228,254,90,117,4,17,0.9,0.8,2.1,13,15,8,0,25
Bernard,"MF,FW",Everton,3230,813,116,129,81,96,11,18,0.6,0.8,-0.6,10,17,11,3,37
Bernardo,"DF,MF",Brighton,878,251,38,45,17,22,2,4,0.1,0.1,-0.1,2,3,3,1,9
Ryan Bertrand,DF,Southampton,17245,6420,675,773,417,537,45,141,1.3,2,-0.3,14,64,22,6,101
Yves Bissouma,MF,Brighton,25694,5672,637,693,661,725,135,189,0.9,1.4,-0.9,16,145,16,1,146
Jayden Bogle,"DF,MF",Sheffield Utd,3834,1410,189,214,71,96,8,28,0.2,0.4,-0.2,4,14,9,1,24
Willy Boly,DF,Wolves,14746,5591,339,389,430,479,58,125,0.3,0.3,0.7,3,49,1,0,44
Jarrod Bowen,"FW,MF",West Ham,8489,1874,237,301,162,226,63,128,5,4.1,0,29,22,21,6,44
Robbie Brady,MF,Burnley,4172,1284,151,182,68,109,30,74,0.9,0.6,0.1,7,23,6,4,26
Rhian Brewster,"FW,MF",Sheffield Utd,2231,556,98,125,37,54,12,22,1.6,0.6,-1.6,11,15,4,3,20
Nathan Broadhead,FW,Everton,14,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Josh Brownhill,MF,Burnley,12848,3119,561,644,252,330,57,113,0.7,1.4,0.3,18,64,16,2,83
Joe Bryan,"DF,MF",Fulham,4684,1996,160,188,112,147,18,62,0.3,0.4,-0.3,5,27,5,3,31
Kean Bryan,DF,Sheffield Utd,5901,2652,151,179,140,183,32,94,0.6,0.1,-0.6,4,24,3,2,22
Oliver Burke,FW,Sheffield Utd,1997,309,114,150,31,45,4,8,2.2,1.5,-1.2,15,5,10,0,19
Dan Burn,DF,Brighton,14625,4510,508,616,365,461,53,126,0.8,1,-0.8,10,75,14,7,87
Jack Butland,GK,Crystal Palace,215,178,1,1,2,2,3,18,0,0,0,0,1,0,0,0
David Button,GK,West Brom,693,571,2,2,5,5,11,30,0,0,0,0,1,0,0,0
Oskar Buur,DF,Wolves,204,40,5,5,8,8,0,1,0,0,0,0,0,0,0,0
Willy Caballero,GK,Chelsea,449,362,9,9,12,12,3,5,0,0,0,0,0,0,0,0
Gary Cahill,DF,Crystal Palace,11797,4658,230,272,310,340,64,116,0.6,1,0.4,8,35,2,0,46
Tom Cairney,MF,Fulham,9963,2060,247,258,226,246,69,96,1.1,1.1,-0.1,17,51,10,6,72
Dominic Calvert-Lewin,FW,Everton,6095,1186,287,388,112,167,21,28,2,2.1,-2,18,36,12,1,46
João Cancelo,"DF,MF",Manchester City,27535,7458,1038,1117,603,711,117,180,4.6,5.6,-1.6,42,142,68,8,200
Ian Carlo Poveda,MF,Leeds United,1151,341,52,61,20,32,5,9,1.1,0.6,-1.1,5,10,10,2,17
Andy Carroll,FW,Newcastle Utd,1186,322,57,83,20,27,6,11,0.1,0.2,-0.1,2,11,3,0,12
Scott Carson,GK,Manchester City,270,190,3,3,11,11,0,1,0,0,0,0,0,0,0,0
Fabio Carvalho,"MF,FW",Fulham,883,100,43,50,17,22,3,4,0.4,0.3,-0.4,2,2,2,0,6
Matty Cash,DF,Aston Villa,16255,6050,478,542,361,480,101,244,1.7,1.7,0.3,21,73,23,19,76
Kiko Casilla,GK,Leeds United,1824,1175,27,27,43,45,16,25,0,0,0,0,0,0,0,0
