player,position,team,matches_played,starts,minutes_played,90s,goals,assists,goals+assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_passes_received
Ayoze Pérez,"MF,FW",Leicester City,25,15,1331,14.8,2,1,3,2,0,0,2,0,3.3,3.3,1.3,4.6,39,54,114
Kalvin Phillips,MF,Leeds United,29,28,2428,27,1,2,3,1,0,0,10,0,0.5,0.5,3.4,3.9,13,137,14
Matt Phillips,MF,West Brom,33,20,1828,20.3,2,1,3,2,0,0,1,0,2.8,2.8,3.4,6.3,47,51,99
Nathaniel Phillips,DF,Liverpool,17,15,1456,16.2,1,1,2,1,0,0,2,0,1,1,0.6,1.6,9,55,3
Jaden Philogene Bidace,FW,Aston Villa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Pickford,GK,Everton,31,31,2742,30.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Erik Pieters,"DF,MF",Burnley,20,13,1266,14.1,0,1,1,0,0,0,1,0,0.2,0.2,0.4,0.6,14,37,16
Daniel Podence,"MF,FW",Wolves,24,22,1661,18.5,3,2,5,3,0,0,3,0,2.5,2.5,1.7,4.2,47,72,117
Paul Pogba,"MF,FW",Manchester Utd,26,21,1897,21.1,3,3,6,3,0,0,3,0,2.8,2.8,2.4,5.2,46,139,101
Nick Pope,GK,Burnley,32,32,2880,32,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,1,0
Dennis Praet,MF,Leicester City,15,10,718,8,1,1,2,1,0,0,0,0,0.4,0.4,1.1,1.5,22,25,55
Davy Pröpper,MF,Brighton,7,2,213,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,4,14,8
Christian Pulisic,"FW,MF",Chelsea,27,18,1738,19.3,4,2,6,4,0,0,2,0,6.1,6.1,2.8,8.9,86,82,160
Aaron Ramsdale,GK,Sheffield Utd,38,38,3420,38,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,0,0
Jacob Ramsey,MF,Aston Villa,22,6,626,7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,8,23,21
Kayne Ramsey,DF,Southampton,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Darren Randolph,GK,West Ham,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raphinha,"MF,FW",Leeds United,30,26,2360,26.2,6,9,15,6,0,0,3,0,5.7,5.7,7.9,13.6,102,97,222
Marcus Rashford,FW,Manchester Utd,37,33,2920,32.4,11,9,20,11,0,0,4,0,8.9,8.9,3.8,12.8,134,117,330
Tim Ream,DF,Fulham,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,7,31,0
Nathan Redmond,"MF,FW",Southampton,29,17,1738,19.3,2,3,5,2,0,0,1,0,3.1,3.1,3.2,6.2,70,75,149
Harrison Reed,MF,Fulham,31,26,2247,25,0,2,2,0,0,0,5,0,0.4,0.4,1.7,2.1,24,127,16
Sergio Reguilón,DF,Tottenham,27,26,2244,24.9,0,3,3,0,0,0,5,0,1,1,2,3.1,52,73,152
Bobby Reid,"MF,FW",Fulham,33,28,2372,26.4,5,2,7,5,0,0,7,0,3.8,3.8,1.1,4.9,44,67,138
Declan Rice,MF,West Ham,32,32,2879,32,2,1,3,1,1,2,2,0,3.2,1.6,1.8,3.4,74,169,37
Lewis Richardson,"FW,MF",Burnley,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Richarlison,FW,Everton,34,33,2861,31.8,7,3,10,6,1,1,4,1,9.7,8.8,3.3,12.1,113,58,195
Jaïro Riedewald,MF,Crystal Palace,33,19,1820,20.2,2,0,2,2,0,0,4,0,0.6,0.6,0.8,1.3,15,73,23
Matt Ritchie,"DF,MF",Newcastle Utd,18,15,1350,15,0,2,2,0,0,0,2,0,0.4,0.4,2.2,2.6,23,38,42
Tyler Roberts,"MF,FW",Leeds United,27,14,1340,14.9,1,2,3,1,0,0,3,0,1.8,1.8,2.3,4.1,33,53,89
Andrew Robertson,DF,Liverpool,38,38,3383,37.6,1,7,8,1,0,0,2,0,1.5,1.5,6.6,8,119,228,289
Antonee Robinson,DF,Fulham,28,24,2162,24,0,0,0,0,0,0,4,1,0.4,0.4,1.9,2.3,98,82,145
Callum Robinson,"FW,MF",West Brom,28,20,1560,17.3,5,0,5,5,0,0,0,0,3.1,3.1,1,4.1,36,27,119
Jack Robinson,DF,Sheffield Utd,11,9,877,9.7,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,3,22,6
Hal Robson-Kanu,FW,West Brom,19,2,561,6.2,2,0,2,2,0,0,2,0,1.2,1.2,0.2,1.5,8,11,33
Marek Rodák,GK,Fulham,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Rodon,DF,Tottenham,12,8,733,8.1,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0
Rodri,MF,Manchester City,34,31,2748,30.5,2,2,4,1,1,1,6,0,2.4,1.6,1.4,3.1,42,227,31
Rodrigo,"MF,FW",Leeds United,26,14,1288,14.3,7,2,9,7,0,0,3,0,5.1,5.1,3.5,8.7,30,80,118
James Rodríguez,"FW,MF",Everton,23,21,1764,19.6,6,4,10,6,0,0,4,0,2.8,2.8,4.8,7.6,36,133,89
Jay Rodriguez,FW,Burnley,31,12,1265,14.1,1,2,3,1,0,0,3,0,3,3,1.1,4.1,16,23,79
Oriol Romeu,MF,Southampton,21,20,1763,19.6,1,1,2,1,0,0,6,0,0.5,0.5,1.4,1.8,25,91,15
John Ruddy,GK,Wolves,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Rüdiger,DF,Chelsea,19,19,1710,19,1,0,1,1,0,0,0,0,1.3,1.3,0.4,1.7,24,71,6
Mathew Ryan,GK,Arsenal,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,1
Mathew Ryan,GK,Brighton,11,11,990,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Allan Saint-Maximin,"FW,MF",Newcastle Utd,25,19,1560,17.3,3,4,7,3,0,0,0,0,2.6,2.6,3.7,6.3,81,65,86
Romain Saïss,DF,Wolves,27,27,2407,26.7,3,0,3,3,0,0,2,0,3,3,0.2,3.3,12,100,24
Bukayo Saka,"FW,MF",Arsenal,32,30,2553,28.4,5,3,8,5,0,0,1,0,6.9,6.9,4.4,11.3,85,101,269
Mamadou Sakho,DF,Crystal Palace,4,3,276,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,4,2
Mohamed Salah,FW,Liverpool,37,34,3078,34.2,22,5,27,16,6,6,0,0,19.3,14.6,6.2,20.8,111,136,396
Mohammed Salisu,DF,Southampton,12,8,844,9.4,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,8,13,8
Davinson Sánchez,DF,Tottenham,18,17,1486,16.5,0,0,0,0,0,0,1,0,0.8,0.8,0,0.8,2,36,0
Robert Sánchez,GK,Brighton,27,27,2430,27,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
Morgan Sanson,MF,Aston Villa,9,3,294,3.3,0,0,0,0,0,0,3,0,0,0,0.1,0.2,9,16,13
Romaine Sawyers,MF,West Brom,19,17,1487,16.5,0,0,0,0,0,0,2,0,0.1,0.1,0.6,0.7,11,67,9
Dane Scarlett,FW,Tottenham,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Schär,DF,Newcastle Utd,18,13,1246,13.8,1,0,1,0,1,1,4,1,1.3,0.5,0,0.5,6,41,0
Jeffrey Schlupp,MF,Crystal Palace,27,15,1428,15.9,2,3,5,2,0,0,3,0,1.9,1.9,2,4,37,44,75
Kasper Schmeichel,GK,Leicester City,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nélson Semedo,"DF,MF",Wolves,34,34,2983,33.1,1,1,2,1,0,0,5,0,1.3,1.3,1.3,2.6,111,138,155
Femi Seriki,MF,Sheffield Utd,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie Shackleton,"MF,DF",Leeds United,13,3,461,5.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,7,11,21
Xherdan Shaqiri,"MF,FW",Liverpool,14,5,556,6.2,0,2,2,0,0,0,2,0,0.5,0.5,2.5,3,5,54,32
Billy Sharp,FW,Sheffield Utd,16,7,735,8.2,3,0,3,1,2,2,1,0,3,1.5,0.5,2,9,11,65
Luke Shaw,DF,Manchester Utd,32,30,2654,29.5,1,5,6,1,0,0,8,0,0.6,0.6,6.4,7,110,147,209
Jonjo Shelvey,MF,Newcastle Utd,30,29,2617,29.1,1,3,4,1,0,0,7,0,2.5,2.5,3,5.5,20,132,24
Shola Shoretire,FW,Manchester Utd,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Gylfi Sigurðsson,"MF,FW",Everton,36,24,2253,25,6,5,11,3,3,4,2,0,6.5,3.4,3.8,7.2,24,81,78
Bernardo Silva,"MF,FW",Manchester City,26,24,2065,22.9,2,6,8,2,0,0,5,0,2.8,2.8,3.8,6.5,123,116,173
Fábio Silva,FW,Wolves,32,11,1369,15.2,4,3,7,3,1,1,2,0,5.3,4.5,1,5.5,14,17,74
Thiago Silva,DF,Chelsea,23,23,1935,21.5,2,0,2,2,0,0,5,1,1.7,1.7,0.3,2,6,82,1
Moussa Sissoko,MF,Tottenham,25,15,1585,17.6,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.4,32,57,34
Islam Slimani,FW,Leicester City,1,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,1,4
William Smallbone,MF,Southampton,3,2,172,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,5,7,10
Emile Smith Rowe,"MF,FW",Arsenal,20,18,1440,16,2,4,6,2,0,0,0,0,1.8,1.8,3.4,5.1,51,68,113
Robert Snodgrass,"MF,FW",West Brom,8,6,526,5.8,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.7,6,14,25
Robert Snodgrass,"FW,MF",West Ham,3,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Cédric Soares,DF,Arsenal,10,8,746,8.3,0,1,1,0,0,0,1,0,0.3,0.3,0.9,1.2,21,46,40
Tomáš Souček,MF,West Ham,38,38,3419,38,10,1,11,10,0,0,7,1,8.4,8.4,2,10.4,27,165,47
Çağlar Söyüncü,DF,Leicester City,23,19,1819,20.2,1,0,1,1,0,0,2,0,0.7,0.7,0.5,1.2,27,90,2
Zack Steffen,GK,Manchester City,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dale Stephens,MF,Burnley,7,3,261,2.9,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,2,11,1
Jack Stephens,DF,Southampton,18,17,1537,17.1,0,0,0,0,0,0,2,0,0.8,0.8,0.3,1.1,17,65,3
Raheem Sterling,FW,Manchester City,31,28,2536,28.2,10,7,17,10,0,1,4,0,11,10.2,5.7,15.9,129,67,351
Enda Stevens,DF,Sheffield Utd,30,30,2700,30,0,1,1,0,0,0,6,0,1.3,1.3,1.6,2.9,44,124,99
John Stones,DF,Manchester City,22,22,1933,21.5,4,0,4,4,0,0,0,1,1.8,1.8,0.1,1.8,38,101,3
Pascal Struijk,"DF,MF",Leeds United,27,22,2075,23.1,1,0,1,1,0,0,3,0,1.7,1.7,0.1,1.8,4,71,5
Japhet Tanganga,DF,Tottenham,6,6,487,5.4,0,0,0,0,0,0,2,0,0.4,0.4,0.6,1.1,8,14,11
Matt Targett,DF,Aston Villa,38,38,3404,37.8,0,2,2,0,0,0,7,0,0.3,0.3,2.5,2.8,26,231,156
James Tarkowski,DF,Burnley,36,36,3240,36,1,0,1,1,0,0,6,0,3.4,3.4,1.2,4.5,4,83,13
Percy Tau,FW,Brighton,3,1,103,1.1,0,1,1,0,0,0,0,0,0,0,0.4,0.4,4,1,11
Sidnei Tavares,MF,Leicester City,2,1,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,2,6
Charlie Taylor,DF,Burnley,29,28,2426,27,0,1,1,0,0,0,1,0,0.1,0.1,1.4,1.5,62,73,68
Neil Taylor,DF,Aston Villa,1,0,16,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Allan Tchaptchet,DF,Southampton,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Tella,"FW,MF",Southampton,18,7,745,8.3,1,1,2,1,0,0,2,0,1.6,1.6,0.8,2.4,19,9,36
Alex Telles,DF,Manchester Utd,9,8,690,7.7,0,2,2,0,0,0,0,0,0.2,0.2,0.9,1,27,48,40
Kenny Tete,"DF,MF",Fulham,22,18,1481,16.5,0,1,1,0,0,0,3,0,0.3,0.3,1.4,1.7,38,71,73
William Thomas Fish,FW,Manchester Utd,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Thomas,DF,Leicester City,14,12,969,10.8,1,0,1,1,0,0,2,0,0.3,0.3,0.7,1,15,27,45
Youri Tielemans,MF,Leicester City,38,37,3357,37.3,6,4,10,4,2,2,6,0,4.4,2.8,3.1,5.9,52,272,66
Kieran Tierney,DF,Arsenal,27,26,2299,25.5,1,3,4,1,0,0,4,0,0.5,0.5,3.5,4,82,95,194
James Tomkins,DF,Crystal Palace,8,6,553,6.1,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,0,5,1
Fikayo Tomori,DF,Chelsea,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferrán Torres,"FW,MF",Manchester City,24,15,1306,14.5,7,2,9,7,0,0,1,0,4.9,4.9,2.2,7.1,30,31,118
Cenk Tosun,FW,Everton,5,0,48,0.5,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,0,4
Andros Townsend,"MF,FW",Crystal Palace,34,25,2258,25.1,1,5,6,1,0,0,0,0,2.3,2.3,4,6.2,72,75,112
Conor Townsend,DF,West Brom,25,25,2234,24.8,0,2,2,0,0,0,0,0,1.1,1.1,2.7,3.7,37,113,74
Adama Traoré,"FW,MF",Wolves,37,28,2649,29.4,2,2,4,2,0,0,4,0,2,2,4.8,6.9,219,70,220
Bertrand Traoré,FW,Aston Villa,36,29,2317,25.7,7,6,13,7,0,0,1,0,6.6,6.6,4.3,10.9,51,77,125
Trézéguet,FW,Aston Villa,21,12,1166,13,2,1,3,2,0,0,0,0,3.8,3.8,2.1,5.9,31,35,79
Leandro Trossard,"MF,FW",Brighton,35,30,2607,29,5,5,10,5,0,0,2,0,4.6,4.6,4.9,9.5,73,142,219
Kostas Tsimikas,"DF,FW",Liverpool,2,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
Axel Tuanzebe,DF,Manchester Utd,9,4,404,4.5,0,0,0,0,0,0,2,0,0,0,0,0,3,13,3
Cengiz Ünder,"FW,MF",Leicester City,9,1,281,3.1,0,2,2,0,0,0,0,0,0.3,0.3,1.6,1.9,12,7,39
Yan Valery,"DF,MF",Southampton,3,1,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,6,3,9
Virgil van Dijk,DF,Liverpool,5,5,370,4.1,1,0,1,1,0,0,1,0,0.2,0.2,0,0.2,0,30,1
Jamie Vardy,FW,Leicester City,34,31,2840,31.6,15,9,24,7,8,9,1,0,19.9,12.8,4.7,17.5,57,31,202
Joël Veltman,DF,Brighton,28,25,2281,25.3,1,1,2,1,0,0,3,0,1.1,1.1,1.7,2.8,39,136,99
Jannik Vestergaard,DF,Southampton,30,29,2574,28.6,3,0,3,3,0,0,3,1,1.5,1.5,0.5,2.1,14,82,2
Rúben Vinagre,"MF,DF",Wolves,2,1,173,1.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,2,11
Carlos Vinícius,FW,Tottenham,9,3,308,3.4,1,0,1,1,0,0,2,0,1.2,1.2,0.1,1.3,1,2,12
João Virgínia,GK,Everton,1,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitinha,MF,Wolves,19,5,520,5.8,0,1,1,0,0,0,0,0,0.5,0.5,0.6,1.2,11,20,18
Jake Vokins,DF,Southampton,1,1,66,0.7,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,3,2
Matěj Vydra,FW,Burnley,28,15,1371,15.2,3,2,5,3,0,0,0,0,5.2,5.2,1.8,7,19,19,112
Theo Walcott,"MF,FW",Southampton,21,20,1618,18,3,3,6,3,0,0,0,0,2.3,2.3,1,3.3,37,37,105
Theo Walcott,FW,Everton,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kyle Walker,DF,Manchester City,24,22,1946,21.6,1,1,2,1,0,0,1,0,0.3,0.3,0.6,0.9,80,130,71
Kyle Walker-Peters,DF,Southampton,30,30,2645,29.4,0,2,2,0,0,0,4,0,1,1,1.2,2.2,92,89,112
Aaron Wan-Bissaka,DF,Manchester Utd,34,34,3060,34,2,4,6,2,0,0,3,0,0.9,0.9,2.3,3.2,89,145,176
Joel Ward,DF,Crystal Palace,26,25,2256,25.1,0,1,1,0,0,0,5,0,0.1,0.1,0.6,0.6,20,83,35
James Ward-Prowse,MF,Southampton,38,38,3420,38,8,7,15,5,3,4,5,0,5.7,2.5,3.9,6.4,34,189,51
Ollie Watkins,FW,Aston Villa,37,37,3328,37,14,5,19,13,1,2,4,1,14.5,13,5.3,18.3,84,55,290
Caleb Watts,MF,Southampton,3,0,39,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Adam Webster,DF,Brighton,29,29,2594,28.8,1,0,1,1,0,0,4,0,2,2,0.2,2.2,42,133,4
Danny Welbeck,FW,Brighton,24,17,1545,17.2,6,1,7,6,0,1,0,0,6.6,5.8,2.8,8.7,21,25,98
Timo Werner,"FW,MF",Chelsea,35,29,2602,28.9,6,8,14,6,0,0,2,0,11.4,11.4,5.6,17,103,69,238
Ashley Westwood,MF,Burnley,38,38,3410,37.9,3,3,6,3,0,0,7,0,1.2,1.2,6.8,8,21,231,39
Ben White,"DF,MF",Brighton,36,36,3191,35.5,0,0,0,0,0,0,5,1,0.5,0.5,0.9,1.4,50,149,38
Georginio Wijnaldum,MF,Liverpool,38,34,2941,32.7,2,0,2,2,0,0,1,0,2.6,2.6,1.4,3.9,62,133,59
Brandon Williams,DF,Manchester Utd,4,2,188,2.1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.3,5,5,7
Neco Williams,DF,Liverpool,6,3,249,2.8,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,10,14,29
Rhys Williams,DF,Liverpool,9,7,661,7.3,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,2,23,1
Willian,FW,Arsenal,25,16,1406,15.6,1,5,6,1,0,0,0,0,1.9,1.9,3,5,51,78,119
Joe Willock,MF,Arsenal,7,2,238,2.6,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.3,8,11,13
Joe Willock,MF,Newcastle Utd,14,11,978,10.9,8,0,8,8,0,1,0,0,3.9,3,0.5,3.5,23,29,34
Callum Wilson,FW,Newcastle Utd,26,23,2084,23.2,12,5,17,8,4,4,2,0,12.4,9.3,2.8,12.1,42,32,116
Harry Winks,MF,Tottenham,15,9,861,9.6,0,0,0,0,0,0,5,0,0.1,0.1,0.2,0.2,9,62,1
Chris Wood,FW,Burnley,33,32,2741,30.5,12,3,15,10,2,2,0,0,13,11.4,1.9,13.4,17,20,217
Granit Xhaka,"MF,DF",Arsenal,31,29,2522,28,1,2,3,1,0,0,7,1,0.9,0.9,1.5,2.3,41,276,31
Andriy Yarmolenko,"FW,MF",West Ham,15,1,375,4.2,0,1,1,0,0,0,3,0,0.3,0.3,0.8,1.1,22,17,38
DeAndre Yedlin,DF,Newcastle Utd,6,5,436,4.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,12,15
Okay Yokuşlu,MF,West Brom,16,15,1317,14.6,0,1,1,0,0,0,4,0,0.9,0.9,0.7,1.5,5,54,5
Wilfried Zaha,FW,Crystal Palace,30,29,2612,29,11,2,13,9,2,2,6,0,8.1,6.5,3.1,9.6,103,72,259
Andre-Frank Zambo Anguissa,MF,Fulham,36,29,2587,28.7,0,3,3,0,0,0,6,0,1.6,1.6,2.5,4,81,156,68
Andi Zeqiri,"FW,DF",Brighton,9,0,171,1.9,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,2,2,14
Oleksandr Zinchenko,DF,Manchester City,20,15,1478,16.4,0,0,0,0,0,0,0,0,0.7,0.7,0.9,1.6,38,118,65
Hakim Ziyech,"MF,FW",Chelsea,23,15,1172,13,2,3,5,2,0,0,3,0,1.9,1.9,3.6,5.5,27,91,108
Kurt Zouma,DF,Chelsea,24,22,2029,22.5,5,0,5,5,0,0,3,0,2,2,0.1,2.1,14,74,8
Martin Ødegaard,MF,Arsenal,14,9,866,9.6,1,2,3,1,0,0,0,0,0.7,0.7,2,2.7,16,65,49
