player,position,team,matches_played,starts,minutes_played,90s,goals,assists,goals+assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_passes_received
Alireza Jahanbakhsh,"FW,MF",Brighton,21,6,528,5.9,0,1,1,0,0,0,3,0,1.5,1.5,3,4.5,18,28,53
Daniel James,FW,Manchester Utd,15,11,910,10.1,3,1,4,3,0,0,3,0,2.2,2.2,0.9,3.1,36,32,84
Reece James,DF,Chelsea,32,25,2373,26.4,1,2,3,1,0,0,3,0,1.6,1.6,3.5,5,80,128,204
Alexandre Jankewitz,MF,Southampton,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Daniel Jebbison,FW,Sheffield Utd,4,3,284,3.2,1,0,1,1,0,0,0,0,1.1,1.1,0,1.2,2,1,6
Gabriel Jesus,FW,Manchester City,29,22,2063,22.9,9,4,13,9,0,0,2,0,8.7,8.7,2.7,11.4,54,41,202
Raúl Jiménez,FW,Wolves,10,10,823,9.1,4,0,4,4,0,0,0,0,2.4,2.4,0.3,2.7,23,26,46
Joelinton,"FW,MF",Newcastle Utd,31,23,1983,22,4,2,6,3,1,1,3,0,5.4,4.6,2.4,7.1,34,39,104
Ben Johnson,"DF,FW",West Ham,14,5,523,5.8,1,0,1,1,0,0,1,0,0.4,0.4,0.4,0.8,11,20,24
Sam Johnstone,GK,West Brom,37,37,3330,37,0,1,1,0,0,0,1,0,0,0,0.2,0.2,0,0,0
Curtis Jones,MF,Liverpool,24,13,1179,13.1,1,2,3,1,0,0,2,0,1.7,1.7,1.5,3.2,42,89,79
Jorginho,MF,Chelsea,28,23,2010,22.3,7,1,8,0,7,9,2,0,7.3,0.2,1.7,1.8,16,145,14
Willian José,FW,Wolves,17,12,1110,12.3,1,0,1,1,0,0,0,0,1.6,1.6,1.2,2.8,12,15,55
Diogo Jota,FW,Liverpool,19,12,1112,12.4,9,0,9,9,0,0,2,0,6.4,6.4,1.6,8,54,43,125
James Justin,DF,Leicester City,23,23,2070,23,2,1,3,2,0,0,4,0,2.2,2.2,2,4.1,64,94,135
Ozan Kabak,DF,Liverpool,9,9,801,8.9,0,0,0,0,0,0,3,0,0.1,0.1,0,0.2,3,20,1
Aboubakar Kamara,"FW,MF",Fulham,11,2,315,3.5,0,0,0,0,0,0,1,1,0.5,0.5,0.3,0.9,11,6,30
Harry Kane,FW,Tottenham,35,35,3082,34.2,23,14,37,19,4,4,1,0,20.1,16.9,7.1,24,75,132,185
N'Golo Kanté,MF,Chelsea,30,24,2146,23.8,0,2,2,0,0,0,7,0,0.6,0.6,1.3,1.9,38,116,39
Moise Kean,"FW,MF",Everton,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
Michael Keane,DF,Everton,35,33,2991,33.2,3,1,4,3,0,0,4,0,1.5,1.5,1.1,2.6,14,78,3
Neeskens Kebano,"FW,MF",Fulham,5,1,119,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,7,1,15
Naby Keïta,MF,Liverpool,10,7,520,5.8,0,0,0,0,0,0,1,0,0.4,0.4,0.6,1,18,33,19
Caoimhín Kelleher,GK,Liverpool,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Kelly,DF,Crystal Palace,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonjoe Kenny,DF,Everton,4,1,79,0.9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7
Reda Khadra,MF,Brighton,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Max Kilman,DF,Wolves,18,14,1310,14.6,0,1,1,0,0,0,4,0,0.8,0.8,0.5,1.3,11,46,2
Joshua King,"MF,FW",Everton,11,0,148,1.6,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,9,5,20
Mateusz Klich,MF,Leeds United,35,28,2393,26.6,4,5,9,2,2,2,6,0,3,1.4,3.4,4.9,70,184,152
Robin Koch,"DF,MF",Leeds United,17,13,1132,12.6,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.8,8,49,3
Sead Kolašinac,DF,Arsenal,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9
Terence Kongolo,DF,Fulham,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
Ezri Konsa,DF,Aston Villa,36,35,3196,35.5,2,0,2,2,0,0,3,0,2.4,2.4,0.1,2.5,3,32,5
Cheikhou Kouyaté,DF,Crystal Palace,36,35,3121,34.7,1,0,1,1,0,0,4,0,0.7,0.7,1,1.6,6,32,11
Mateo Kovačić,MF,Chelsea,27,21,1815,20.2,0,1,1,0,0,0,4,0,1,1,1.7,2.7,51,189,37
Emil Krafth,DF,Newcastle Utd,16,14,1288,14.3,1,0,1,1,0,0,4,0,0.3,0.3,0.4,0.7,12,28,25
Filip Krovinović,MF,West Brom,11,5,546,6.1,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.4,15,41,21
Alexandre Lacazette,FW,Arsenal,31,22,1923,21.4,13,2,15,10,3,3,3,0,11.7,9.3,2.2,11.5,15,55,112
Adam Lallana,"MF,FW",Brighton,30,16,1596,17.7,1,1,2,1,0,0,0,0,1.6,1.6,2.6,4.2,33,109,77
Érik Lamela,"FW,MF",Tottenham,23,5,717,8,1,0,1,1,0,0,6,1,1.1,1.1,1,2.1,28,36,49
Tariq Lamptey,"DF,MF",Brighton,11,11,886,9.8,1,1,2,1,0,0,4,1,0.7,0.7,0.8,1.5,40,26,76
Manuel Lanzini,"MF,FW",West Ham,17,5,566,6.3,1,1,2,1,0,0,1,0,1,1,0.9,1.8,7,28,20
Aymeric Laporte,DF,Manchester City,16,14,1344,14.9,0,0,0,0,0,0,1,0,0.8,0.8,0.4,1.1,28,99,1
Jamaal Lascelles,DF,Newcastle Utd,19,19,1625,18.1,2,0,2,2,0,0,4,0,1.3,1.3,0.1,1.4,4,22,2
Maxime Le Marchand,DF,Fulham,2,1,123,1.4,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0
Mario Lemina,MF,Fulham,28,19,1703,18.9,1,0,1,1,0,0,5,0,0.7,0.7,0.8,1.5,19,78,15
Bernd Leno,GK,Arsenal,35,35,3131,34.8,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
Khanya Leshabela,MF,Leicester City,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
Jamal Lewis,DF,Newcastle Utd,24,20,1837,20.4,0,1,1,0,0,0,4,0,0.1,0.1,1,1.1,27,41,56
Victor Lindelöf,DF,Manchester Utd,29,29,2585,28.7,1,1,2,1,0,0,0,0,0.6,0.6,0.3,0.9,18,92,2
