player,position,team,touches,touches_in_defensive_penalty_area,touches_in_defensive_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty_area,live_ball_touches,take_ons_attempted,take_ons_succeeded,times_tackled_during_take_on,carries,total_carrying_distance,progressive_carrying_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received
Łukasz Fabiański,GK,West Ham,1077,934,1075,2,0,0,1077,0,0,0,560,3883,2240,0,0,1,0,356
Fabinho,"DF,MF",Liverpool,2386,164,810,1430,155,12,2386,11,7,4,1469,6982,3870,20,3,17,7,1721
Bruno Fernandes,MF,Manchester Utd,2710,40,284,1165,1279,124,2700,45,23,22,1496,6475,3529,76,10,56,37,2063
Federico Fernández,DF,Newcastle Utd,1169,268,719,377,76,14,1169,1,0,1,553,2133,858,0,0,8,2,619
Fernandinho,MF,Manchester City,1143,31,161,813,181,13,1143,13,10,3,703,3633,2218,42,4,7,4,867
Sam Field,MF,West Brom,43,4,17,24,2,0,43,1,1,0,9,25,1,0,0,2,1,10
Roberto Firmino,FW,Liverpool,1663,18,104,789,788,176,1663,83,59,24,989,4862,2379,44,22,80,47,1279
John Fleck,MF,Sheffield Utd,1476,36,248,744,502,25,1476,54,30,24,768,4026,2160,48,5,30,24,933
Phil Foden,"FW,MF",Manchester City,1065,14,93,373,615,121,1065,67,38,29,673,3812,2138,40,42,47,15,833
Wesley Fofana,DF,Leicester City,2036,186,865,1118,78,20,2036,21,15,6,1273,8129,4806,23,1,27,12,1344
Pablo Fornals,"FW,MF",West Ham,1407,22,229,690,511,66,1407,60,29,31,821,4358,2061,41,11,37,21,963
Fraser Forster,GK,Southampton,302,239,296,6,0,0,302,0,0,0,123,708,447,0,0,0,0,116
Timothy Fosu-Mensah,DF,Manchester Utd,84,1,15,38,31,4,84,2,2,0,45,202,94,2,1,0,2,65
Tyrese Francois,DF,Fulham,18,0,6,7,5,0,18,1,0,1,13,57,42,1,0,0,0,14
Ryan Fraser,"FW,MF",Newcastle Utd,431,12,49,138,250,22,431,4,3,1,241,1378,660,14,4,12,5,292
Fred,MF,Manchester Utd,2123,67,501,1256,391,15,2123,30,24,6,1227,5787,2712,33,1,29,30,1496
Ryan Fredericks,"DF,FW",West Ham,353,33,94,148,113,12,353,7,3,4,154,758,454,8,2,3,3,198
Christian Fuchs,DF,Leicester City,681,53,221,392,71,2,681,2,0,2,358,1281,593,6,0,2,1,435
Darnell Furlong,DF,West Brom,1551,130,463,644,452,59,1551,24,10,14,548,2782,1283,23,3,40,10,746
Conor Gallagher,MF,West Brom,1313,56,285,665,383,35,1313,55,30,25,673,3774,1408,27,11,62,36,757
Eric García,DF,Manchester City,381,25,104,264,13,1,381,0,0,0,279,1454,1008,7,0,4,0,307
Dwight Gayle,"FW,MF",Newcastle Utd,155,4,18,64,73,23,155,2,1,1,56,284,103,3,0,8,1,104
Jean-Philippe Gbamin,MF,Everton,14,1,1,7,6,0,14,1,0,1,9,39,15,1,0,0,1,8
David de Gea,GK,Manchester Utd,639,580,638,1,0,0,639,1,1,0,284,1437,829,0,0,0,0,265
Anwar El Ghazi,FW,Aston Villa,841,23,71,279,498,72,837,49,26,23,499,2767,1435,38,11,48,35,648
Kieran Gibbs,DF,West Brom,394,53,156,172,68,4,394,2,2,0,176,1024,493,6,1,9,1,192
Morgan Gibbs-White,"MF,FW",Wolves,302,3,21,152,132,12,302,13,8,5,205,1118,547,15,2,18,5,237
Billy Gilmour,MF,Chelsea,248,3,53,145,51,0,248,4,1,3,136,667,257,3,0,2,0,201
Olivier Giroud,FW,Chelsea,307,11,40,128,141,52,307,2,2,0,121,279,119,1,0,17,6,229
Ben Godfrey,DF,Everton,1692,208,847,740,124,16,1692,12,9,3,826,5110,2999,27,2,27,6,964
André Gomes,MF,Everton,1084,30,222,642,232,12,1084,48,31,17,643,3420,1587,25,4,30,31,771
Joe Gomez,DF,Liverpool,603,64,236,364,5,0,603,4,4,0,431,2011,1053,1,0,2,3,429
Anthony Gordon,"FW,MF",Everton,45,2,14,17,15,2,45,6,2,4,26,195,83,2,1,5,2,27
Karlan Grant,"FW,MF",West Brom,354,17,47,140,170,36,354,16,9,7,177,1108,384,8,8,31,17,238
Demarai Gray,FW,Leicester City,14,0,1,1,12,1,14,1,0,1,8,61,25,1,0,1,0,10
Jack Grealish,"FW,MF",Aston Villa,1376,19,121,510,775,155,1376,101,65,36,926,7716,4643,98,79,55,39,1017
Mason Greenwood,FW,Manchester Utd,960,4,93,387,492,100,960,66,36,30,670,4542,2186,37,35,35,29,816
Pascal Groß,"MF,DF",Brighton,1915,43,339,882,704,65,1911,20,9,11,1011,4586,2013,48,5,35,17,1260
Kamil Grosicki,"MF,FW",West Brom,60,1,9,18,33,2,60,1,0,1,39,295,133,1,1,2,1,37
Vicente Guaita,GK,Crystal Palace,1152,986,1150,2,0,0,1152,0,0,0,548,3364,2288,0,0,0,0,388
İlkay Gündoğan,MF,Manchester City,1928,20,198,1076,665,79,1926,39,27,12,1183,6098,3066,69,10,30,13,1593
Antwoine Hackford,DF,Sheffield Utd,3,0,0,2,1,1,3,0,0,0,2,1,0,0,0,0,0,2
Sébastien Haller,FW,West Ham,373,13,29,186,160,50,373,13,9,4,176,735,180,5,3,41,22,294
Rekeem Harper,MF,West Brom,23,0,1,19,4,0,23,2,2,0,10,39,12,1,0,2,0,14
Jack Harrison,"MF,FW",Leeds United,1544,37,281,517,758,114,1544,78,42,36,933,5959,3194,54,30,95,63,1088
Kortney Hause,DF,Aston Villa,314,59,180,124,12,9,314,0,0,0,146,776,359,2,0,1,0,139
Kai Havertz,"MF,FW",Chelsea,1007,23,105,500,410,78,1007,37,19,18,579,3346,1428,37,18,56,25,784
Isaac Hayden,"MF,DF",Newcastle Utd,1070,68,333,584,161,15,1070,10,7,3,465,1597,578,12,0,20,14,532
Michael Hector,DF,Fulham,211,26,118,92,4,1,211,3,3,0,126,601,394,2,1,3,0,147
Ahmed Hegazi,DF,West Brom,70,15,52,19,0,0,70,0,0,0,28,102,33,0,0,3,0,32
Dean Henderson,GK,Manchester Utd,348,301,347,1,0,0,348,0,0,0,185,1039,648,0,0,0,0,122
Jordan Henderson,"MF,DF",Liverpool,1996,64,443,1306,264,15,1996,15,9,6,1389,7518,4392,40,1,6,5,1544
Jeff Hendrick,MF,Newcastle Utd,652,35,163,378,115,11,652,15,9,6,351,1645,548,12,2,14,15,426
Pablo Hernández,MF,Leeds United,445,3,67,236,146,16,445,11,10,1,257,1708,996,19,3,9,1,348
Son Heung-min,FW,Tottenham,1506,15,157,603,757,129,1505,72,39,33,882,5297,2414,46,37,59,50,1091
Ki-Jana Hoever,"DF,MF",Wolves,440,31,142,177,126,10,440,22,13,9,239,1313,852,11,4,12,6,261
Rob Holding,DF,Arsenal,2093,283,1051,980,68,22,2093,11,8,3,1350,6434,3872,10,0,12,6,1486
Mason Holgate,DF,Everton,1517,164,709,663,155,8,1517,11,8,3,756,3816,2160,9,0,14,6,871
Conor Hourihane,MF,Aston Villa,177,2,22,73,83,4,177,0,0,0,82,214,108,0,0,1,0,116
Callum Hudson-Odoi,"FW,DF",Chelsea,775,8,85,226,473,58,775,29,15,14,477,3474,2076,39,30,14,15,604
Niall Huggins,DF,Leeds United,21,1,7,10,4,1,21,0,0,0,13,67,31,0,1,0,0,12
Pierre Højbjerg,MF,Tottenham,3116,120,712,2126,308,20,3116,32,23,9,1794,8521,4176,33,2,37,20,2224
Odion Ighalo,FW,Manchester Utd,4,0,0,2,2,0,4,0,0,0,3,12,0,0,0,1,2,4
Kelechi Iheanacho,FW,Leicester City,719,1,37,293,398,79,718,44,32,12,452,2276,920,25,10,57,34,580
Danny Ings,FW,Southampton,817,27,78,353,391,116,815,59,30,29,459,2139,827,25,13,66,18,574
Branislav Ivanović,DF,West Brom,394,51,196,189,11,5,394,0,0,0,150,679,377,1,0,1,0,207
Alex Iwobi,"FW,MF",Everton,883,23,178,388,337,42,883,71,45,26,576,4340,2345,49,13,41,26,617
José Izquierdo,DF,Brighton,13,0,0,1,12,0,13,1,0,1,8,77,54,1,0,1,0,8
Phil Jagielka,DF,Sheffield Utd,266,42,150,112,8,1,266,0,0,0,121,368,101,0,0,3,0,122
Alireza Jahanbakhsh,"FW,MF",Brighton,331,4,23,113,199,29,331,17,11,6,219,991,552,13,6,12,7,254
Daniel James,FW,Manchester Utd,426,8,55,160,220,36,426,23,11,12,245,1810,1059,23,7,21,9,304
Reece James,DF,Chelsea,2297,78,557,1019,739,49,2297,51,34,17,1292,5900,3052,54,20,27,23,1601
Alexandre Jankewitz,MF,Southampton,6,0,4,0,2,0,6,0,0,0,3,7,1,0,0,1,0,4
Daniel Jebbison,FW,Sheffield Utd,73,1,8,31,34,5,73,4,2,2,33,137,51,1,1,8,5,39
Gabriel Jesus,FW,Manchester City,1004,7,54,397,568,127,1004,70,48,22,635,3677,1619,38,28,59,38,799
Raúl Jiménez,FW,Wolves,375,14,31,198,150,38,375,21,10,11,233,1335,657,12,7,32,18,303
Joelinton,"FW,MF",Newcastle Utd,934,33,124,502,324,74,933,67,37,30,513,2672,1033,21,13,80,42,650
Ben Johnson,"DF,FW",West Ham,275,15,76,123,82,2,275,6,4,2,155,905,477,12,0,4,6,163
Sam Johnstone,GK,West Brom,1416,1106,1388,29,0,0,1416,0,0,0,659,4839,2994,0,0,0,0,465
Curtis Jones,MF,Liverpool,1133,15,128,643,373,26,1133,34,22,12,798,4177,1964,43,8,22,32,910
Jorginho,MF,Chelsea,2015,59,520,1212,292,16,2006,25,17,8,1144,4669,2408,30,0,19,14,1535
Willian José,FW,Wolves,387,14,36,222,132,32,387,11,8,3,205,885,297,7,0,29,13,291
Diogo Jota,FW,Liverpool,626,6,54,251,330,91,626,43,21,22,425,2724,1510,42,23,39,20,492
James Justin,DF,Leicester City,1551,60,461,669,431,32,1551,32,18,14,739,4027,2195,51,4,29,14,944
Ozan Kabak,DF,Liverpool,669,75,316,346,14,7,669,5,3,2,443,2250,1005,1,0,4,3,477
Aboubakar Kamara,"FW,MF",Fulham,171,0,14,72,88,4,171,9,4,5,108,612,271,8,0,13,8,128
Harry Kane,FW,Tottenham,1393,51,128,685,595,159,1389,100,52,48,809,4648,2270,50,30,63,54,1072
N'Golo Kanté,MF,Chelsea,1842,57,447,1073,346,15,1842,38,26,12,982,4854,2356,41,2,48,15,1227
Moise Kean,"FW,MF",Everton,15,0,1,5,9,5,15,3,0,3,11,112,62,1,1,1,0,12
Michael Keane,DF,Everton,2287,354,1233,1003,57,34,2287,7,4,3,1333,6968,4025,5,0,7,5,1571
Neeskens Kebano,"FW,MF",Fulham,65,0,8,21,38,5,65,5,3,2,46,241,109,1,1,7,2,46
Naby Keïta,MF,Liverpool,430,5,42,273,119,16,430,10,8,2,279,1548,815,13,3,14,8,320
Caoimhín Kelleher,GK,Liverpool,70,56,69,1,0,0,70,0,0,0,39,116,75,0,0,0,0,34
Martin Kelly,DF,Crystal Palace,4,1,3,1,0,0,4,0,0,0,1,2,0,0,0,0,0,0
Jonjoe Kenny,DF,Everton,69,3,14,25,31,4,69,0,0,0,27,115,58,2,0,3,0,42
Reda Khadra,MF,Brighton,1,0,0,0,1,1,1,0,0,0,1,35,31,0,1,0,0,1
Max Kilman,DF,Wolves,877,77,386,453,41,9,877,8,7,1,550,2671,1676,7,0,4,2,628
Joshua King,"MF,FW",Everton,80,0,10,34,39,6,80,7,4,3,45,346,165,7,1,9,6,56
Mateusz Klich,MF,Leeds United,1753,27,240,880,655,56,1751,27,13,14,1011,5531,2617,69,4,40,22,1255
Robin Koch,"DF,MF",Leeds United,910,119,470,399,46,11,910,6,4,2,549,2928,1958,8,0,5,0,606
Sead Kolašinac,DF,Arsenal,69,2,13,39,17,2,69,0,0,0,31,110,62,0,1,0,0,50
Terence Kongolo,DF,Fulham,54,5,26,27,2,1,54,0,0,0,14,53,35,0,0,0,0,30
Ezri Konsa,DF,Aston Villa,1660,315,961,631,73,34,1660,6,6,0,853,2982,1375,1,0,18,7,954
Cheikhou Kouyaté,DF,Crystal Palace,1625,215,938,633,64,24,1625,12,10,2,787,3288,1485,2,0,17,8,860
Mateo Kovačić,MF,Chelsea,1950,16,315,1290,365,15,1950,65,53,12,1306,7349,3617,54,3,26,23,1645
Emil Krafth,DF,Newcastle Utd,721,79,337,265,122,9,721,4,3,1,290,1368,648,10,2,9,4,347
Filip Krovinović,MF,West Brom,424,6,69,255,109,4,424,9,8,1,212,1387,750,11,0,12,5,289
Alexandre Lacazette,FW,Arsenal,735,15,80,330,331,95,732,36,22,14,360,1378,471,10,9,50,31,533
Adam Lallana,"MF,FW",Brighton,1104,26,207,556,349,61,1104,28,18,10,586,2726,1324,15,13,24,15,808
Érik Lamela,"FW,MF",Tottenham,474,4,45,245,196,22,474,40,25,15,286,2230,954,25,4,20,13,346
Tariq Lamptey,"DF,MF",Brighton,623,21,156,252,225,27,623,29,13,16,346,2269,1190,36,10,21,6,376
Manuel Lanzini,"MF,FW",West Ham,455,9,81,237,144,14,455,13,6,7,277,1528,647,14,2,14,9,333
Aymeric Laporte,DF,Manchester City,1383,81,434,892,60,12,1383,2,2,0,965,5387,3777,14,0,8,1,1100
Jamaal Lascelles,DF,Newcastle Utd,806,158,500,272,39,18,806,4,4,0,396,1700,799,0,0,6,1,451
Maxime Le Marchand,DF,Fulham,92,12,59,29,4,0,92,0,0,0,47,186,103,1,0,0,0,69
Mario Lemina,MF,Fulham,1133,46,324,647,178,11,1133,37,26,11,649,3733,1746,24,1,26,22,722
Bernd Leno,GK,Arsenal,1239,1019,1219,19,1,1,1239,0,0,0,711,3158,1958,0,0,0,1,635
Khanya Leshabela,MF,Leicester City,9,0,1,6,3,0,9,0,0,0,8,73,54,1,0,0,1,7
Jamal Lewis,DF,Newcastle Utd,1028,61,389,436,214,8,1028,24,12,12,535,2731,1351,20,2,17,13,553
Victor Lindelöf,DF,Manchester Utd,2095,263,1061,961,81,8,2095,4,2,2,1281,8460,4626,18,0,9,3,1488
Jesse Lingard,"MF,FW",West Ham,834,4,61,408,380,44,832,43,18,25,527,3645,1966,48,20,28,22,652
Jake Livermore,MF,West Brom,522,45,155,298,76,9,522,5,2,3,195,824,302,6,0,15,7,242
Diego Llorente,DF,Leeds United,873,122,547,311,22,9,873,8,6,2,508,3145,2045,4,0,11,7,530
Hugo Lloris,GK,Tottenham,1139,1026,1137,2,0,0,1139,0,0,0,551,3306,2257,0,0,1,1,419
Giovani Lo Celso,MF,Tottenham,719,13,92,407,232,21,719,20,8,12,390,2360,1242,20,4,21,14,495
Ruben Loftus-Cheek,FW,Chelsea,25,0,5,15,5,0,25,3,0,3,13,85,34,1,0,2,1,18
Ruben Loftus-Cheek,"MF,FW",Fulham,1000,20,115,544,362,67,1000,72,38,34,647,4067,2221,42,14,73,41,752
Kevin Long,DF,Burnley,325,37,175,138,13,9,325,0,0,0,137,544,184,0,0,1,0,159
Shane Long,FW,Southampton,86,1,8,41,38,5,86,5,2,3,41,180,35,4,0,5,7,64
Matthew Longstaff,MF,Newcastle Utd,174,8,48,99,29,1,174,2,2,0,88,245,71,3,0,1,1,93
Sean Longstaff,MF,Newcastle Utd,751,30,180,417,156,16,751,9,4,5,363,1382,572,5,1,17,6,445
Ademola Lookman,"FW,MF",Fulham,1576,12,145,650,810,132,1575,128,82,46,962,6839,3071,67,52,107,73,1075
Max Lowe,DF,Sheffield Utd,291,18,79,111,102,11,291,11,7,4,120,637,329,7,3,8,4,158
Matthew Lowton,DF,Burnley,1882,137,559,902,438,20,1882,40,27,13,823,3849,2424,36,4,38,10,920
David Luiz,DF,Arsenal,1143,129,556,532,59,19,1143,4,3,1,766,5053,3047,15,2,4,2,843
Douglas Luiz,MF,Aston Villa,1726,106,467,995,293,16,1726,32,23,9,916,5288,2760,42,3,25,18,1020
John Lundstram,MF,Sheffield Utd,1270,41,246,612,426,23,1269,24,15,9,699,3785,1536,31,2,29,19,874
Alexis Mac Allister,"MF,FW",Brighton,563,8,95,258,220,34,563,26,16,10,303,1505,680,12,0,28,16,368
James Maddison,MF,Leicester City,1380,7,91,677,630,59,1380,51,29,22,772,4024,1791,40,13,57,33,1010
Harry Maguire,DF,Manchester Utd,2568,349,1188,1206,193,52,2568,14,8,6,1534,9872,5795,41,5,10,6,1743
Riyad Mahrez,FW,Manchester City,1311,5,61,449,813,138,1311,81,45,36,927,5313,2496,46,60,46,29,1074
Ainsley Maitland-Niles,"MF,DF",Arsenal,355,18,120,154,84,6,355,10,6,4,198,1018,479,10,3,10,7,215
Ainsley Maitland-Niles,MF,West Brom,583,36,131,260,199,25,583,33,16,17,292,1574,724,16,8,32,24,320
Josh Maja,FW,Fulham,256,2,24,125,110,32,255,15,8,7,150,600,168,4,2,26,13,199
Sadio Mané,FW,Liverpool,1512,16,86,535,912,244,1512,144,82,61,1061,7394,3501,88,62,101,61,1266
Javier Manquillo,DF,Newcastle Utd,489,23,132,217,147,5,489,8,1,7,219,1104,554,12,0,15,7,256
Fernando Marçal,"DF,MF",Wolves,464,28,147,216,102,2,464,13,7,6,216,1057,599,5,0,6,2,252
Solly March,"DF,MF",Brighton,1185,44,245,445,515,50,1185,63,44,19,605,4400,2101,34,18,22,24,662
Pablo Marí,DF,Arsenal,700,83,390,302,9,3,700,3,3,0,455,2154,1336,4,0,1,0,518
Anthony Martial,FW,Manchester Utd,675,12,47,243,392,103,675,59,35,24,454,2777,1327,32,18,50,37,585
Gabriel Martinelli,FW,Arsenal,256,7,38,67,154,41,256,25,13,12,157,1054,536,6,13,22,7,169
Emiliano Martínez,GK,Aston Villa,1404,1172,1389,15,0,0,1404,0,0,0,779,4456,3037,0,0,1,0,593
Arthur Masuaku,"DF,MF",West Ham,702,37,184,312,218,11,702,44,29,15,389,2611,1566,29,4,14,15,455
Juan Mata,"FW,MF",Manchester Utd,329,4,29,169,133,12,328,3,2,1,215,1159,448,14,3,7,6,278
Jean-Philippe Mateta,FW,Crystal Palace,77,3,14,43,21,7,77,6,3,3,31,123,49,0,1,10,5,61
Nemanja Matić,MF,Manchester Utd,1137,41,283,708,161,9,1137,21,17,4,751,4589,2916,21,3,14,8,853
Joël Matip,DF,Liverpool,607,45,239,352,21,6,607,0,0,0,369,1899,1181,8,0,3,1,427
Neal Maupay,"FW,MF",Brighton,940,12,75,407,468,141,936,48,24,24,547,2893,1154,27,22,74,48,674
James McArthur,MF,Crystal Palace,985,47,271,585,143,18,985,19,14,5,488,2620,1178,21,1,17,10,532
Oliver McBurnie,FW,Sheffield Utd,610,33,64,252,298,53,610,13,4,9,234,931,372,12,4,23,17,469
Alex McCarthy,GK,Southampton,1145,855,1138,7,0,0,1145,2,2,0,631,2908,1601,1,1,1,0,583
James McCarthy,MF,Crystal Palace,419,31,124,252,45,1,419,3,2,1,181,685,290,4,0,10,1,210
John McGinn,MF,Aston Villa,1785,65,313,1036,468,49,1785,77,52,25,996,4751,2324,36,7,67,35,1187
David McGoldrick,"FW,MF",Sheffield Utd,1288,33,110,545,649,89,1288,81,47,34,729,3884,1475,36,16,88,44,992
Dwight McNeil,MF,Burnley,1703,51,265,860,619,40,1703,103,63,40,1021,7515,2776,73,16,57,62,1068
Scott McTominay,MF,Manchester Utd,1603,82,420,906,298,33,1603,35,26,9,942,5379,2890,37,8,41,17,1127
Ben Mee,DF,Burnley,1467,237,716,702,58,44,1467,6,4,2,626,2474,1029,1,0,9,2,672
Hannibal Mejbri,MF,Manchester Utd,6,0,1,5,0,0,6,3,1,2,5,41,18,0,0,0,0,4
Benjamin Mendy,DF,Manchester City,747,21,124,385,245,15,747,14,11,3,394,1520,808,12,3,16,5,501
Edouard Mendy,GK,Chelsea,1070,897,1065,5,0,0,1070,0,0,0,644,2691,1181,0,0,0,0,624
Nampalys Mendy,MF,Leicester City,1103,20,207,751,151,0,1103,12,6,6,671,3145,1385,13,0,18,11,812
Illan Meslier,GK,Leeds United,1465,1289,1465,0,0,0,1465,0,0,0,898,4573,2769,0,0,2,1,728
Luka Milivojević,MF,Crystal Palace,1589,87,443,961,204,9,1587,14,8,6,798,3981,1678,13,2,13,19,947
James Milner,"MF,DF",Liverpool,1072,30,183,623,272,18,1072,12,6,6,618,2665,1419,25,3,12,12,743
Yerry Mina,DF,Everton,1481,208,817,642,33,26,1481,3,1,2,940,5532,3525,5,1,3,1,1049
Takumi Minamino,MF,Southampton,351,13,57,185,116,17,351,13,4,9,201,1199,592,16,6,16,6,237
Takumi Minamino,"MF,FW",Liverpool,168,3,18,90,61,9,168,7,7,0,106,402,162,2,1,7,5,129
Tyrone Mings,DF,Aston Villa,2075,342,1202,804,85,37,2075,8,6,2,1085,6061,3047,10,1,19,4,1210
Tyrick Mitchell,DF,Crystal Palace,1021,77,401,419,205,7,1021,18,11,7,432,1889,947,11,0,16,12,476
Aleksandar Mitrović,FW,Fulham,584,12,37,243,307,102,582,12,7,5,275,1060,382,9,5,60,17,457
Jakub Moder,"DF,MF",Brighton,375,15,67,149,166,22,375,17,9,8,203,1183,580,9,6,14,10,251
Jayson Molumby,MF,Brighton,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wesley Moraes,FW,Aston Villa,8,0,0,0,8,1,8,0,0,0,4,11,6,0,0,1,0,4
Wes Morgan,DF,Leicester City,6,1,2,4,0,0,6,0,0,0,2,5,3,0,0,0,0,3
Mason Mount,MF,Chelsea,2305,22,240,1022,1064,127,2304,81,43,38,1330,7463,3970,93,37,56,41,1640
Lucas Moura,"FW,MF",Tottenham,833,16,99,438,318,38,833,70,33,37,480,3178,1466,49,8,48,37,588
Lys Mousset,"FW,MF",Sheffield Utd,85,0,3,39,43,10,85,13,4,9,47,224,70,0,2,12,9,63
João Moutinho,MF,Wolves,2062,47,394,1179,503,8,2062,18,13,5,1136,5321,2697,38,2,15,11,1354
Joel Mumbongo,FW,Burnley,10,0,0,5,5,0,10,1,0,1,9,28,3,0,0,1,1,9
Jacob Murphy,"DF,MF",Newcastle Utd,853,46,278,342,257,25,853,63,39,24,417,3283,1838,36,12,33,25,458
Shkodran Mustafi,DF,Arsenal,55,5,16,39,1,0,55,0,0,0,43,348,206,0,0,0,0,42
Marvelous Nakamba,MF,Aston Villa,372,25,139,204,31,1,372,4,4,0,194,827,354,7,0,8,2,208
Iliman Ndiaye,MF,Sheffield Utd,7,0,0,4,3,0,7,0,0,0,2,26,16,0,0,1,0,3
Wilfred Ndidi,"MF,DF",Leicester City,1755,110,600,1006,168,14,1755,30,16,14,912,3963,1359,22,1,25,14,1079
Tanguy Ndombele,MF,Tottenham,1444,26,241,899,333,38,1444,99,74,25,897,4952,2550,46,16,57,33,1086
Reiss Nelson,"FW,MF",Arsenal,40,1,7,9,25,4,40,4,1,3,22,184,82,2,0,0,2,23
Pedro Neto,"FW,MF",Wolves,1545,17,136,653,787,100,1545,129,64,65,965,8006,4176,109,48,77,41,1144
Rúben Neves,MF,Wolves,2378,85,523,1536,337,21,2375,15,10,5,1384,5582,2584,34,2,26,16,1636
Eddie Nketiah,FW,Arsenal,153,5,16,64,74,28,153,12,7,5,82,418,172,1,3,13,5,114
Niels Nkounkou,"DF,FW",Everton,58,3,9,32,18,0,58,4,2,2,24,211,95,2,0,3,1,33
Dan Nlundulu,"FW,MF",Southampton,49,1,4,26,19,6,49,2,2,0,21,93,29,1,0,6,2,34
Mark Noble,MF,West Ham,487,8,88,337,66,3,487,2,2,0,284,1252,520,6,2,5,6,338
Will Norris,GK,Burnley,57,46,52,5,0,0,57,0,0,0,25,153,96,0,0,0,0,22
Oliver Norwood,MF,Sheffield Utd,1741,86,433,993,322,5,1741,4,2,2,871,3000,1296,11,1,15,7,1111
Jack O'Connell,DF,Sheffield Utd,100,11,40,45,15,0,100,1,0,1,37,141,74,3,1,2,0,56
Dara O'Shea,DF,West Brom,1182,143,572,508,106,12,1182,9,5,4,448,2022,921,9,0,10,4,542
Michael Obafemi,FW,Southampton,21,1,2,14,5,2,21,1,0,1,10,39,18,0,0,1,2,12
Denis Odoi,DF,Fulham,215,11,97,85,34,0,215,1,1,0,121,634,412,7,0,1,2,133
Angelo Ogbonna,DF,West Ham,1272,184,674,552,53,33,1272,4,3,1,691,4189,1833,4,1,4,5,723
Robin Olsen,GK,Everton,218,190,217,1,0,0,218,0,0,0,88,423,268,0,0,0,0,92
Josh Onomah,MF,Fulham,215,5,28,125,64,5,215,2,2,0,137,750,376,10,0,9,9,154
Divock Origi,FW,Liverpool,88,3,9,29,52,13,88,4,0,4,58,282,148,6,2,4,5,68
Ben Osborn,"MF,DF",Sheffield Utd,1026,31,198,426,415,28,1026,26,19,7,594,2774,1474,28,5,42,25,702
Owen Otasowie,"MF,FW",Wolves,97,5,19,53,25,6,97,7,3,4,54,277,141,5,0,7,3,61
Alex Oxlade-Chamberlain,"MF,FW",Liverpool,182,2,13,93,77,6,182,7,1,6,99,579,241,7,0,7,5,129
Emerson Palmieri,DF,Chelsea,81,6,27,33,21,1,81,2,0,2,39,203,93,3,1,2,0,42
Thomas Partey,MF,Arsenal,1333,42,293,850,203,9,1333,35,28,7,841,4386,2431,37,1,21,10,947
Rui Patrício,GK,Wolves,870,808,870,0,0,0,870,0,0,0,380,2652,1647,0,0,1,0,212
Bailey Peacock-Farrell,GK,Burnley,122,86,119,3,0,0,122,0,0,0,51,278,133,0,0,0,0,38
Lee Peltier,DF,West Brom,106,16,46,49,13,0,106,1,1,0,39,142,69,2,0,3,0,45
Nicolas Pépé,FW,Arsenal,948,19,122,322,517,115,947,66,27,39,585,3520,1646,28,36,56,23,704
Matheus Pereira,"MF,FW",West Brom,1411,27,177,589,659,69,1406,74,40,34,732,4513,2178,44,20,74,45,880
Ricardo Pereira,"DF,FW",Leicester City,714,23,191,281,245,29,714,30,14,16,343,1478,691,17,4,21,16,427
Ayoze Pérez,"MF,FW",Leicester City,715,8,74,347,303,56,715,59,29,30,427,2387,1273,31,11,37,24,516
Kalvin Phillips,MF,Leeds United,1789,108,581,955,274,7,1789,32,20,12,902,4521,1947,12,2,41,16,1055
Matt Phillips,MF,West Brom,809,45,176,291,353,43,809,56,24,32,433,2613,1328,33,11,52,25,477
Nathaniel Phillips,DF,Liverpool,1314,131,550,713,55,24,1314,2,2,0,774,3560,1936,10,2,8,3,863
Jaden Philogene Bidace,FW,Aston Villa,4,0,0,1,3,0,4,0,0,0,3,17,11,0,0,0,0,3
Jordan Pickford,GK,Everton,1240,1011,1220,22,0,0,1240,0,0,0,670,4101,2439,0,0,0,0,618
Erik Pieters,"DF,MF",Burnley,750,61,239,376,140,8,750,10,6,4,303,1366,662,13,2,12,10,356
Daniel Podence,"MF,FW",Wolves,803,11,90,366,362,56,803,64,38,26,557,3059,1558,31,18,35,24,621
Paul Pogba,"MF,FW",Manchester Utd,1640,54,324,885,453,58,1640,65,44,21,1015,4978,2442,33,6,54,50,1258
Nick Pope,GK,Burnley,1078,836,1051,29,1,1,1078,0,0,0,484,3570,2238,0,0,2,0,295
Dennis Praet,MF,Leicester City,405,4,53,181,174,23,405,16,6,10,186,1154,551,12,4,11,9,277
Davy Pröpper,MF,Brighton,114,2,13,74,29,3,114,3,2,1,83,445,166,6,0,2,5,88
Christian Pulisic,"FW,MF",Chelsea,994,10,97,399,518,112,994,108,49,59,654,4487,2350,50,37,67,29,772
Aaron Ramsdale,GK,Sheffield Utd,1274,1085,1261,12,2,2,1274,2,2,0,650,4462,2614,0,0,2,0,421
Jacob Ramsey,MF,Aston Villa,315,18,63,143,112,18,315,12,7,5,180,1192,405,9,2,14,12,197
Kayne Ramsey,DF,Southampton,35,10,28,7,0,0,35,0,0,0,14,31,10,0,0,0,0,14
Darren Randolph,GK,West Ham,70,62,69,1,0,0,70,0,0,0,27,163,113,0,0,0,0,22
