player,position,team,touches,touches_in_defensive_penalty_area,touches_in_defensive_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty_area,live_ball_touches,take_ons_attempted,take_ons_succeeded,times_tackled_during_take_on,carries,total_carrying_distance,progressive_carrying_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received
Chris Wood,FW,Burnley,932,24,60,378,500,129,930,21,7,14,454,1580,609,13,14,79,44,764
Granit Xhaka,"MF,DF",Arsenal,2440,96,526,1563,364,9,2440,16,8,8,1532,7624,4224,40,0,20,12,1809
Andriy Yarmolenko,"FW,MF",West Ham,198,4,34,82,86,15,198,12,6,6,126,969,442,12,5,12,10,149
DeAndre Yedlin,DF,Newcastle Utd,228,17,81,81,66,5,228,2,1,1,107,451,221,3,1,7,1,116
Okay Yokuşlu,MF,West Brom,726,57,232,412,95,11,726,25,19,6,351,1381,554,5,1,23,9,324
Wilfried Zaha,FW,Crystal Palace,1167,2,83,471,633,146,1165,117,55,62,851,5803,2845,66,62,108,77,954
Andre-Frank Zambo Anguissa,MF,Fulham,1827,38,367,1059,448,38,1827,143,96,47,1087,6846,3329,64,8,72,50,1201
Andi Zeqiri,"FW,DF",Brighton,69,4,9,21,39,13,69,1,1,0,41,151,73,0,0,8,1,45
Oleksandr Zinchenko,DF,Manchester City,1647,45,320,916,415,11,1647,9,6,3,980,4077,2128,35,3,15,6,1196
Hakim Ziyech,"MF,FW",Chelsea,876,9,67,394,423,35,876,35,19,16,534,2292,972,21,12,29,16,691
Kurt Zouma,DF,Chelsea,2001,250,926,999,78,35,2001,4,2,2,1280,6049,3513,16,0,7,4,1527
Martin Ødegaard,MF,Arsenal,598,6,56,283,265,22,598,17,13,4,388,2071,859,18,3,14,11,460
