player,position,team,goals,shots,shots_on_target,goals/shots,goals/shots_on_target,average_shot_distance,shots_from_free_kicks,shots_from_penalties,non_penalty_expected_goals/shots,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
Brenden Aaronson,"MF,FW",Leeds United,41,9,0.02,0.11,18.4,2,0,3.9,0.09,-2.9,-2.9
George Abbott,MF,Tottenham,0,0,,,,0,0,0,,0,0
Che Adams,FW,Southampton,47,14,0.11,0.36,13.8,0,0,6.6,0.14,-1.6,-1.6
Tyler Adams,MF,Leeds United,4,0,0,,27.5,0,0,0.1,0.03,-0.1,-0.1
Tosin Adarabioyo,DF,Fulham,16,4,0.06,0.25,21.2,1,0,0.7,0.04,0.3,0.3
Nayef Aguerd,DF,West Ham,12,2,0.17,1,9.9,0,0,2.2,0.19,-0.2,-0.2
Naouirou Ahamada,"MF,FW",Crystal Palace,3,0,0,,15.9,0,0,0.2,0.05,-0.2,-0.2
Rayan Aït Nouri,DF,Wolves,10,5,0.1,0.2,14.1,0,0,0.7,0.07,0.3,0.3
Kristoffer Ajer,DF,Brentford,1,0,0,,6,0,0,0,0.04,0,0
Manuel Akanji,DF,Manchester City,15,2,0,0,15.9,0,0,1.3,0.09,-1.3,-1.3
Nathan Aké,DF,Manchester City,9,2,0.11,0.5,10.5,0,0,1.6,0.17,-0.6,-0.6
Marc Albrighton,"FW,MF",Leicester City,2,1,0.5,1,8,0,0,0.3,0.17,0.7,0.7
Thiago Alcántara,MF,Liverpool,10,1,0,0,24.1,0,0,0.4,0.05,-0.4,-0.4
Carlos Alcaraz,"MF,FW",Southampton,24,10,0.17,0.4,20,0,0,1.9,0.08,2.1,2.1
Trent Alexander-Arnold,DF,Liverpool,40,8,0.05,0.25,23.8,5,0,2.4,0.06,-0.4,-0.4
Alisson Becker,GK,Liverpool,0,0,,,,0,0,0,,0,0
Dele Alli,MF,Everton,0,0,,,,0,0,0,,0,0
