rank,player,nation,position,team,age,born,matches_played,starts,minutes_played,ninetys,goals_against,goals_against_per_90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalties_faced,penalties_allowed,penalties_saved,penalties_missed,penalty_save_percentage
1,Alisson,br BRA,GK,Liverpool,29,1992,37,37,3330,37,43,1.16,147,105,72.1,19,9,9,14,37.8,4,2,1,1,33.3
2,Alphonse Areola,fr FRA,GK,West Ham,29,1993,5,2,309,3.4,7,2.04,16,9,68.8,0,1,1,1,50,2,2,0,0,0
3,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,29,29,2565,28.5,33,1.16,120,90,73.3,8,9,12,9,31,1,1,0,0,0
4,Gavin Bazunu,ie IRL,GK,Southampton,20,2002,32,32,2880,32,56,1.75,120,67,54.2,6,6,20,4,12.5,2,1,1,0,50
5,Asmir Begović,ba BIH,GK,Everton,35,1987,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,
6,Daniel Bentley,eng ENG,GK,Wolves,29,1993,2,2,180,2,3,1.5,13,10,76.9,0,1,1,0,0,0,0,0,0,
7,Martin Dúbravka,sk SVK,GK,Newcastle Utd,33,1989,2,1,157,1.7,1,0.57,9,9,88.9,0,1,0,0,0,0,0,0,0,
8,Ederson,br BRA,GK,Manchester City,28,1993,35,35,3150,35,32,0.91,77,46,62.3,26,4,5,11,31.4,3,3,0,0,0
9,Łukasz Fabiański,pl POL,GK,West Ham,37,1985,36,36,3111,34.6,48,1.39,154,106,70.1,11,6,19,8,22.2,4,2,1,1,33.3
10,Fraser Forster,eng ENG,GK,Tottenham,34,1988,14,13,1215,13.5,24,1.78,55,30,60,5,3,5,3,23.1,3,2,1,0,33.3
11,David de Gea,es ESP,GK,Manchester Utd,31,1990,38,38,3420,38,43,1.13,142,99,71.1,23,6,9,17,44.7,3,2,1,0,33.3
12,Vicente Guaita,es ESP,GK,Crystal Palace,35,1987,27,27,2430,27,34,1.26,116,84,72.4,7,9,11,6,22.2,2,2,0,0,0
13,Dean Henderson,eng ENG,GK,Nott'ham Forest,25,1997,18,18,1620,18,31,1.72,85,52,65.9,5,5,8,6,33.3,5,2,2,1,50
