player,position,team,matches_played,starts,minutes_played,90s,goals,assists,goals+assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_passes_received
Brenden Aaronson,"MF,FW",Leeds United,36,28,2372,26.4,1,3,4,1,0,0,2,0,3.9,3.9,4.2,8.1,43,86,151
George Abbott,MF,Tottenham,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che Adams,FW,Southampton,28,23,1992,22.1,5,3,8,5,0,0,1,0,6.6,6.6,2.8,9.4,17,34,115
Tyler Adams,MF,Leeds United,24,24,2156,24,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,136,20
Tosin Adarabioyo,DF,Fulham,25,23,2085,23.2,1,0,1,1,0,0,4,0,0.7,0.7,0.4,1.1,16,95,3
Nayef Aguerd,DF,West Ham,18,17,1595,17.7,2,0,2,2,0,0,4,0,2.2,2.2,0.5,2.7,2,25,4
Naouirou Ahamada,"MF,FW",Crystal Palace,8,0,94,1,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11
Rayan Aït Nouri,DF,Wolves,21,9,1076,12,1,0,1,1,0,0,4,0,0.7,0.7,1,1.7,30,43,76
Kristoffer Ajer,DF,Brentford,9,9,763,8.5,0,0,0,0,0,0,0,0,0,0,0,0.1,10,31,12
Manuel Akanji,DF,Manchester City,29,24,2287,25.4,0,1,1,0,0,0,2,0,1.3,1.3,0.4,1.7,24,116,17
Nathan Aké,DF,Manchester City,26,22,1873,20.8,1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.3,25,140,30
Marc Albrighton,"FW,MF",Leicester City,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,4,7,18
Thiago Alcántara,MF,Liverpool,18,14,1254,13.9,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13,120,24
Carlos Alcaraz,"MF,FW",Southampton,18,13,1029,11.4,4,2,6,4,0,0,3,0,1.9,1.9,0.7,2.6,20,28,32
Trent Alexander-Arnold,DF,Liverpool,37,34,2923,32.5,2,9,11,2,0,0,5,0,2.4,2.4,11.5,13.8,43,235,139
Alisson Becker,GK,Liverpool,37,37,3330,37,0,1,1,0,0,0,1,0,0,0,0.3,0.3,0,3,0
Dele Alli,MF,Everton,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Miguel Almirón,FW,Newcastle Utd,34,29,2491,27.7,11,2,13,11,0,0,2,0,8,8,3.2,11.1,77,124,264
Julián Álvarez,"FW,MF",Manchester City,31,13,1465,16.3,9,0,9,8,1,1,0,0,7,6.2,1.8,8,38,37,99
Daniel Amartey,DF,Leicester City,20,18,1610,17.9,0,0,0,0,0,0,1,0,1.1,1.1,0.5,1.6,23,66,5
Samuel Amo-Ameyaw,MF,Southampton,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Joachim Andersen,DF,Crystal Palace,32,32,2782,30.9,1,0,1,1,0,0,8,0,1.8,1.8,1.3,3.1,16,105,7
Elliot Anderson,"MF,FW",Newcastle Utd,22,3,410,4.6,0,1,1,0,0,0,0,0,1,1,1.3,2.3,23,24,35
Jaidon Anthony,"MF,FW",Bournemouth,30,11,1257,14,3,1,4,3,0,0,2,0,2.2,2.2,1,3.3,31,49,72
Michail Antonio,FW,West Ham,33,21,1829,20.3,5,3,8,5,0,0,2,0,6.6,6.6,1.3,7.8,49,27,120
Antony,FW,Manchester Utd,25,23,1802,20,4,2,6,4,0,0,5,0,6.6,6.6,2.9,9.4,95,74,168
Cameron Archer,"FW,MF",Aston Villa,6,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
Alphonse Areola,GK,West Ham,5,2,309,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Aribo,"MF,FW",Southampton,21,13,1224,13.6,2,0,2,2,0,0,2,0,1.5,1.5,0.8,2.3,19,39,64
Adam Armstrong,"FW,MF",Southampton,30,14,1335,14.8,2,1,3,2,0,0,2,0,2.1,2.1,1.3,3.3,39,16,70
Stuart Armstrong,"MF,FW",Southampton,32,14,1408,15.6,2,1,3,2,0,0,6,0,2.4,2.4,2.2,4.7,61,75,88
Kepa Arrizabalaga,GK,Chelsea,29,29,2565,28.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pierre-Emerick Aubameyang,FW,Chelsea,15,5,554,6.2,1,0,1,1,0,0,1,0,1.5,1.5,0.4,1.9,9,3,29
Ludwig Augustinsson,DF,Aston Villa,3,1,77,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,0,3
Serge Aurier,DF,Nott'ham Forest,24,22,1943,21.6,1,0,1,1,0,0,2,0,0.8,0.8,1,1.8,37,71,50
Taiwo Awoniyi,FW,Nott'ham Forest,27,17,1404,15.6,10,1,11,10,0,0,2,0,6.6,6.6,1.1,7.7,18,12,55
Yasin Ayari,MF,Brighton,3,1,67,0.7,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,2,2
André Ayew,"FW,MF",Nott'ham Forest,13,1,316,3.5,0,0,0,0,0,1,1,0,1,0.3,0,0.3,3,11,16
Jordan Ayew,"FW,MF",Crystal Palace,38,31,2714,30.2,4,3,7,4,0,0,5,0,3.2,3.2,3.2,6.4,83,63,174
Luke Ayling,DF,Leeds United,29,22,2054,22.8,2,1,3,2,0,0,3,0,3.2,3.2,2,5.2,28,77,100
César Azpilicueta,DF,Chelsea,25,16,1527,17,0,0,0,0,0,0,3,0,0.4,0.4,1.1,1.5,23,71,81
Benoît Badiashile,DF,Chelsea,11,10,905,10.1,1,0,1,1,0,0,2,0,1.2,1.2,0.5,1.6,11,56,2
Leon Bailey,"FW,MF",Aston Villa,33,26,1967,21.9,4,4,8,4,0,0,4,0,5.3,5.3,4.8,10.1,85,28,182
Stefan Bajcetic,MF,Liverpool,11,6,526,5.8,1,0,1,1,0,0,2,0,0.8,0.8,0.4,1.2,10,24,1
Dominic Ballard,"FW,MF",Southampton,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Patrick Bamford,FW,Leeds United,28,18,1515,16.8,4,2,6,4,0,2,3,0,8.6,7,1,8,17,23,96
Shandon Baptiste,MF,Brentford,23,4,618,6.9,0,1,1,0,0,0,3,1,0.4,0.4,1.1,1.4,8,39,23
