player,position,team,touches,touches_in_defensive_penalty_area,touches_in_defensive_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty_area,live_ball_touches,take_ons_attempted,take_ons_succeeded,times_tackled_during_take_on,carries,total_carrying_distance,progressive_carrying_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received
Brenden Aaronson,"MF,FW",Leeds United,1143,12,116,495,554,72,1143,100,34,48,686,3646,1532,34,13,71,82,767
George Abbott,MF,Tottenham,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
Che Adams,FW,Southampton,717,29,66,286,377,103,717,33,16,13,405,1613,469,11,9,66,28,558
Tyler Adams,MF,Leeds United,1628,44,376,1010,254,5,1628,22,7,12,818,3342,1555,21,0,28,18,919
Tosin Adarabioyo,DF,Fulham,1544,231,776,732,46,19,1544,7,5,2,834,4470,2733,12,1,4,4,975
Nayef Aguerd,DF,West Ham,949,161,563,358,35,23,949,6,4,0,523,2127,1137,1,0,8,7,564
Naouirou Ahamada,"MF,FW",Crystal Palace,63,0,12,35,16,4,63,2,1,1,32,179,70,2,1,5,1,39
Rayan Aït Nouri,DF,Wolves,740,40,240,279,233,28,740,50,28,18,395,2260,1244,13,10,28,12,454
Kristoffer Ajer,DF,Brentford,412,45,184,167,64,9,412,7,1,4,213,1123,613,5,0,3,8,231
Manuel Akanji,DF,Manchester City,2231,121,815,1248,176,34,2231,12,6,3,1544,8443,5039,40,1,12,3,1734
Nathan Aké,DF,Manchester City,1959,86,615,1097,256,32,1959,5,3,1,1223,5455,3314,19,4,16,0,1492
Marc Albrighton,"FW,MF",Leicester City,173,6,33,61,79,5,173,2,2,0,83,391,147,4,0,4,2,116
Thiago Alcántara,MF,Liverpool,1251,45,272,796,188,8,1251,30,21,4,718,3639,1721,21,0,13,22,910
Carlos Alcaraz,"MF,FW",Southampton,430,14,73,234,130,23,430,28,13,11,258,1292,675,17,2,30,24,296
Trent Alexander-Arnold,DF,Liverpool,3180,89,737,1631,837,44,3180,45,30,13,1778,6848,3312,39,8,35,21,2042
Alisson Becker,GK,Liverpool,1536,1124,1498,39,0,0,1536,2,2,0,985,4654,2962,0,0,1,0,901
Dele Alli,MF,Everton,20,0,1,8,11,2,20,1,0,1,11,30,3,0,0,3,1,14
Miguel Almirón,FW,Newcastle Utd,1300,25,147,417,760,138,1300,79,34,33,841,5389,2341,46,25,51,28,924
Julián Álvarez,"FW,MF",Manchester City,654,8,46,255,360,89,653,38,21,14,406,2187,908,18,17,28,24,506
Daniel Amartey,DF,Leicester City,1279,185,658,578,46,9,1279,5,2,2,779,3720,2275,11,0,8,4,909
Samuel Amo-Ameyaw,MF,Southampton,8,0,1,5,3,0,8,4,3,1,4,70,64,0,0,0,0,5
Joachim Andersen,DF,Crystal Palace,2303,355,1232,996,89,39,2303,9,5,4,1318,6889,3787,8,2,8,3,1498
Elliot Anderson,"MF,FW",Newcastle Utd,286,7,44,99,151,39,286,29,10,13,160,970,522,15,12,9,10,182
Jaidon Anthony,"MF,FW",Bournemouth,717,23,150,271,304,33,717,47,15,30,423,2449,1032,25,13,25,27,464
Michail Antonio,FW,West Ham,596,15,39,262,308,80,596,65,26,29,375,2589,1243,26,18,76,45,476
Antony,FW,Manchester Utd,1066,12,134,348,609,85,1066,77,30,38,763,4783,2569,60,32,37,12,813
Cameron Archer,"FW,MF",Aston Villa,15,0,1,8,7,3,15,1,1,0,15,114,72,1,1,2,3,13
Alphonse Areola,GK,West Ham,98,91,98,0,0,0,98,0,0,0,53,253,153,0,0,0,0,42
Joe Aribo,"MF,FW",Southampton,566,14,87,269,222,46,566,39,17,21,294,1294,615,10,7,35,22,354
Adam Armstrong,"FW,MF",Southampton,458,11,71,176,222,46,458,43,13,25,255,2338,996,29,11,24,22,273
Stuart Armstrong,"MF,FW",Southampton,864,21,133,403,341,37,864,52,22,21,539,3859,1910,45,10,28,28,596
Kepa Arrizabalaga,GK,Chelsea,1119,892,1103,16,0,0,1119,1,1,0,654,2894,1683,0,0,1,0,604
Pierre-Emerick Aubameyang,FW,Chelsea,161,7,16,69,79,23,161,5,3,2,86,529,259,6,4,11,4,116
Ludwig Augustinsson,DF,Aston Villa,51,3,19,15,17,2,51,1,0,1,29,180,27,2,0,0,0,21
Serge Aurier,DF,Nott'ham Forest,1238,107,484,505,263,13,1238,32,16,11,520,2394,1398,26,2,31,18,574
Taiwo Awoniyi,FW,Nott'ham Forest,435,22,62,177,203,55,435,22,7,12,246,1269,530,13,9,68,29,284
Yasin Ayari,MF,Brighton,30,0,5,18,8,1,30,1,0,0,19,76,44,0,0,2,0,25
André Ayew,"FW,MF",Nott'ham Forest,106,11,15,49,42,8,105,6,1,4,40,271,102,3,2,3,4,62
