rank,player,nation,position,team,age,born,ninetys,passes_completed,passes_attempted,pass_completion_percentage,total_passing_distance,total_progressive_passing_distance,short_passes_completed,short_passes_attempted,short_pass_completion_percentage,medium_passes_completed,medium_passes_attempted,medium_pass_completion_percentage,long_passes_completed,long_passes_attempted,long_pass_completion_percentage,assists,expected_assisted_goals,expected_assists,assists-expected_assisted_goals,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
1,Max Aarons,eng ENG,DF,Norwich City,21,2000,32,1107,1469,75.4,16588,6133,645,713,90.5,383,511,75,57,160,35.6,2,1.7,1.7,0.3,20,50,37,9,117
2,Che Adams,sct SCO,FW,Southampton,25,1996,22.7,304,472,64.4,4188,1017,188,256,73.4,73,106,68.9,18,34,52.9,3,3,1.7,0,26,24,10,0,33
3,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,20,2001,20.3,763,1025,74.4,12151,4064,418,472,88.6,273,361,75.6,54,141,38.3,2,1.6,1.1,0.4,17,28,14,10,49
4,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,627,892,70.3,10133,4740,303,372,81.5,255,342,74.6,47,105,44.8,3,1.7,1.8,1.3,8,41,13,2,82
5,Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,796,878,90.7,13200,4534,373,399,93.5,384,416,92.3,29,42,69,0,0.6,0.5,-0.6,2,63,3,0,57
6,Marc Albrighton,eng ENG,"FW,DF",Leicester City,31,1989,12.6,347,558,62.2,5152,2040,220,258,85.3,86,145,59.3,26,94,27.7,2,2,1,0,11,23,8,6,26
7,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17,1340,1508,88.9,24737,7150,573,624,91.8,594,640,92.8,150,190,78.9,4,2.3,1.7,1.7,29,211,26,1,214
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,2039,2757,74,40112,15683,841,964,87.2,811,1048,77.4,344,636,54.1,12,12,13,0,90,245,85,25,267
9,Alisson,br BRA,GK,Liverpool,28,1992,36,1214,1388,87.5,28439,18286,275,276,99.6,686,699,98.1,249,409,60.9,1,0.2,0,0.8,1,16,1,0,1
10,Allan,br BRA,MF,Everton,30,1991,24.3,778,982,79.2,12868,4192,356,405,87.9,337,402,83.8,57,102,55.9,2,0.8,1,1.2,15,103,20,3,130
11,Dele Alli,eng ENG,MF,Tottenham,25,1996,7.3,177,228,77.6,2353,563,105,124,84.7,45,53,84.9,10,20,50,0,0.3,0.4,-0.3,2,14,4,1,18
12,Dele Alli,eng ENG,"MF,FW",Everton,25,1996,3.8,114,157,72.6,1696,434,63,81,77.8,34,45,75.6,9,12,75,0,0.4,0.4,-0.4,7,10,3,1,13
13,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,27,1994,19.1,402,511,78.7,5720,1254,229,264,86.7,118,149,79.2,23,38,60.5,0,0.9,0.6,-0.9,16,26,5,0,46
14,Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,1142,1486,76.9,17781,5763,624,709,88,387,478,81,84,194,43.3,4,4.5,3.4,-0.5,43,67,34,15,93
15,Steven Alzate,co COL,MF,Brighton,22,1998,4.5,204,233,87.6,3213,865,105,116,90.5,72,78,92.3,17,24,70.8,0,0.2,0.2,-0.2,2,18,1,0,21
16,Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,1399,1546,90.5,25246,8400,508,550,92.4,769,810,94.9,103,140,73.6,0,0.2,0.4,-0.2,4,71,1,0,62
17,Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,1911,2351,81.3,44144,15836,410,480,85.4,1138,1224,93,349,604,57.8,3,1.7,1.9,1.3,20,151,11,2,100
18,Michail Antonio,jm JAM,FW,West Ham,31,1990,33,438,702,62.4,6545,1294,252,324,77.8,121,192,63,37,63,58.7,8,6,5,2,45,24,27,12,46
19,Cameron Archer,eng ENG,"FW,MF",Aston Villa,20,2001,0.3,4,4,100,62,29,3,3,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0
20,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,21,40,52.5,785,656,2,2,100,8,8,100,11,30,36.7,0,0,0,0,0,0,0,0,0
21,Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,229,324,70.7,3453,610,111,142,78.2,93,126,73.8,12,22,54.5,2,1.6,1.4,0.4,13,11,13,0,30
22,Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,590,744,79.3,8618,2144,321,386,83.2,217,250,86.8,25,42,59.5,0,1.5,1.4,-1.5,25,46,23,4,83
23,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,115,138,83.3,2398,1340,36,36,100,55,55,100,21,44,47.7,0,0,0,0,0,1,0,0,0
24,Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,7,7,100,110,8,5,5,100,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0
25,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,137,208,65.9,1801,404,90,115,78.3,37,64,57.8,4,9,44.4,1,1,0.9,0,9,6,8,0,26
26,Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,576,754,76.4,7894,1509,346,389,88.9,180,228,78.9,17,54,31.5,3,2.8,2.9,0.2,23,31,16,6,51
27,Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,1224,1592,76.9,22964,10551,535,606,88.3,517,619,83.5,154,294,52.4,2,1.8,1,0.2,12,98,11,4,135
28,César Azpilicueta,es ESP,DF,Chelsea,31,1989,23,1486,1787,83.2,22185,8377,809,904,89.5,565,643,87.9,65,139,46.8,2,1.8,2.3,0.2,17,104,19,2,138
29,Daniel Bachmann,at AUT,GK,Watford,27,1994,12,216,364,59.3,7080,5483,19,19,100,104,109,95.4,93,234,39.7,0,0,0,0,0,9,0,0,0
