Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Adam Idah,"FW,MF",Norwich City,12,1,228,2.5,0,0,0,0,0,0,0,0,0.4,0.4,0,0.44,2,0.8,4.4
Odion Ighalo,FW,Manchester Utd,11,0,101,1.1,0,0,0,0,0,0,0,0,1.73,1.73,0.09,1.82,1.82,1.82,11.8
Kelechi Iheanacho,FW,Leicester City,20,12,960,10.7,0.47,0.28,0.75,0.47,0,0,0.09,0,0.56,0.56,0.24,0.8,2.06,2.71,8.22
Danny Ings,FW,Southampton,38,32,2804,31.2,0.71,0.06,0.77,0.67,0.03,0.06,0.1,0,0.52,0.47,0.09,0.55,1.6,2.4,6.22
Alex Iwobi,"MF,FW",Everton,25,19,1596,17.7,0.06,0,0.06,0.06,0,0,0,0,0.14,0.14,0.11,0.25,3.39,5.99,4.75
Phil Jagielka,DF,Sheffield Utd,6,2,244,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0
Alireza Jahanbakhsh,"FW,MF",Brighton,10,3,311,3.5,0.57,0,0.57,0.57,0,0,0,0,0.17,0.17,0.17,0.34,2.29,3.43,14.6
Daniel James,FW,Manchester Utd,33,26,2287,25.4,0.12,0.24,0.35,0.12,0,0,0.16,0,0.12,0.12,0.15,0.28,5.51,2.36,10.4
Matty James,MF,Leicester City,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Reece James,DF,Chelsea,24,16,1515,16.8,0,0.12,0.12,0,0,0,0.06,0,0.05,0.05,0.16,0.21,2.56,5.83,6.85
Daryl Janmaat,DF,Watford,8,7,607,6.7,0,0.15,0.15,0,0,0,0.15,0,0.04,0.04,0.07,0.12,2.24,4.33,4.48
Gabriel Jesus,FW,Manchester City,34,21,2030,22.6,0.62,0.31,0.93,0.62,0,0.04,0.13,0,0.81,0.77,0.14,0.91,2.43,1.64,8.98
Raúl Jiménez,FW,Wolves,38,37,3236,36,0.47,0.17,0.64,0.36,0.11,0.11,0.08,0,0.46,0.37,0.19,0.57,2.47,2.83,6.19
João Pedro,"FW,MF",Watford,3,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,6.67,3.33,10
Joelinton,FW,Newcastle Utd,38,32,2683,29.8,0.07,0.07,0.13,0.07,0,0,0.23,0,0.18,0.18,0.1,0.28,1.58,1.88,4.46
Ben Johnson,DF,West Ham,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0.03,0.03,2.33,6.33,2.67
Curtis Jones,MF,Liverpool,6,1,126,1.4,0.71,0,0.71,0.71,0,0,0,0,0.29,0.29,0,0.29,2.86,6.43,5
Phil Jones,DF,Manchester Utd,2,2,135,1.5,0,0,0,0,0,0,0,0,0.07,0.07,0,0.07,1.33,4.67,0.67
Bruno Jordão,FW,Wolves,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,1,1,0,10,0
Jorginho,MF,Chelsea,31,27,2379,26.4,0.15,0.08,0.23,0.04,0.11,0.11,0.38,0,0.12,0.03,0.11,0.14,0.91,8.26,1.1
Jota,"FW,MF",Aston Villa,10,4,335,3.7,0,0.27,0.27,0,0,0,0,0,0.08,0.08,0.16,0.24,2.7,3.78,6.22
Diogo Jota,FW,Wolves,34,27,2284,25.4,0.28,0.04,0.31,0.28,0,0,0.16,0,0.45,0.45,0.11,0.56,5.16,2.68,7.87
James Justin,"DF,MF",Leicester City,13,11,1012,11.2,0,0.09,0.09,0,0,0,0.09,0,0.03,0.03,0.09,0.12,2.68,5,5.27
Christian Kabasele,DF,Watford,27,26,2250,25,0,0.08,0.08,0,0,0,0.12,0.08,0.04,0.04,0.04,0.07,0.04,1.44,0
Harry Kane,FW,Tottenham,29,29,2587,28.7,0.63,0.07,0.7,0.56,0.07,0.07,0.14,0,0.44,0.38,0.11,0.49,1.6,2.65,6.06
N'Golo Kanté,MF,Chelsea,22,20,1732,19.2,0.16,0,0.16,0.16,0,0,0.21,0,0.07,0.07,0.08,0.15,2.14,6.88,3.28
Moise Kean,FW,Everton,29,6,852,9.5,0.21,0.21,0.42,0.21,0,0,0.11,0,0.42,0.42,0.21,0.63,2.74,1.26,6.32
Michael Keane,DF,Everton,31,28,2559,28.4,0.07,0,0.07,0.07,0,0,0.11,0,0.07,0.07,0.02,0.09,0.32,2.96,0.11
Naby Keïta,MF,Liverpool,18,9,815,9.1,0.22,0.33,0.55,0.22,0,0,0.11,0,0.18,0.18,0.3,0.48,3.85,7.58,3.96
Lloyd Kelly,DF,Bournemouth,8,7,639,7.1,0,0,0,0,0,0,0.28,0,0,0,0.04,0.04,0.85,1.27,1.27
Martin Kelly,DF,Crystal Palace,19,17,1549,17.2,0,0.06,0.06,0,0,0,0,0,0.01,0.01,0.05,0.05,0.35,2.03,0.81
Max Kilman,DF,Wolves,3,2,185,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0
Joshua King,"FW,MF",Bournemouth,26,24,2011,22.3,0.27,0.18,0.45,0.13,0.13,0.13,0,0,0.29,0.18,0.18,0.37,2.69,2.06,6.77
Timm Klose,DF,Norwich City,7,7,585,6.5,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,0.62,2.62,0.15
Jonathan Kodjia,FW,Aston Villa,6,0,117,1.3,0,0,0,0,0,0,0.77,0,0.08,0.08,0.08,0.15,3.08,0.77,7.69
Sead Kolašinac,DF,Arsenal,26,19,1701,18.9,0,0.11,0.11,0,0,0,0.21,0,0.02,0.02,0.07,0.09,1.9,3.92,4.66
Ezri Konsa,DF,Aston Villa,25,24,2039,22.7,0.04,0.09,0.13,0.04,0,0,0.13,0,0.07,0.07,0.04,0.11,0.35,2.33,0.57
Cheikhou Kouyaté,"MF,DF",Crystal Palace,35,29,2528,28.1,0.04,0.04,0.07,0.04,0,0,0.14,0,0.1,0.1,0.03,0.13,0.43,2.28,1.96
Mateo Kovačić,MF,Chelsea,31,23,2073,23,0.04,0.13,0.17,0.04,0,0,0.35,0,0.04,0.04,0.08,0.12,3.13,9.35,1.35
Emil Krafth,DF,Newcastle Utd,17,11,1020,11.3,0,0.09,0.09,0,0,0,0,0,0.03,0.03,0.05,0.09,0.97,1.68,1.77
Tim Krul,GK,Norwich City,36,36,3240,36,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0.03,0
Alexandre Lacazette,FW,Arsenal,30,22,1874,20.8,0.48,0.19,0.67,0.48,0,0,0.38,0,0.39,0.39,0.14,0.53,1.01,2.36,6.59
Adam Lallana,"MF,FW",Liverpool,15,3,382,4.2,0.24,0.24,0.48,0.24,0,0,0.24,0,0.19,0.19,0.14,0.31,2.14,5.48,4.05
Érik Lamela,"MF,FW",Tottenham,25,12,1215,13.5,0.15,0.07,0.22,0.15,0,0,0.22,0,0.21,0.21,0.08,0.3,3.78,3.33,6.22
Tariq Lamptey,DF,Chelsea,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0.25,0.25,2.5,5,2.5
Tariq Lamptey,DF,Brighton,8,7,588,6.5,0,0.15,0.15,0,0,0,0.31,0,0.02,0.02,0.15,0.17,2.62,2.31,4.92
Henri Lansbury,MF,Aston Villa,10,2,195,2.2,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.09,0,3.18,0.91
Manuel Lanzini,"MF,FW",West Ham,24,14,1379,15.3,0,0.13,0.13,0,0,0,0.07,0,0.14,0.14,0.14,0.29,3.01,5.03,3.86
Aymeric Laporte,DF,Manchester City,15,14,1097,12.2,0.08,0,0.08,0.08,0,0,0.08,0,0.04,0.04,0.01,0.06,1.89,9.18,0.25
Jamaal Lascelles,DF,Newcastle Utd,24,24,2076,23.1,0.04,0,0.04,0.04,0,0,0.22,0,0.02,0.02,0.01,0.03,0.13,0.91,0.04
Valentino Lazaro,"DF,MF",Newcastle Utd,13,4,480,5.3,0.19,0,0.19,0.19,0,0,0,0.19,0.08,0.08,0.04,0.11,1.32,1.32,2.64
Moritz Leitner,MF,Norwich City,9,7,685,7.6,0,0,0,0,0,0,0.13,0,0.04,0.04,0.04,0.08,2.24,8.16,3.03
Florian Lejeune,DF,Newcastle Utd,6,4,442,4.9,0.41,0,0.41,0.41,0,0,0,0,0.24,0.24,0,0.24,0.2,1.43,0
Aaron Lennon,MF,Burnley,16,4,496,5.5,0,0,0,0,0,0,0.73,0,0,0,0.02,0.04,2,1.27,3.27
Bernd Leno,GK,Arsenal,30,30,2649,29.4,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0
Jefferson Lerma,MF,Bournemouth,33,31,2703,30,0.03,0.07,0.1,0.03,0,0,0.43,0.03,0.04,0.04,0.05,0.09,0.53,4.57,0.43
Jamal Lewis,DF,Norwich City,28,25,2304,25.6,0.04,0,0.04,0.04,0,0,0.16,0,0.02,0.02,0.04,0.05,3.91,2.89,4.14
Victor Lindelöf,DF,Manchester Utd,35,35,3092,34.4,0.03,0,0.03,0.03,0,0,0.17,0,0.01,0.01,0.01,0.02,0.47,3.23,0.09
Jesse Lingard,"MF,FW",Manchester Utd,22,9,935,10.4,0.1,0,0.1,0.1,0,0,0.29,0,0.18,0.18,0.1,0.28,2.69,4.33,7.02
Hugo Lloris,GK,Tottenham,21,21,1807,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovani Lo Celso,"MF,FW",Tottenham,28,15,1492,16.6,0,0.12,0.12,0,0,0,0.36,0,0.08,0.08,0.1,0.17,3.73,6.75,3.01
Jürgen Locadia,"FW,MF",Brighton,2,1,86,1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,1,0,6
Ruben Loftus-Cheek,"MF,FW",Chelsea,7,2,208,2.3,0,0.43,0.43,0,0,0,0,0,0.22,0.22,0.17,0.39,1.74,6.52,4.78
Kevin Long,DF,Burnley,8,6,564,6.3,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,0,1.27,0
Shane Long,FW,Southampton,26,15,1395,15.5,0.13,0.13,0.26,0.13,0,0,0,0,0.31,0.31,0.15,0.46,1.48,1.29,6.77
Matthew Longstaff,MF,Newcastle Utd,9,6,575,6.4,0.31,0,0.31,0.31,0,0,0.16,0,0.05,0.05,0.06,0.11,0.63,2.66,0.31
Sean Longstaff,MF,Newcastle Utd,23,14,1378,15.3,0.07,0.07,0.13,0.07,0,0,0.13,0.07,0.09,0.09,0.08,0.16,0.52,2.16,0.78
Dejan Lovren,DF,Liverpool,10,9,777,8.6,0,0.12,0.12,0,0,0,0.12,0,0.05,0.05,0.03,0.08,0.93,5.35,0.35
Matthew Lowton,DF,Burnley,17,17,1530,17,0,0.06,0.06,0,0,0,0.12,0,0,0,0.07,0.07,1,3.76,2.47
David Luiz,DF,Arsenal,33,32,2809,31.2,0.06,0.03,0.1,0.06,0,0,0.16,0.06,0.05,0.05,0.03,0.08,0.67,3.4,0.13
Douglas Luiz,MF,Aston Villa,36,28,2612,29,0.1,0.07,0.17,0.1,0,0,0.28,0,0.09,0.09,0.06,0.14,1.21,4.93,1.59
John Lundstram,MF,Sheffield Utd,34,26,2458,27.3,0.18,0.11,0.29,0.18,0,0,0.18,0,0.19,0.19,0.12,0.32,1.32,4.47,4.07
Alexis Mac Allister,"MF,FW",Brighton,9,4,352,3.9,0,0,0,0,0,0,0,0,0.13,0.13,0.08,0.18,0.51,1.54,3.33
James Maddison,MF,Leicester City,31,29,2624,29.2,0.21,0.1,0.31,0.21,0,0,0.14,0,0.18,0.18,0.22,0.4,1.82,6.58,4.73
Harry Maguire,DF,Manchester Utd,38,38,3420,38,0.03,0.03,0.05,0.03,0,0,0.16,0,0.06,0.06,0.04,0.09,1.82,4.5,0.26
Riyad Mahrez,"FW,MF",Manchester City,33,21,1944,21.6,0.51,0.42,0.93,0.46,0.05,0.05,0,0,0.36,0.32,0.46,0.79,5.46,5.56,11.4
Ainsley Maitland-Niles,DF,Arsenal,20,15,1386,15.4,0,0.13,0.13,0,0,0,0.39,0.06,0.03,0.03,0.1,0.13,2.47,3.96,2.21
Sadio Mané,FW,Liverpool,35,31,2747,30.5,0.59,0.23,0.82,0.59,0,0,0.1,0,0.43,0.43,0.22,0.65,5.21,4.2,9.38
Javier Manquillo,DF,Newcastle Utd,21,18,1599,17.8,0,0.06,0.06,0,0,0,0.28,0,0,0,0.01,0.02,1.24,1.57,2.75
Solly March,"FW,MF",Brighton,19,11,1143,12.7,0,0.08,0.08,0,0,0,0.16,0,0.11,0.11,0.07,0.18,3.94,4.33,8.82
Pablo Marí,DF,Arsenal,2,2,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0
Adrian Mariappa,DF,Watford,20,15,1513,16.8,0,0,0,0,0,0,0.36,0.06,0.01,0.01,0.01,0.03,0.12,2.26,0.54
Anthony Martial,FW,Manchester Utd,32,31,2624,29.2,0.58,0.21,0.79,0.58,0,0.03,0.03,0,0.41,0.39,0.15,0.54,2.6,2.81,9.42
David Martin,GK,West Ham,5,4,436,4.8,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0
Josh Martin,"FW,MF",Norwich City,5,0,37,0.4,0,0,0,0,0,0,0,0,0.25,0.25,0,0.25,2.5,0,7.5
Gabriel Martinelli,FW,Arsenal,14,6,663,7.4,0.41,0,0.41,0.41,0,0,0.14,0,0.3,0.3,0.01,0.31,4.19,1.62,8.78
Emiliano Martínez,GK,Arsenal,9,8,771,8.6,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0
Adam Masina,DF,Watford,26,20,1821,20.2,0.05,0,0.05,0.05,0,0,0.15,0,0.04,0.04,0.03,0.07,0.89,3.61,1.58
Arthur Masuaku,DF,West Ham,17,10,937,10.4,0,0.1,0.1,0,0,0,0.58,0.1,0.01,0.01,0.12,0.13,3.94,3.85,3.56
Juan Mata,"MF,FW",Manchester Utd,19,8,758,8.4,0,0.24,0.24,0,0,0,0.12,0,0.13,0.13,0.25,0.38,2.02,7.62,7.74
Nemanja Matić,MF,Manchester Utd,21,18,1581,17.6,0,0.11,0.11,0,0,0,0.17,0,0.01,0.01,0.04,0.06,2.22,6.87,0.45
Joël Matip,DF,Liverpool,9,8,703,7.8,0.13,0,0.13,0.13,0,0,0,0,0.04,0.04,0,0.05,0.77,4.62,0.26
Neal Maupay,FW,Brighton,37,30,2766,30.7,0.33,0.1,0.42,0.29,0.03,0.07,0.1,0,0.44,0.38,0.07,0.45,2.05,2.15,8.31
James McArthur,MF,Crystal Palace,37,37,3090,34.3,0,0.09,0.09,0,0,0,0.17,0,0.06,0.06,0.07,0.13,1.57,5.07,3.59
Oliver McBurnie,FW,Sheffield Utd,36,24,2113,23.5,0.26,0,0.26,0.26,0,0,0.17,0,0.33,0.33,0.05,0.37,1.11,2.47,4.64
Alex McCarthy,GK,Southampton,28,28,2520,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0
James McCarthy,MF,Crystal Palace,33,16,1680,18.7,0,0,0,0,0,0,0.48,0,0.03,0.03,0.07,0.1,0.43,2.94,1.23
John McGinn,MF,Aston Villa,28,27,2312,25.7,0.12,0.12,0.23,0.12,0,0,0.12,0,0.15,0.15,0.1,0.25,1.48,4.4,3.27
David McGoldrick,FW,Sheffield Utd,28,22,1815,20.2,0.1,0.1,0.2,0.1,0,0,0.1,0,0.4,0.4,0.11,0.51,1.44,2.13,6.39
Michael McGovern,GK,Norwich City,2,1,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny McLean,MF,Norwich City,37,32,2968,33,0.03,0.03,0.06,0.03,0,0,0.15,0,0.04,0.04,0.08,0.12,1.39,5.24,2.21
Dwight McNeil,MF,Burnley,38,38,3338,37.1,0.05,0.16,0.22,0.05,0,0,0.13,0,0.06,0.06,0.21,0.27,3.94,2.61,2.94
Scott McTominay,MF,Manchester Utd,27,20,1772,19.7,0.2,0.05,0.25,0.2,0,0,0.1,0,0.11,0.11,0.05,0.16,1.27,4.82,1.37
Ben Mee,DF,Burnley,32,32,2880,32,0.03,0.03,0.06,0.03,0,0,0.22,0,0.05,0.05,0.05,0.1,0.16,1.75,0.16
Benjamin Mendy,DF,Manchester City,19,18,1492,16.6,0,0.12,0.12,0,0,0,0.18,0,0.02,0.02,0.08,0.11,3.61,5.24,10.6
