Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Patrick van Aanholt,DF,Crystal Palace,22,20,1777,19.7,0,0.05,0.05,0,0,0,0.1,0,0.07,0.07,0.04,0.11,1.93,5.23,4.42
Tammy Abraham,FW,Chelsea,22,12,1040,11.6,0.52,0.09,0.6,0.52,0,0,0,0,0.51,0.51,0.06,0.57,1.03,0.95,5.69
Che Adams,FW,Southampton,36,30,2667,29.6,0.3,0.17,0.47,0.3,0,0,0.03,0,0.33,0.33,0.17,0.5,1.08,1.93,5.03
Tosin Adarabioyo,DF,Fulham,33,33,2953,32.8,0,0,0,0,0,0,0.03,0,0.03,0.03,0.01,0.04,0.15,2.29,0.09
Adrián,GK,Liverpool,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Agüero,FW,Manchester City,12,7,559,6.2,0.65,0.16,0.81,0.48,0.16,0.32,0,0,0.56,0.31,0.19,0.5,1.94,1.94,6.29
Ola Aina,DF,Fulham,31,31,2664,29.6,0.07,0.03,0.1,0.07,0,0,0.1,0,0.04,0.04,0.05,0.09,2.13,3.58,1.69
Rayan Aït Nouri,DF,Wolves,21,16,1404,15.6,0.06,0.06,0.13,0.06,0,0,0.06,0,0.04,0.04,0.04,0.08,3.01,3.46,5.45
Semi Ajayi,DF,West Brom,33,31,2780,30.9,0.06,0,0.06,0.06,0,0,0.1,0.03,0.06,0.06,0.02,0.08,0.42,2.36,0.23
Nathan Aké,DF,Manchester City,10,9,797,8.9,0.11,0,0.11,0.11,0,0,0.45,0,0.03,0.03,0,0.03,1.35,5.84,0.67
Marc Albrighton,"DF,FW",Leicester City,31,17,1746,19.4,0.05,0.26,0.31,0.05,0,0,0.1,0,0.06,0.06,0.18,0.24,2.37,4.33,7.16
Thiago Alcántara,MF,Liverpool,24,20,1854,20.6,0.05,0,0.05,0.05,0,0,0.19,0,0.06,0.06,0.11,0.17,1.31,9.85,1.21
Toby Alderweireld,DF,Tottenham,25,25,2240,24.9,0.04,0,0.04,0.04,0,0,0.08,0,0.03,0.03,0.03,0.06,0.12,2.37,0.04
Rúnar Alex Rúnarsson,GK,Arsenal,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,DF,Liverpool,36,34,3031,33.7,0.06,0.21,0.27,0.06,0,0,0.06,0,0.08,0.08,0.26,0.33,2.91,7.45,7.39
Ezgjan Alioski,"DF,MF",Leeds United,36,29,2461,27.3,0.07,0.11,0.18,0.07,0,0,0.26,0,0.06,0.06,0.12,0.18,2.82,4.84,4.47
Alisson,GK,Liverpool,33,33,2970,33,0.03,0,0.03,0.03,0,0,0.03,0,0,0,0,0,0,0.03,0
Allan,MF,Everton,24,23,2051,22.8,0,0,0,0,0,0,0.26,0,0.01,0.01,0.04,0.05,1.32,4.04,0.35
Dele Alli,MF,Tottenham,15,7,620,6.9,0,0.14,0.14,0,0,0,0,0,0.29,0.29,0.17,0.48,2.17,3.77,4.35
Miguel Almirón,"MF,FW",Newcastle Utd,34,28,2429,27,0.15,0.04,0.19,0.15,0,0,0.11,0,0.12,0.12,0.11,0.23,2.59,3.33,4.04
Marcos Alonso,DF,Chelsea,13,11,960,10.7,0.19,0,0.19,0.19,0,0,0.19,0,0.17,0.17,0.12,0.3,2.24,3.93,6.92
Steven Alzate,MF,Brighton,15,10,896,10,0.1,0,0.1,0.1,0,0,0.2,0,0.08,0.08,0.06,0.14,1.6,3.9,1.6
Daniel Amartey,DF,Leicester City,12,8,722,8,0.13,0,0.13,0.13,0,0,0.38,0,0.05,0.05,0,0.05,0.5,3,0
Ethan Ampadu,"DF,MF",Sheffield Utd,25,23,2089,23.2,0,0,0,0,0,0,0.13,0,0.01,0.01,0.05,0.06,1.08,4.31,0.99
Joachim Andersen,DF,Fulham,31,30,2730,30.3,0.03,0.03,0.07,0.03,0,0,0.23,0.03,0.04,0.04,0.01,0.06,0.66,3.14,0.23
Elliot Anderson,MF,Newcastle Utd,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Felipe Anderson,"FW,MF",West Ham,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Michail Antonio,FW,West Ham,26,24,1974,21.9,0.46,0.23,0.68,0.46,0,0,0.14,0,0.59,0.59,0.14,0.73,2.69,1.64,8.08
Alphonse Areola,GK,Fulham,36,36,3240,36,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0
Stuart Armstrong,MF,Southampton,33,32,2764,30.7,0.13,0.16,0.29,0.13,0,0,0.1,0,0.09,0.09,0.08,0.17,3.55,4.69,3.84
