Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Max Aarons,DF,Bournemouth,12,11,950,10.6,0,0.09,0.09,0,0,0,0.09,0,0,0,0.08,0.08,1.51,2.92,1.79
Bénie Adama Traore,"FW,MF",Sheffield Utd,6,3,325,3.6,0,0,0,0,0,0,0,0,0.08,0.08,0.14,0.19,1.94,2.5,3.61
Tosin Adarabioyo,DF,Fulham,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elijah Adebayo,FW,Luton Town,12,4,388,4.3,0.47,0,0.47,0.47,0,0,0,0,0.33,0.33,0.07,0.4,0.93,1.63,6.28
Simon Adingra,"FW,MF",Brighton,11,7,666,7.4,0.41,0.14,0.54,0.41,0,0,0.14,0,0.19,0.19,0.19,0.38,3.24,1.76,8.78
Nayef Aguerd,DF,West Ham,11,11,966,10.7,0.09,0,0.09,0.09,0,0,0.19,0.09,0.08,0.08,0.01,0.09,0.65,2.52,0
Naouirou Ahamada,"MF,FW",Crystal Palace,6,0,82,0.9,0,0,0,0,0,0,0,0,0,0,0,0,7.78,7.78,10
Anel Ahmedhodžić,DF,Sheffield Utd,8,8,720,8,0,0,0,0,0,0,0.38,0,0.11,0.11,0,0.11,0.38,1.38,1.25
Ola Aina,"DF,MF",Nott'ham Forest,9,8,628,7,0.14,0.14,0.29,0.14,0,0,0.43,0,0.01,0.01,0.06,0.07,2,2.43,0.86
Rayan Aït Nouri,"DF,MF",Wolves,12,11,870,9.7,0,0,0,0,0,0,0.41,0,0.12,0.12,0.08,0.21,1.86,4.64,3.92
Kristoffer Ajer,DF,Brentford,10,7,636,7.1,0,0.14,0.14,0,0,0,0.42,0,0.08,0.08,0.23,0.31,1.83,3.66,3.38
Manuel Akanji,"DF,MF",Manchester City,9,9,809,9,0.22,0,0.22,0.22,0,0,0.33,0.11,0.04,0.04,0.02,0.07,1.44,4.44,1
Nathan Aké,DF,Manchester City,9,6,553,6.1,0.33,0,0.33,0.33,0,0,0,0,0.18,0.18,0.1,0.28,1.64,6.07,1.31
Trent Alexander-Arnold,DF,Liverpool,10,9,777,8.6,0,0.12,0.12,0,0,0,0.35,0,0.06,0.06,0.28,0.34,2.56,7.09,3.14
Alisson,GK,Liverpool,12,12,1080,12,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.08,0
Miguel Almirón,FW,Newcastle Utd,12,10,748,8.3,0.24,0,0.24,0.24,0,0,0.12,0,0.16,0.16,0.05,0.2,4.34,3.86,8.31
Edson Álvarez,MF,West Ham,10,9,759,8.4,0,0.12,0.12,0,0,0,0.6,0,0.05,0.05,0.01,0.06,0.71,2.98,0.83
Julián Álvarez,"MF,FW",Manchester City,12,12,985,10.9,0.37,0.28,0.64,0.37,0,0,0.18,0,0.3,0.3,0.23,0.53,2.2,4.04,6.15
Zeki Amdouni,"FW,MF",Burnley,11,11,739,8.2,0.12,0,0.12,0.12,0,0,0.12,0,0.23,0.23,0.04,0.27,2.8,1.95,3.41
Sofyan Amrabat,"MF,DF",Manchester Utd,5,4,313,3.5,0,0,0,0,0,0,0.57,0,0,0,0.03,0.03,1.14,10.3,1.14
Joachim Andersen,DF,Crystal Palace,12,12,1080,12,0.17,0.08,0.25,0.17,0,0,0.17,0,0.06,0.06,0.11,0.17,1,5.75,0.42
Elliot Anderson,"MF,FW",Newcastle Utd,9,4,411,4.6,0,0.22,0.22,0,0,0,0,0,0.15,0.15,0.2,0.35,3.04,5.65,7.17
Jaidon Anthony,FW,Bournemouth,3,2,152,1.7,0,0,0,0,0,0,0.59,0,0.06,0.06,0,0.06,1.18,4.71,5.29
Michail Antonio,FW,West Ham,12,11,813,9,0.22,0.22,0.44,0.22,0,0,0.22,0,0.2,0.2,0.08,0.28,2.78,1.11,5.11
Antony,"FW,MF",Manchester Utd,9,6,489,5.4,0,0,0,0,0,0,0.37,0,0.15,0.15,0.2,0.33,3.7,4.63,13.1
Cameron Archer,FW,Sheffield Utd,9,8,712,7.9,0.25,0,0.25,0.25,0,0,0.13,0,0.08,0.08,0.09,0.16,1.01,0.89,5.06
Cameron Archer,MF,Aston Villa,1,0,6,0.1,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0
Alphonse Areola,GK,West Ham,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0
Serge Aurier,"DF,MF",Nott'ham Forest,11,9,743,8.3,0,0.24,0.24,0,0,0,0.24,0,0.01,0.01,0.06,0.07,1.2,4.34,3.01
Taiwo Awoniyi,FW,Nott'ham Forest,10,8,666,7.4,0.54,0.27,0.81,0.54,0,0,0.14,0,0.49,0.49,0.11,0.59,0.81,1.35,3.65
Jordan Ayew,"FW,MF",Crystal Palace,12,12,1014,11.3,0.09,0.27,0.35,0.09,0,0,0.35,0,0.15,0.15,0.17,0.32,3.01,2.39,7.61
Leon Bailey,"MF,FW",Aston Villa,10,2,346,3.8,0.79,0.79,1.58,0.79,0,0,0.26,0,0.5,0.5,0.68,1.18,5.53,3.16,12.4
George Baldock,"DF,MF",Sheffield Utd,6,5,450,5,0,0,0,0,0,0,0.4,0,0,0,0.04,0.04,0.6,3.4,3.2
Carlos Baleba,MF,Brighton,6,3,267,3,0,0,0,0,0,0,0.67,0,0.1,0.1,0,0.1,0.67,2.67,0.33
Shandon Baptiste,MF,Brentford,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross Barkley,MF,Luton Town,7,5,445,4.9,0,0,0,0,0,0,0,0,0.12,0.12,0.12,0.24,1.63,5.1,1.02
Harvey Barnes,FW,Newcastle Utd,6,2,187,2.1,0.48,0.48,0.95,0.48,0,0,0.48,0,0.33,0.33,0.43,0.76,7.14,2.38,7.62
Chris Basham,"DF,MF",Sheffield Utd,8,3,321,3.6,0,0,0,0,0,0,0.28,0,0.03,0.03,0.08,0.11,0.28,1.94,1.67
Calvin Bassey,DF,Fulham,8,5,487,5.4,0,0,0,0,0,0,0.37,0.19,0,0,0,0,0.37,0.93,0.74
Donny van de Beek,DF,Manchester Utd,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,1
Amari'i Bell,DF,Luton Town,7,7,560,6.2,0,0,0,0,0,0,0,0,0.03,0.03,0,0.05,0.97,3.23,0.48
Jean-Ricner Bellegarde,MF,Wolves,4,3,216,2.4,0.42,0,0.42,0.42,0,0,0,0.42,0.08,0.08,0.08,0.17,4.58,4.17,2.92
Anis Ben Slimane,MF,Sheffield Utd,5,1,112,1.2,0,0,0,0,0,0,1.67,0,0.08,0.08,0,0.08,0,5,7.5
Saïd Benrahma,"FW,MF",West Ham,9,4,436,4.8,0,0.21,0.21,0,0,0,0.21,0,0.1,0.1,0.29,0.4,4.58,3.96,11.5
