Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Patrick van Aanholt,DF,Crystal Palace,36,36,3195,35.5,0.08,0.06,0.14,0.08,0,0,0.08,0,0.07,0.07,0.12,0.2,2.51,5.97,2.99
Sergio Agüero,FW,Manchester City,33,31,2459,27.3,0.77,0.29,1.06,0.7,0.07,0.07,0.15,0,0.66,0.6,0.18,0.79,2.97,2.78,9.27
Nathan Aké,DF,Bournemouth,38,38,3411,37.9,0.11,0,0.11,0.11,0,0,0.08,0,0.09,0.09,0.03,0.12,0.53,2.59,0.66
Marc Albrighton,"FW,MF",Leicester City,27,18,1625,18.1,0.11,0.11,0.22,0.11,0,0,0.17,0,0.07,0.07,0.16,0.23,2.98,3.54,9.5
Toby Alderweireld,DF,Tottenham,34,33,2922,32.5,0,0,0,0,0,0,0.09,0,0.03,0.03,0.02,0.06,0.77,4.95,0.15
Trent Alexander-Arnold,DF,Liverpool,29,27,2462,27.4,0.04,0.44,0.47,0.04,0,0,0.11,0,0.06,0.06,0.23,0.29,2.55,5.73,6.35
Alisson,GK,Liverpool,38,38,3420,38,0,0,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0
Dele Alli,MF,Tottenham,25,22,1825,20.3,0.25,0.15,0.39,0.25,0,0,0.2,0,0.24,0.24,0.15,0.39,2.36,5.47,7.54
Miguel Almirón,MF,Newcastle Utd,10,9,759,8.4,0,0,0,0,0,0,0,0,0.18,0.18,0.07,0.25,3.69,2.98,5.36
Marcos Alonso,DF,Chelsea,31,31,2759,30.7,0.07,0.13,0.2,0.07,0,0,0.2,0,0.11,0.11,0.11,0.22,3.32,4.76,7.49
Daniel Amartey,DF,Leicester City,9,7,641,7.1,0,0,0,0,0,0,0.28,0,0.04,0.04,0.01,0.07,1.13,4.79,1.13
Luke Amos,MF,Tottenham,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felipe Anderson,"MF,FW",West Ham,36,36,3043,33.8,0.27,0.12,0.38,0.27,0,0,0.09,0,0.16,0.16,0.18,0.34,5.95,5.65,7.49
Florin Andone,FW,Brighton,23,8,881,9.8,0.31,0,0.31,0.31,0,0,0.51,0,0.26,0.26,0.01,0.27,1.33,0.41,6.33
Michail Antonio,"MF,FW",West Ham,33,22,2103,23.4,0.26,0.17,0.43,0.26,0,0,0.13,0,0.3,0.3,0.19,0.49,3.72,2.95,8.72
Stuart Armstrong,MF,Southampton,29,16,1432,15.9,0.19,0.13,0.31,0.19,0,0,0.13,0,0.13,0.13,0.09,0.21,2.52,5.41,5.66
Marko Arnautović,FW,West Ham,28,24,1990,22.1,0.45,0.18,0.63,0.41,0.05,0.05,0.14,0,0.4,0.37,0.2,0.57,1.72,1.95,8.82
Kepa Arrizabalaga,GK,Chelsea,36,36,3240,36,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0
Harry Arter,MF,Cardiff City,25,24,1997,22.2,0,0.05,0.05,0,0,0,0.45,0,0.04,0.04,0.02,0.06,0.59,3.29,1.04
Christian Atsu,MF,Newcastle Utd,28,15,1493,16.6,0.06,0,0.06,0.06,0,0,0.12,0,0.13,0.13,0.1,0.22,2.89,1.87,4.34
Pierre-Emerick Aubameyang,FW,Arsenal,36,30,2726,30.3,0.73,0.17,0.89,0.59,0.13,0.17,0,0,0.75,0.61,0.14,0.75,2.71,2.31,7.52
Serge Aurier,DF,Tottenham,8,6,564,6.3,0,0.32,0.32,0,0,0,0.16,0,0.02,0.02,0.16,0.17,1.75,4.13,4.6
Charlie Austin,FW,Southampton,25,11,983,10.9,0.18,0.18,0.37,0.18,0,0.09,0.09,0,0.33,0.3,0.08,0.38,0.55,0.46,4.04
Jordan Ayew,FW,Crystal Palace,20,14,1181,13.1,0.08,0.15,0.23,0.08,0,0,0.23,0,0.22,0.22,0.09,0.31,2.37,1.45,6.87
Floyd Ayité,"FW,MF",Fulham,16,3,476,5.3,0.19,0,0.19,0.19,0,0,0,0,0.08,0.08,0.09,0.17,2.64,4.34,8.3
