Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Patrick van Aanholt,DF,Crystal Palace,28,25,2184,24.3,0.21,0.04,0.25,0.21,0,0,0.29,0,0.13,0.13,0.09,0.21,1.89,3.79,3.54
Rolando Aarons,"MF,FW",Newcastle Utd,4,1,139,1.5,0,0,0,0,0,0,0,0,0.07,0.07,0,0.07,4.67,2,2.67
Tammy Abraham,FW,Swansea City,31,15,1726,19.2,0.26,0.05,0.31,0.26,0,0,0,0,0.35,0.35,0.08,0.44,0.99,1.04,5.42
Charlie Adam,MF,Stoke City,11,5,411,4.6,0,0,0,0,0,0.22,0.43,0.22,0.35,0.2,0.26,0.46,1.3,6.52,1.96
Adrián,GK,West Ham,19,19,1710,19,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0
Ibrahim Afellay,MF,Stoke City,6,1,166,1.8,0,0,0,0,0,0,0.56,0,0,0,0,0,0,2.22,0.56
Benik Afobe,FW,Bournemouth,17,5,611,6.8,0,0,0,0,0,0,0,0,0.24,0.24,0.01,0.26,1.76,1.32,5.44
Sergio Agüero,FW,Manchester City,25,22,1963,21.8,0.96,0.28,1.24,0.78,0.18,0.18,0.09,0,0.74,0.6,0.26,0.86,4.08,2.25,9.82
Nathan Aké,DF,Bournemouth,38,37,3353,37.3,0.05,0.08,0.13,0.05,0,0,0.13,0,0.04,0.04,0.05,0.09,0.38,2.57,0.27
Marc Albrighton,"MF,FW",Leicester City,34,30,2538,28.2,0.07,0.25,0.32,0.07,0,0,0.18,0.04,0.06,0.06,0.2,0.26,2.27,4.04,5.74
Toby Alderweireld,DF,Tottenham,14,13,1178,13.1,0,0,0,0,0,0,0.23,0,0.03,0.03,0.01,0.04,0.92,8.32,0.38
Trent Alexander-Arnold,DF,Liverpool,19,18,1573,17.5,0.06,0.06,0.11,0.06,0,0,0.17,0,0.06,0.06,0.15,0.21,2.23,5.37,7.2
Joe Allen,MF,Stoke City,36,36,3139,34.9,0.06,0.17,0.23,0.06,0,0,0.23,0,0.05,0.05,0.08,0.13,1.06,4.73,2.55
Dele Alli,"MF,FW",Tottenham,36,34,2958,32.9,0.27,0.3,0.58,0.27,0,0,0.21,0,0.28,0.28,0.25,0.53,3.04,5.5,10.9
Marcos Alonso,"DF,MF",Chelsea,33,33,2855,31.7,0.22,0.06,0.28,0.22,0,0,0.19,0,0.13,0.13,0.09,0.22,2.46,3.25,8.23
Daniel Amartey,DF,Leicester City,8,6,487,5.4,0,0,0,0,0,0,0.19,0.37,0,0,0,0,0.93,2.59,0.74
Ethan Ampadu,DF,Chelsea,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Nordin Amrabat,FW,Watford,3,3,198,2.2,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.09,1.36,3.18,10
Michail Antonio,"FW,MF",West Ham,21,16,1354,15,0.2,0.07,0.27,0.2,0,0,0.07,0,0.16,0.16,0.07,0.23,3.13,1.93,7.8
Scott Arfield,"MF,FW",Burnley,18,15,1333,14.8,0.14,0.07,0.2,0.14,0,0,0.2,0,0.09,0.09,0.03,0.11,1.08,2.16,3.18
Marko Arnautović,"FW,MF",West Ham,31,28,2313,25.7,0.43,0.23,0.66,0.43,0,0,0.19,0.04,0.33,0.33,0.17,0.51,2.96,2.02,9.03
Harry Arter,MF,Bournemouth,13,11,960,10.7,0.09,0,0.09,0.09,0,0,0.37,0,0.03,0.03,0.02,0.05,1.31,6.36,0.75
Christian Atsu,"FW,MF",Newcastle Utd,28,19,1784,19.8,0.1,0.1,0.2,0.1,0,0,0.05,0,0.2,0.2,0.13,0.34,3.54,2.37,6.31
Pierre-Emerick Aubameyang,FW,Arsenal,13,12,1057,11.7,0.85,0.34,1.2,0.77,0.09,0.17,0,0,0.72,0.58,0.09,0.68,2.65,0.77,7.26
Serge Aurier,DF,Tottenham,17,16,1429,15.9,0.13,0.13,0.25,0.13,0,0,0.13,0.13,0.05,0.05,0.16,0.21,2.01,4.21,9.56
Charlie Austin,FW,Southampton,24,10,1037,11.5,0.61,0,0.61,0.52,0.09,0.09,0.17,0,0.62,0.55,0.07,0.62,0.43,1.57,5.83
André Ayew,"MF,FW",West Ham,18,9,895,9.9,0.3,0.2,0.51,0.3,0,0.1,0.2,0,0.33,0.25,0.03,0.29,1.82,1.82,4.34
André Ayew,"MF,FW",Swansea City,12,10,950,10.6,0,0.19,0.19,0,0,0,0.28,0,0.18,0.18,0.12,0.3,1.51,2.26,5
Jordan Ayew,"FW,MF",Swansea City,36,33,2852,31.7,0.22,0.06,0.28,0.19,0.03,0.03,0.06,0.03,0.23,0.21,0.06,0.27,2.4,1.58,7.32
César Azpilicueta,DF,Chelsea,37,37,3330,37,0.05,0.16,0.22,0.05,0,0,0.03,0,0.04,0.04,0.13,0.16,1.65,6.49,2.19
Eric Bailly,DF,Manchester Utd,13,11,1001,11.1,0.09,0,0.09,0.09,0,0,0.18,0,0.1,0.1,0.02,0.12,0.27,2.34,0
Leighton Baines,DF,Everton,22,22,1909,21.2,0.09,0.14,0.24,0,0.09,0.09,0.05,0,0.1,0.02,0.09,0.12,1.46,3.96,2.88
Tiemoué Bakayoko,MF,Chelsea,29,24,2126,23.6,0.08,0.08,0.17,0.08,0,0,0.17,0.08,0.14,0.14,0.05,0.19,1.65,5.21,2.42
Sam Baldock,FW,Brighton,2,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5
Beni Baningime,MF,Everton,8,1,198,2.2,0,0,0,0,0,0,0.45,0,0,0,0,0,0.45,5,1.36
Phil Bardsley,DF,Burnley,13,13,1125,12.5,0,0,0,0,0,0,0.4,0,0,0,0.02,0.02,0.56,4.24,0.56
Ross Barkley,MF,Chelsea,2,2,129,1.4,0,0,0,0,0,0,0,0,0.57,0.57,0.07,0.64,5,2.86,9.29
Ashley Barnes,FW,Burnley,36,21,2165,24.1,0.37,0,0.37,0.37,0,0,0.41,0,0.28,0.28,0.07,0.34,0.71,1.41,5.27
Harvey Barnes,"MF,FW",Leicester City,3,0,10,0.1,0,0,0,0,0,0,0,0,1,1,0,1,0,20,20
Gareth Barry,MF,West Brom,25,22,1923,21.4,0.05,0.05,0.09,0.05,0,0,0.19,0,0.07,0.07,0.07,0.14,0.93,5.89,1.07
Kyle Bartley,DF,Swansea City,5,2,235,2.6,0,0,0,0,0,0,0.77,0,0.04,0.04,0.12,0.15,0.77,2.69,0
Michy Batshuayi,FW,Chelsea,12,3,360,4,0.5,0.25,0.75,0.5,0,0,0,0,0.28,0.28,0.03,0.3,2.25,2,8
Moritz Bauer,"DF,MF",Stoke City,15,15,1306,14.5,0,0,0,0,0,0,0.28,0,0.01,0.01,0.06,0.08,1.72,1.31,3.1
Jan Bednarek,DF,Southampton,5,5,426,4.7,0.21,0,0.21,0.21,0,0,0.21,0,0.04,0.04,0,0.04,0,2.98,0
Asmir Begović,GK,Bournemouth,38,38,3420,38,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0
Héctor Bellerín,DF,Arsenal,35,34,3051,33.9,0.06,0.09,0.15,0.06,0,0,0.15,0,0.06,0.06,0.12,0.18,2.48,3.95,9.82
Yohan Benalouane,DF,Leicester City,1,1,90,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,4
Christian Benteke,FW,Crystal Palace,31,24,2240,24.9,0.12,0.2,0.32,0.08,0.04,0.08,0.24,0,0.41,0.35,0.12,0.46,0.72,1.69,5.34
Saido Berahino,FW,Stoke City,15,3,494,5.5,0,0.18,0.18,0,0,0.18,0,0,0.36,0.22,0.11,0.33,1.09,1.64,5.45
Jóhann Berg Guðmundsson,MF,Burnley,35,32,2833,31.5,0.06,0.25,0.32,0.06,0,0,0.06,0,0.11,0.11,0.15,0.26,2.63,2.38,6.1
Ryan Bertrand,DF,Southampton,35,35,3135,34.8,0,0.11,0.11,0,0,0,0.06,0,0.05,0.05,0.09,0.14,2.56,5,6.12
Muhamed Bešić,MF,Everton,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Philip Billing,MF,Huddersfield,16,8,764,8.5,0,0,0,0,0,0,0.35,0,0.02,0.02,0.06,0.08,1.41,3.06,1.53
Mame Biram Diouf,"FW,DF",Stoke City,35,30,2596,28.8,0.21,0.07,0.28,0.21,0,0,0.21,0,0.23,0.23,0.07,0.29,1.32,1.49,5.97
Daley Blind,"DF,MF",Manchester Utd,7,4,362,4,0,0,0,0,0,0,0,0,0.03,0.03,0.05,0.07,2.25,5.75,5.5
Jeremie Boga,MF,Chelsea,1,1,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Yannick Bolasie,FW,Everton,16,11,851,9.5,0.11,0,0.11,0.11,0,0,0,0,0.16,0.16,0.07,0.24,4.11,2.11,5.47
Gaëtan Bong,DF,Brighton,25,25,2236,24.8,0,0,0,0,0,0,0.08,0,0,0,0.02,0.02,2.02,3.43,1.29
Wilfried Bony,FW,Swansea City,15,8,707,7.9,0.25,0,0.25,0.25,0,0,0.25,0,0.2,0.2,0.03,0.23,0.89,1.39,5.19
Sofiane Boufal,"FW,MF",Southampton,26,11,1219,13.5,0.15,0.15,0.3,0.15,0,0,0.07,0,0.13,0.13,0.13,0.25,5.78,5.63,8.44
Robbie Brady,MF,Burnley,15,15,1277,14.2,0.07,0.14,0.21,0.07,0,0,0.21,0,0.08,0.08,0.15,0.23,2.25,3.8,4.72
Claudio Bravo,GK,Manchester City,3,2,226,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Britos,DF,Watford,12,10,797,8.9,0.11,0,0.11,0.11,0,0,0.34,0.11,0.09,0.09,0.04,0.13,0.56,4.83,0.45
Leon Britton,MF,Swansea City,5,4,302,3.4,0,0,0,0,0,0,0.29,0,0,0,0,0,0.29,3.24,0
Izzy Brown,"MF,FW",Brighton,13,4,311,3.5,0,0,0,0,0,0,0,0,0.03,0.03,0.23,0.26,2.57,2.57,6.29
Bruno,DF,Brighton,25,23,2016,22.4,0,0,0,0,0,0,0.13,0,0,0,0.03,0.03,0.89,3.48,2.46
Chris Brunt,"MF,DF",West Brom,26,22,1920,21.3,0,0.33,0.33,0,0,0,0.23,0,0.08,0.08,0.2,0.29,1.13,4.69,1.74
Oliver Burke,"FW,MF",West Brom,15,2,367,4.1,0,0.49,0.49,0,0,0,0,0,0.12,0.12,0.12,0.24,2.93,1.46,9.02
Jack Butland,GK,Stoke City,35,35,3150,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Byram,"DF,MF",West Ham,5,2,248,2.8,0,0,0,0,0,0,0.36,0,0.11,0.11,0.04,0.14,1.79,5,3.57
Willy Caballero,GK,Chelsea,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yohan Cabaye,MF,Crystal Palace,31,28,2376,26.4,0,0.04,0.04,0,0,0,0.27,0,0.09,0.09,0.16,0.24,0.49,5.23,1.4
Gary Cahill,DF,Chelsea,27,24,2086,23.2,0,0,0,0,0,0,0.04,0.04,0.02,0.02,0,0.03,0.73,2.97,0.34
Dominic Calvert-Lewin,FW,Everton,32,18,1882,20.9,0.19,0.29,0.48,0.19,0,0,0.19,0,0.23,0.23,0.12,0.35,2.01,1.29,5.98
Geoff Cameron,"DF,MF",Stoke City,20,17,1525,16.9,0,0,0,0,0,0,0.12,0,0.02,0.02,0.01,0.03,0.53,2.84,0.89
Tyrese Campbell,FW,Stoke City,4,0,79,0.9,0,0,0,0,0,0,0,0,0.22,0.22,0,0.22,1.11,4.44,4.44
Emre Can,MF,Liverpool,26,24,2091,23.2,0.13,0.17,0.3,0.13,0,0,0.34,0,0.08,0.08,0.13,0.21,3.62,5.91,2.07
Étienne Capoue,MF,Watford,23,18,1542,17.1,0.06,0,0.06,0.06,0,0,0.18,0,0.05,0.05,0.04,0.08,0.47,4.33,1.29
Michael Carrick,MF,Manchester Utd,2,1,109,1.2,0,0,0,0,0,0,0,0,0.42,0.42,0.08,0.5,0,12.5,0.83
André Carrillo,"FW,MF",Watford,28,16,1540,17.1,0.06,0.12,0.18,0.06,0,0,0.12,0,0.13,0.13,0.16,0.3,4.15,4.21,5.67
Guido Carrillo,FW,Southampton,7,5,450,5,0,0.2,0.2,0,0,0,0,0,0.14,0.14,0.08,0.2,0.6,1.6,6.4
Andy Carroll,FW,West Ham,16,7,751,8.3,0.36,0,0.36,0.36,0,0,0.72,0.24,0.22,0.22,0.06,0.29,0.72,1.33,5.06
Tom Carroll,MF,Swansea City,37,28,2570,28.6,0,0.14,0.14,0,0,0,0.1,0,0.03,0.03,0.14,0.17,1.89,6.26,1.99
Craig Cathcart,DF,Watford,7,5,523,5.8,0,0,0,0,0,0,0.17,0,0.02,0.02,0,0.02,0.34,1.9,0
Petr Čech,GK,Arsenal,34,34,3039,33.8,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.03,0
Nacer Chadli,"FW,MF",West Brom,5,2,260,2.9,0.34,0,0.34,0.34,0,0,0.34,0,0.07,0.07,0.03,0.1,1.38,2.41,2.76
Nathaniel Chalobah,MF,Watford,6,5,447,5,0,0,0,0,0,0,0.2,0,0.16,0.16,0,0.18,1.4,4.4,2.8
Calum Chambers,DF,Arsenal,12,10,866,9.6,0,0,0,0,0,0,0.1,0,0.15,0.15,0.01,0.16,1.15,4.48,2.08
Ben Chilwell,DF,Leicester City,24,20,1853,20.6,0,0.1,0.1,0,0,0,0.1,0.1,0.01,0.01,0.12,0.13,4.13,3.79,5.87
Hamza Choudhury,"MF,DF",Leicester City,8,4,378,4.2,0,0.24,0.24,0,0,0,0.24,0,0,0,0.1,0.1,0.48,3.81,0.24
Andreas Christensen,DF,Chelsea,27,23,2086,23.2,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04,0.95,3.28,0.09
Lee Chung-yong,"FW,MF",Crystal Palace,7,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0.07,0.07,2.67,1.33,10.7
Ciaran Clark,DF,Newcastle Utd,20,19,1746,19.4,0.1,0.05,0.15,0.1,0,0,0.15,0,0.09,0.09,0.04,0.13,0.62,1.49,0.15
Tom Cleverley,MF,Watford,23,22,1902,21.1,0.05,0.09,0.14,0.05,0,0.05,0.09,0.09,0.09,0.05,0.08,0.13,1.47,6.45,3.13
Sam Clucas,MF,Swansea City,29,23,2044,22.7,0.13,0.04,0.18,0.13,0,0,0.09,0,0.11,0.11,0.06,0.17,1.06,2.69,3
Nathaniel Clyne,"DF,FW",Liverpool,3,2,174,1.9,0,0,0,0,0,0,0.53,0,0.05,0.05,0.05,0.11,2.63,2.63,15.3
Séamus Coleman,DF,Everton,12,12,1035,11.5,0,0.09,0.09,0,0,0,0,0,0.09,0.09,0.06,0.15,2.96,3.83,3.83
James Collins,DF,West Ham,13,12,1050,11.7,0.09,0,0.09,0.09,0,0,0.26,0,0.03,0.03,0.02,0.04,0.43,2.05,0.09
Lewis Cook,MF,Bournemouth,29,25,2237,24.9,0,0.08,0.08,0,0,0,0.2,0,0.02,0.02,0.06,0.08,2.09,6.95,1.2
Steve Cook,DF,Bournemouth,34,31,2767,30.7,0.07,0.03,0.1,0.07,0,0,0.16,0,0.05,0.05,0.03,0.08,0.49,2.7,0.29
Francis Coquelin,"MF,DF",Arsenal,7,1,169,1.9,0,0,0,0,0,0,0,0,0.05,0.05,0.32,0.37,0.53,5.79,0.53
Jack Cork,MF,Burnley,38,38,3420,38,0.05,0.03,0.08,0.05,0,0,0.18,0,0.06,0.06,0.03,0.09,1.03,4.34,1.08
Thibaut Courtois,GK,Chelsea,35,35,3150,35,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0
Philippe Coutinho,"MF,FW",Liverpool,14,13,1109,12.3,0.57,0.49,1.06,0.57,0,0,0,0,0.28,0.28,0.38,0.67,5.61,11.8,7.64
Martin Cranie,DF,Huddersfield,3,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
