Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Max Aarons,DF,Norwich City,34,32,2881,32,0,2,2,0,0,0,8,0,0.8,0.8,1.7,2.5,78,117,85
Che Adams,FW,Southampton,30,23,2039,22.7,7,3,10,7,0,0,0,0,7.1,7.1,3,10.1,19,33,153
Rayan Aït Nouri,"DF,MF",Wolves,23,20,1828,20.3,1,2,3,1,0,0,4,0,0.6,0.6,1.6,2.2,60,49,127
Kristoffer Ajer,DF,Brentford,24,23,1995,22.2,1,3,4,1,0,0,5,0,0.8,0.8,1.7,2.5,30,82,29
Nathan Aké,DF,Manchester City,14,10,923,10.3,2,0,2,2,0,0,0,0,0.7,0.7,0.6,1.2,12,57,8
Marc Albrighton,"FW,DF",Leicester City,17,11,1132,12.6,1,2,3,1,0,0,3,0,0.5,0.5,2,2.5,21,26,56
Thiago Alcántara,MF,Liverpool,25,17,1534,17,1,4,5,1,0,0,2,0,1.9,1.9,2.3,4.2,24,214,45
Trent Alexander-Arnold,DF,Liverpool,32,32,2853,31.7,2,12,14,2,0,0,2,0,2.4,2.4,12,14.4,53,267,201
Alisson,GK,Liverpool,36,36,3240,36,0,1,1,0,0,0,0,0,0,0,0.2,0.2,0,1,0
Allan,MF,Everton,28,25,2183,24.3,0,2,2,0,0,0,7,1,0.2,0.2,0.8,1.1,26,130,18
Dele Alli,MF,Tottenham,10,8,657,7.3,1,0,1,0,1,1,1,0,1.6,0.8,0.3,1.1,8,18,22
Dele Alli,"MF,FW",Everton,11,1,338,3.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.5,7,13,21
Miguel Almirón,"MF,FW",Newcastle Utd,30,19,1716,19.1,1,0,1,1,0,0,2,0,1.7,1.7,0.9,2.6,44,46,85
Marcos Alonso,DF,Chelsea,28,25,2167,24.1,4,4,8,4,0,0,8,0,2.8,2.8,4.5,7.3,51,93,192
Steven Alzate,MF,Brighton,9,5,404,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,3,21,6
Daniel Amartey,DF,Leicester City,28,23,2123,23.6,0,0,0,0,0,0,4,0,0,0,0.2,0.2,14,62,0
Joachim Andersen,DF,Crystal Palace,34,32,2916,32.4,0,3,3,0,0,0,4,0,0.7,0.7,1.7,2.4,14,100,4
Michail Antonio,FW,West Ham,36,34,2971,33,10,8,18,10,0,1,8,1,10.8,10.2,6,16.2,77,46,246
Cameron Archer,"FW,MF",Aston Villa,3,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alphonse Areola,GK,West Ham,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Armstrong,FW,Southampton,23,17,1413,15.7,2,2,4,2,0,0,1,0,4.5,4.5,1.6,6.2,39,30,105
Stuart Armstrong,MF,Southampton,25,15,1473,16.4,2,0,2,2,0,0,1,0,2.5,2.5,1.5,4,63,83,78
Kepa Arrizabalaga,GK,Chelsea,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Ashby,DF,West Ham,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick Aubameyang,FW,Arsenal,14,12,1037,11.5,4,1,5,4,0,2,3,0,5.9,4.2,1,5.2,21,26,47
Jordan Ayew,FW,Crystal Palace,31,23,2019,22.4,3,3,6,3,0,0,2,0,3.1,3.1,2.8,5.9,98,51,151
