rank,player,nation,position,team,age,born,ninetys,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_free_kicks,penalties_made,penalties_attempted,expected_goals,non_penalty_expected_goals,non_penalty_expected_goal/shots,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
489,Danny Williams,us USA,MF,Huddersfield,29,1989,1.1,0,1,0,0,0.94,0,0,,30.3,0,0,0,0,0,0.02,0,0
490,Willian,br BRA,FW,Chelsea,29,1988,23.3,3,62,22,35.5,2.66,0.94,0.05,0.14,19.9,8,0,0,4.2,4.2,0.07,-1.2,-1.2
491,Joe Willock,eng ENG,"MF,FW",Arsenal,18,1999,0.7,0,2,0,0,2.81,0,0,,17.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
492,Ben Wilmot,eng ENG,"MF,DF",Watford,18,1999,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
493,Jack Wilshere,eng ENG,MF,West Ham,26,1992,4.4,0,2,1,50,0.46,0.23,0,0,16.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
494,Callum Wilson,eng ENG,FW,Bournemouth,26,1992,28.1,14,63,27,42.9,2.24,0.96,0.21,0.48,11.8,0,1,2,13.4,11.9,0.19,0.6,1.1
495,Harry Winks,eng ENG,MF,Tottenham,22,1996,17.7,1,9,2,22.2,0.51,0.11,0.11,0.5,22,0,0,0,1,1,0.12,0,0
496,Chris Wood,nz NZL,FW,Burnley,26,1991,28.8,10,59,23,39,2.05,0.8,0.17,0.43,12.4,0,0,0,8.8,8.8,0.15,1.2,1.2
497,Granit Xhaka,ch SUI,"MF,DF",Arsenal,25,1992,27.8,4,29,11,37.9,1.04,0.4,0.14,0.36,26.5,7,0,0,2,2,0.07,2,2
498,Andriy Yarmolenko,ua UKR,"MF,FW",West Ham,28,1989,5.1,2,9,3,33.3,1.76,0.59,0.22,0.67,17.1,0,0,0,1.1,1.1,0.12,0.9,0.9
499,DeAndre Yedlin,us USA,DF,Newcastle Utd,25,1993,27.5,1,11,2,18.2,0.4,0.07,0.09,0.5,24.7,0,0,0,1.2,1.2,0.11,-0.2,-0.2
500,Maya Yoshida,jp JPN,DF,Southampton,29,1988,16.9,0,13,3,23.1,0.77,0.18,0,0,9.7,0,0,0,1.9,1.9,0.15,-1.9,-1.9
501,Ashley Young,eng ENG,DF,Manchester Utd,33,1985,28.5,2,12,3,25,0.42,0.11,0.17,0.67,21.5,2,0,0,0.5,0.5,0.04,1.5,1.5
502,Pablo Zabaleta,ar ARG,DF,West Ham,33,1985,23.2,0,7,1,14.3,0.3,0.04,0,0,24,0,0,0,0.2,0.2,0.03,-0.2,-0.2
503,Wilfried Zaha,ci CIV,FW,Crystal Palace,25,1992,33.7,10,73,27,37,2.16,0.8,0.14,0.37,16.7,0,0,0,5.7,5.7,0.08,4.3,4.3
504,Andre-Frank Zambo Anguissa,cm CMR,MF,Fulham,22,1995,16.9,0,21,5,23.8,1.25,0.3,0,0,24.7,0,0,0,0.8,0.8,0.04,-0.8,-0.8
505,Davide Zappacosta,it ITA,DF,Chelsea,26,1992,1.4,0,2,1,50,1.41,0.7,0,0,17.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
506,Oleksandr Zinchenko,ua UKR,DF,Manchester City,21,1996,12.8,0,7,1,14.3,0.55,0.08,0,0,25.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2
507,Kenneth Zohore,dk DEN,FW,Cardiff City,24,1994,8.4,1,17,7,41.2,2.03,0.84,0.06,0.14,13.8,0,0,0,1.7,1.7,0.1,-0.7,-0.7
508,Kurt Zouma,fr FRA,DF,Everton,23,1994,29,2,19,3,15.8,0.65,0.1,0.11,0.67,13.5,0,0,0,1.5,1.5,0.08,0.5,0.5
