player,position,team,touches,touches_in_defensive_penalty_area,touches_in_defensive_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty_area,live_ball_touches,take_ons_attempted,take_ons_succeeded,times_tackled_during_take_on,carries,total_carrying_distance,progressive_carrying_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received
Patrick van Aanholt,DF,Crystal Palace,2300,123,666,1046,611,63,2300,42,22,20,1051,5415,3184,69,16,35,15,1335
Sergio Agüero,FW,Manchester City,1119,4,22,384,724,200,1117,73,45,28,824,4572,1987,60,35,74,54,896
Nathan Aké,DF,Bournemouth,2205,305,1260,813,141,50,2205,5,3,2,1299,6617,3890,18,2,18,6,1307
Marc Albrighton,"FW,MF",Leicester City,1005,39,203,416,402,27,1005,55,20,35,633,3260,1410,30,3,35,23,656
Toby Alderweireld,DF,Tottenham,2690,270,1244,1360,107,18,2690,2,1,1,1848,8658,4863,25,0,6,0,1922
Trent Alexander-Arnold,DF,Liverpool,2514,70,528,1210,798,39,2514,27,14,13,1416,5548,3296,64,7,41,14,1538
Alisson Becker,GK,Liverpool,1347,1118,1338,10,0,0,1347,2,2,0,838,3680,2466,1,0,0,1,675
Dele Alli,MF,Tottenham,1320,32,147,674,514,91,1320,54,29,25,857,4278,1961,39,14,49,29,948
Miguel Almirón,MF,Newcastle Utd,380,7,56,157,175,25,380,14,7,7,215,1714,1037,16,6,22,6,240
Marcos Alonso,DF,Chelsea,2631,109,668,1137,843,70,2631,33,17,15,1446,7514,4482,81,7,32,28,1681
Daniel Amartey,DF,Leicester City,518,43,193,272,54,3,518,4,2,2,293,1124,608,9,1,3,4,276
Luke Amos,MF,Tottenham,4,0,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Felipe Anderson,"MF,FW",West Ham,2319,29,269,1148,954,107,2319,156,76,80,1397,10958,6130,158,52,97,54,1622
Florin Andone,FW,Brighton,345,15,50,143,161,46,345,37,9,28,210,1186,368,11,11,48,33,237
Michail Antonio,"MF,FW",West Ham,1170,38,152,531,511,93,1170,104,58,46,683,4981,2349,54,29,83,68,823
Stuart Armstrong,MF,Southampton,837,14,92,379,371,39,837,30,19,11,456,2678,1111,36,7,40,25,574
Marko Arnautović,FW,West Ham,848,6,45,333,479,126,847,36,20,16,498,2611,926,25,24,47,32,681
Kepa Arrizabalaga,GK,Chelsea,1207,1059,1198,9,0,0,1207,1,1,0,662,3034,1787,0,0,1,1,622
Harry Arter,MF,Cardiff City,886,33,165,500,231,15,886,7,3,4,294,1589,813,17,1,20,3,412
Christian Atsu,MF,Newcastle Utd,636,16,100,277,276,37,636,52,25,27,380,2646,1355,40,14,48,30,426
Pierre-Emerick Aubameyang,FW,Arsenal,1048,17,83,417,560,142,1043,55,29,26,609,3920,2078,45,30,61,33,816
Serge Aurier,DF,Tottenham,432,22,122,176,137,9,432,14,8,6,203,794,434,11,0,12,7,231
Charlie Austin,FW,Southampton,331,17,38,150,144,47,330,6,1,5,147,643,167,1,2,30,18,229
Jordan Ayew,FW,Crystal Palace,485,7,50,231,216,56,485,26,11,15,273,1734,667,9,9,47,32,325
Floyd Ayité,"FW,MF",Fulham,272,6,38,140,98,14,272,17,10,7,160,1122,489,10,4,20,13,191
César Azpilicueta,DF,Chelsea,3352,121,993,1493,873,48,3352,22,10,12,1605,5682,3081,64,9,33,9,2168
Ryan Babel,"FW,MF",Fulham,649,19,66,335,255,30,649,34,27,7,391,2802,1218,35,7,37,28,508
Juninho Bacuna,"MF,DF",Huddersfield,990,17,181,613,214,10,990,50,26,24,539,2602,1215,24,3,39,17,605
Leandro Bacuna,MF,Cardiff City,237,15,72,128,45,2,237,7,5,2,72,687,421,7,1,11,5,71
Eric Bailly,DF,Manchester Utd,390,56,215,167,11,7,390,5,4,1,191,868,338,1,0,5,1,233
Leighton Baines,DF,Everton,291,11,52,165,75,0,291,1,0,1,127,476,301,6,0,1,1,155
Fabián Balbuena,DF,West Ham,1157,198,631,489,39,28,1157,1,1,0,485,2345,1391,4,0,4,2,589
Leon Balogun,DF,Brighton,300,35,183,113,6,6,300,1,0,1,117,483,141,0,0,9,2,148
Sol Bamba,DF,Cardiff City,1016,195,567,418,49,28,1016,20,14,6,289,1565,702,5,0,20,11,245
Phil Bardsley,DF,Burnley,990,80,278,518,202,5,990,8,4,4,334,1842,885,21,2,9,6,405
Ross Barkley,MF,Chelsea,1121,24,135,657,339,38,1121,22,15,7,703,3329,1465,35,3,19,33,901
Ashley Barnes,FW,Burnley,874,34,86,394,401,106,872,13,7,6,432,1603,602,15,13,84,39,638
Harvey Barnes,"MF,FW",Leicester City,473,6,37,144,301,78,473,49,30,19,334,2592,1569,23,28,29,15,360
Antonio Barreca,DF,Newcastle Utd,3,0,0,2,1,0,3,0,0,0,3,19,17,0,0,0,0,3
Michy Batshuayi,FW,Crystal Palace,250,4,28,121,106,40,250,16,9,7,135,756,285,8,6,16,12,166
Jan Bednarek,DF,Southampton,1237,179,583,627,35,12,1237,3,1,2,450,2057,1134,4,2,4,5,473
Asmir Begović,GK,Bournemouth,718,655,717,1,0,0,718,0,0,0,349,1804,1181,0,0,2,0,210
Héctor Bellerín,DF,Arsenal,1117,48,300,459,364,52,1117,23,15,8,577,3433,1794,28,9,20,15,702
Joe Bennett,DF,Cardiff City,1227,117,373,570,294,13,1227,34,24,10,384,1979,1050,19,4,10,11,432
Ryan Bennett,DF,Wolves,1733,177,704,916,122,24,1733,4,3,1,721,2960,1828,11,0,5,1,973
Christian Benteke,FW,Crystal Palace,354,19,34,168,154,49,354,8,5,3,153,668,190,5,4,27,15,279
Jóhann Berg Guðmundsson,MF,Burnley,868,43,152,294,438,49,868,40,16,24,454,3073,1494,37,5,41,28,476
Bernard,"FW,MF",Everton,1180,20,202,473,521,69,1180,82,40,42,754,4838,2619,66,33,74,40,797
Bernardo,DF,Brighton,1295,98,448,591,266,10,1295,22,14,8,581,3139,1924,35,2,26,12,590
Ryan Bertrand,DF,Southampton,1342,71,286,591,470,27,1342,20,6,14,517,2791,1445,34,8,30,7,661
Marcus Bettinelli,GK,Fulham,267,230,267,0,0,0,267,0,0,0,94,510,353,0,0,1,0,107
Philip Billing,MF,Huddersfield,1633,64,362,791,505,32,1633,38,20,18,773,4685,2133,50,5,54,28,875
Yves Bissouma,MF,Brighton,1023,45,205,591,251,29,1023,71,47,24,577,4194,2080,42,11,43,31,620
Willy Boly,DF,Wolves,2168,212,912,1206,67,33,2168,16,13,3,1090,5841,3475,18,2,11,15,1269
Léo Bonatini,FW,Wolves,78,1,3,38,38,13,78,3,1,2,58,213,67,1,1,4,4,64
Gaëtan Bong,DF,Brighton,1071,87,378,470,228,3,1071,23,11,12,452,2730,1485,31,1,18,16,467
Artur Boruc,GK,Bournemouth,378,330,376,3,0,0,378,0,0,0,164,1028,692,0,0,0,0,100
Robbie Brady,MF,Burnley,378,18,73,157,154,11,378,13,7,6,158,1068,501,11,1,12,10,199
Miguel Britos,DF,Watford,84,14,52,28,4,0,84,3,1,2,38,148,51,0,0,1,0,38
David Brooks,"MF,FW",Bournemouth,1231,23,186,604,457,87,1231,64,24,40,847,4787,2276,46,22,58,42,870
Bruno,DF,Brighton,733,56,260,343,130,2,733,6,4,2,344,1181,658,7,0,4,2,411
Joe Bryan,"DF,MF",Fulham,1591,101,441,753,407,32,1591,26,13,13,597,3854,1985,36,15,21,18,846
David Button,GK,Brighton,116,105,116,0,0,0,116,0,0,0,52,410,313,0,0,0,0,36
Willy Caballero,GK,Chelsea,64,56,64,0,0,0,64,0,0,0,28,185,126,0,0,0,0,29
Gary Cahill,DF,Chelsea,19,1,4,15,0,0,19,0,0,0,11,76,62,0,0,0,0,14
Tom Cairney,"MF,FW",Fulham,1623,21,174,1043,420,25,1623,62,43,19,892,5385,2315,55,7,35,49,1308
Dominic Calvert-Lewin,FW,Everton,702,24,52,309,350,82,702,39,21,18,417,2307,736,25,11,67,42,551
Rafael Camacho,DF,Liverpool,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Víctor Camarasa,MF,Cardiff City,1298,32,169,591,569,34,1297,62,34,28,703,4539,1979,46,10,61,49,742
Étienne Capoue,MF,Watford,2155,129,515,1446,216,16,2155,42,32,10,1178,4558,2184,27,1,18,20,1259
Andy Carroll,FW,West Ham,201,11,17,122,64,23,201,6,3,3,87,303,95,2,0,16,8,154
Jonny Castro,"DF,MF",Wolves,1787,88,474,742,587,51,1787,60,30,30,765,4861,2734,55,12,40,40,943
Craig Cathcart,DF,Watford,1648,218,811,789,52,21,1648,3,2,1,845,3347,1674,4,0,9,4,870
Ivan Cavaleiro,"FW,MF",Wolves,456,3,36,163,263,34,456,26,15,11,271,1883,879,18,9,26,19,349
Petr Čech,GK,Arsenal,294,257,293,1,0,0,294,0,0,0,146,786,529,0,0,0,0,132
Nathaniel Chalobah,MF,Watford,148,12,35,83,32,3,148,2,0,2,74,213,74,2,0,8,3,80
Calum Chambers,"MF,DF",Fulham,1906,147,573,1128,218,38,1906,32,22,10,739,3352,1555,17,2,32,26,1124
Ben Chilwell,DF,Leicester City,2708,127,663,1200,872,53,2708,85,49,36,1475,9904,5468,113,26,71,46,1607
Tahith Chong,FW,Manchester Utd,23,1,2,6,15,4,23,1,1,0,18,129,64,2,1,1,1,19
Hamza Choudhury,MF,Leicester City,328,28,92,185,56,2,328,6,2,4,175,679,333,5,1,7,2,174
Andreas Christensen,DF,Chelsea,517,35,230,280,9,3,517,1,1,0,304,1759,1091,4,0,3,0,352
Cyrus Christie,"DF,MF",Fulham,1490,98,411,671,427,26,1490,50,27,23,660,4828,2414,40,11,28,29,834
Ibrahima Cissé,MF,Fulham,45,6,16,27,2,0,45,2,1,1,17,93,26,0,0,1,0,23
Ciaran Clark,DF,Newcastle Utd,426,56,222,174,32,13,426,0,0,0,146,628,276,4,1,2,2,202
Tom Cleverley,MF,Watford,290,14,65,162,63,7,290,3,1,2,144,513,249,6,1,5,4,160
Nathaniel Clyne,DF,Bournemouth,719,35,225,300,198,16,719,9,4,5,355,1488,724,12,1,8,10,359
Nathaniel Clyne,DF,Liverpool,103,0,15,59,29,3,103,0,0,0,56,218,119,3,0,1,1,56
Conor Coady,DF,Wolves,1947,269,1092,862,2,0,1947,3,3,0,1149,6124,3618,6,2,6,4,1267
Joel Coleman,GK,Huddersfield,38,33,38,0,0,0,38,0,0,0,17,96,67,0,0,0,0,16
Séamus Coleman,DF,Everton,1920,94,540,848,555,52,1920,44,21,23,959,4653,2309,48,14,43,23,1015
