player,position,team,goals_against,shots_on_target_against,saves,wins,draws,losses,clean_sheets,penalties_faced,penalties_allowed,penalties_saved,penalties_missed
Alisson,GK,Liverpool,22,96,74,30,7,1,21,1,0,0,1
Kepa Arrizabalaga,GK,Chelsea,39,121,81,20,8,8,14,2,1,1,0
Asmir Begović,GK,Bournemouth,47,104,59,8,3,13,5,2,2,0,0
Marcus Bettinelli,GK,Fulham,20,40,19,1,2,4,0,3,1,1,1
Artur Boruc,GK,Bournemouth,18,56,38,4,3,5,4,3,3,0,0
David Button,GK,Brighton,5,18,13,1,1,2,1,2,2,0,0
Willy Caballero,GK,Chelsea,0,3,3,1,1,0,2,0,0,0,0
Petr Čech,GK,Arsenal,9,37,28,5,0,2,1,0,0,0,0
Joel Coleman,GK,Huddersfield,1,3,2,0,1,0,0,0,0,0,0
Martin Dúbravka,GK,Newcastle Utd,48,140,93,12,9,17,11,6,6,0,0
Ederson,GK,Manchester City,23,81,58,32,2,4,20,4,4,0,0
Neil Etheridge,GK,Cardiff City,69,207,135,10,4,24,10,7,4,3,0
Łukasz Fabiański,GK,West Ham,55,198,143,15,7,16,7,5,4,1,0
Fabricio,GK,Fulham,5,21,16,0,0,2,0,0,0,0,0
Fraser Forster,GK,Southampton,3,6,3,0,0,1,0,0,0,0,0
Ben Foster,GK,Watford,59,180,123,14,8,16,7,5,4,1,0
Paulo Gazzaniga,GK,Tottenham,2,13,11,2,0,1,1,0,0,0,0
David de Gea,GK,Manchester Utd,54,171,120,19,9,10,7,6,6,0,0
Vicente Guaita,GK,Crystal Palace,23,85,63,10,4,6,7,1,1,0,0
Angus Gunn,GK,Southampton,18,50,31,4,4,4,3,1,0,1,0
Ben Hamer,GK,Huddersfield,21,42,22,0,1,6,0,3,3,0,0
Joe Hart,GK,Burnley,41,116,75,3,3,13,4,2,1,1,0
Tom Heaton,GK,Burnley,27,83,59,8,4,7,4,1,1,0,0
Wayne Hennessey,GK,Crystal Palace,26,69,42,4,3,10,5,4,3,1,0
Bernd Leno,GK,Arsenal,42,145,104,16,7,8,7,7,7,0,0
Hugo Lloris,GK,Tottenham,33,130,98,21,2,10,12,5,3,2,0
Jonas Lössl,GK,Huddersfield,54,141,86,3,5,22,5,5,4,1,0
Alex McCarthy,GK,Southampton,44,119,78,5,8,12,4,2,2,0,0
Will Norris,GK,Wolves,0,0,0,0,0,0,1,0,0,0,0
Rui Patrício,GK,Wolves,46,138,96,15,9,13,7,4,3,0,1
Jordan Pickford,GK,Everton,46,136,89,15,9,14,14,5,2,3,0
Sergio Rico,GK,Fulham,56,165,111,6,3,20,5,4,4,0,0
John Ruddy,GK,Wolves,0,3,3,1,0,0,1,0,0,0,0
Mathew Ryan,GK,Brighton,55,152,96,8,8,18,6,8,8,0,0
Kasper Schmeichel,GK,Leicester City,48,138,90,15,7,16,10,5,5,0,0
Julián Speroni,GK,Crystal Palace,4,9,5,0,0,1,0,0,0,0,0
Mark Travers,GK,Bournemouth,5,13,9,1,0,1,1,0,0,0,0
Michel Vorm,GK,Tottenham,4,13,9,0,0,2,0,0,0,0,0
