player,position,team,matches_played,starts,minutes_played,90s,goals,assists,goals+assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_passes_recieved
Patrick van Aanholt,DF,Crystal Palace,36,36,3195,35.5,3,2,5,3,0,0,3,0,2.6,2.6,4.4,7,89,212,106
Sergio Agüero,FW,Manchester City,33,31,2459,27.3,21,8,29,19,2,2,4,0,18.1,16.5,5,21.5,81,76,253
Nathan Aké,DF,Bournemouth,38,38,3411,37.9,4,0,4,4,0,0,3,0,3.4,3.4,1,4.4,20,98,25
Marc Albrighton,"FW,MF",Leicester City,27,18,1625,18.1,2,2,4,2,0,0,3,0,1.2,1.2,2.9,4.1,54,64,172
Toby Alderweireld,DF,Tottenham,34,33,2922,32.5,0,0,0,0,0,0,3,0,1.1,1.1,0.6,1.8,25,161,5
Trent Alexander-Arnold,DF,Liverpool,29,27,2462,27.4,1,12,13,1,0,0,3,0,1.6,1.6,6.3,7.9,70,157,174
Alisson,GK,Liverpool,38,38,3420,38,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Dele Alli,MF,Tottenham,25,22,1825,20.3,5,3,8,5,0,0,4,0,4.8,4.8,3.1,7.9,48,111,153
Miguel Almirón,MF,Newcastle Utd,10,9,759,8.4,0,0,0,0,0,0,0,0,1.5,1.5,0.6,2.1,31,25,45
Marcos Alonso,DF,Chelsea,31,31,2759,30.7,2,4,6,2,0,0,6,0,3.4,3.4,3.4,6.8,102,146,230
Daniel Amartey,DF,Leicester City,9,7,641,7.1,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.5,8,34,8
Luke Amos,MF,Tottenham,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felipe Anderson,"MF,FW",West Ham,36,36,3043,33.8,9,4,13,9,0,0,3,0,5.5,5.5,6.1,11.5,201,191,253
Florin Andone,FW,Brighton,23,8,881,9.8,3,0,3,3,0,0,5,0,2.5,2.5,0.1,2.6,13,4,62
Michail Antonio,"MF,FW",West Ham,33,22,2103,23.4,6,4,10,6,0,0,3,0,7.1,7.1,4.4,11.5,87,69,204
Stuart Armstrong,MF,Southampton,29,16,1432,15.9,3,2,5,3,0,0,2,0,2,2,1.5,3.4,40,86,90
Marko Arnautović,FW,West Ham,28,24,1990,22.1,10,4,14,9,1,1,3,0,8.9,8.1,4.4,12.5,38,43,195
Kepa Arrizabalaga,GK,Chelsea,36,36,3240,36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Harry Arter,MF,Cardiff City,25,24,1997,22.2,0,1,1,0,0,0,10,0,0.9,0.9,0.5,1.4,13,73,23
Christian Atsu,MF,Newcastle Utd,28,15,1493,16.6,1,0,1,1,0,0,2,0,2.1,2.1,1.6,3.7,48,31,72
Pierre-Emerick Aubameyang,FW,Arsenal,36,30,2726,30.3,22,5,27,18,4,5,0,0,22.6,18.5,4.2,22.7,82,70,228
Serge Aurier,DF,Tottenham,8,6,564,6.3,0,2,2,0,0,0,1,0,0.1,0.1,1,1.1,11,26,29
Charlie Austin,FW,Southampton,25,11,983,10.9,2,2,4,2,0,1,1,0,3.6,3.3,0.9,4.1,6,5,44
Jordan Ayew,FW,Crystal Palace,20,14,1181,13.1,1,2,3,1,0,0,3,0,2.9,2.9,1.2,4,31,19,90
Floyd Ayité,"FW,MF",Fulham,16,3,476,5.3,1,0,1,1,0,0,0,0,0.4,0.4,0.5,0.9,14,23,44
César Azpilicueta,DF,Chelsea,38,38,3402,37.8,1,5,6,1,0,0,4,0,1.2,1.2,2.4,3.6,46,160,205
Ryan Babel,"FW,MF",Fulham,16,15,1251,13.9,5,3,8,5,0,0,3,0,5.7,5.7,2.2,7.9,42,40,109
Juninho Bacuna,"MF,DF",Huddersfield,21,16,1412,15.7,1,0,1,1,0,0,4,0,0.7,0.7,1.4,2.1,24,95,30
Leandro Bacuna,MF,Cardiff City,11,4,561,6.2,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,11,16,5
Eric Bailly,DF,Manchester Utd,12,8,638,7.1,0,0,0,0,0,0,0,1,0.2,0.2,0,0.2,3,13,2
Leighton Baines,DF,Everton,6,5,375,4.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,17,13
Fabián Balbuena,DF,West Ham,23,23,2013,22.4,1,0,1,1,0,0,2,0,2.1,2.1,0.2,2.3,1,49,4
Leon Balogun,DF,Brighton,8,5,594,6.6,1,0,1,1,0,0,2,0,0.1,0.1,0,0.1,1,6,1
Sol Bamba,DF,Cardiff City,28,28,2474,27.5,4,1,5,4,0,0,7,0,4,4,0.2,4.1,6,48,2
Phil Bardsley,DF,Burnley,19,19,1670,18.6,0,0,0,0,0,0,9,0,0.3,0.3,1.1,1.5,19,68,23
Ross Barkley,MF,Chelsea,27,13,1245,13.8,3,5,8,3,0,0,1,0,4,4,2.1,6.2,32,90,50
Ashley Barnes,FW,Burnley,37,26,2388,26.5,12,2,14,10,2,2,8,0,13.8,12.2,3.3,15.5,23,41,142
Harvey Barnes,"MF,FW",Leicester City,16,11,1004,11.2,1,2,3,1,0,0,0,0,3.9,3.9,1.7,5.6,62,27,115
Antonio Barreca,DF,Newcastle Utd,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Michy Batshuayi,FW,Crystal Palace,11,9,750,8.3,5,0,5,5,0,0,0,0,4,4,0.1,4.1,13,9,44
Jan Bednarek,DF,Southampton,25,24,2151,23.9,0,1,1,0,0,0,7,0,0.8,0.8,0.7,1.5,7,68,2
Asmir Begović,GK,Bournemouth,24,24,2160,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
