rank,player,nation,position,team,age,born,ninetys,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_free_kicks,penalties_made,penalties_attempted,expected_goals,non_penalty_expected_goals,non_penalty_expected_goals_per_shot,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
540,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,26-155,1997,15.8,0,2,1,50,0.13,0.06,0,0,24.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
541,Joel Ward,eng ENG,DF,Crystal Palace,34-183,1989,22,0,10,0,0,0.46,0,0,,18,0,0,0,0.9,0.9,0.09,-0.9,-0.9
542,James Ward-Prowse,eng ENG,MF,West Ham,29-180,1994,30.8,6,38,14,36.8,1.23,0.45,0.11,0.29,22.6,13,2,2,5.8,4.2,0.12,0.2,-0.2
543,Deivid Washington,br BRA,"DF,FW",Chelsea,18-329,2005,0.1,0,1,0,0,6.92,0,0,,9,0,0,0,0.5,0.5,0.47,-0.5,-0.5
544,Ollie Watkins,eng ENG,FW,Aston Villa,28-121,1995,33,19,103,47,45.6,3.12,1.42,0.18,0.4,12.9,0,0,0,16,16,0.16,3,3
545,Adam Webster,eng ENG,DF,Brighton,29-116,1995,8.7,0,5,0,0,0.57,0,0,,10.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3
546,Danny Welbeck,eng ENG,"FW,MF",Brighton,33-155,1990,15.6,4,36,14,38.9,2.31,0.9,0.11,0.29,15.7,1,0,0,4.2,4.2,0.12,-0.2,-0.2
547,Timo Werner,de GER,FW,Tottenham,28-054,1996,9,2,29,7,24.1,3.23,0.78,0.07,0.29,14.1,0,0,0,3.7,3.7,0.13,-1.7,-1.7
548,Adam Wharton,eng ENG,MF,Crystal Palace,19-332,2004,11.5,0,9,1,11.1,0.79,0.09,0,0,24.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3
549,Ethan Wheatley,eng ENG,FW,Manchester Utd,18-100,2006,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
550,Ben White,eng ENG,DF,Arsenal,26-204,1997,30.4,4,11,6,54.5,0.36,0.2,0.36,0.67,14.4,0,0,0,1,1,0.09,3,3
551,Joe White,eng ENG,MF,Newcastle Utd,21-211,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
552,Neco Williams,wls WAL,DF,Nott'ham Forest,23-016,2001,18.2,0,15,4,26.7,0.82,0.22,0,0,18.9,0,0,0,0.8,0.8,0.05,-0.8,-0.8
553,Willian,br BRA,FW,Fulham,35-264,1988,21.6,4,43,16,37.2,1.99,0.74,0.05,0.13,20.4,2,2,2,5.1,3.6,0.08,-1.1,-1.6
554,Joe Willock,eng ENG,MF,Newcastle Utd,24-253,1999,4.7,1,7,3,42.9,1.5,0.64,0.14,0.33,10.9,0,0,0,0.8,0.8,0.12,0.2,0.2
555,Callum Wilson,eng ENG,FW,Newcastle Utd,32-062,1992,10.1,8,31,17,54.8,3.06,1.68,0.19,0.35,12.2,0,2,2,7.9,6.3,0.21,0.1,-0.3
556,Harry Wilson,wls WAL,FW,Fulham,27-038,1997,16.8,3,37,12,32.4,2.2,0.71,0.08,0.25,19.1,3,0,0,3.2,3.2,0.09,-0.2,-0.2
557,Yoane Wissa,cd COD,FW,Brentford,27-239,1996,26.2,10,62,22,35.5,2.37,0.84,0.16,0.45,12.8,0,0,0,10.1,10.1,0.16,-0.1,-0.1
558,Chris Wood,nz NZL,FW,Nott'ham Forest,32-144,1991,17.3,12,37,20,54.1,2.14,1.16,0.32,0.6,10,0,0,0,9.1,9.1,0.25,2.9,2.9
559,Cauley Woodrow,eng ENG,"FW,MF",Luton Town,29-149,1994,4.3,1,13,3,23.1,3.02,0.7,0.08,0.33,16.7,0,0,0,1.3,1.3,0.1,-0.3,-0.3
560,Joe Worrall,eng ENG,DF,Nott'ham Forest,27-110,1997,4.9,0,2,0,0,0.41,0,0,,10.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1
561,Yehor Yarmoliuk,ua UKR,MF,Brentford,20-059,2004,7.2,0,10,4,40,1.39,0.56,0,0,19.1,0,0,0,1,1,0.1,-1,-1
562,Ryan Yates,eng ENG,MF,Nott'ham Forest,26-160,1997,19.7,0,24,6,25,1.22,0.3,0,0,19.1,0,0,0,2,2,0.09,-2,-2
563,Ashley Young,eng ENG,"DF,MF",Everton,38-295,1985,22.6,0,13,2,15.4,0.58,0.09,0,0,21.9,3,0,0,0.6,0.6,0.05,-0.6,-0.6
564,Illia Zabarnyi,ua UKR,DF,Bournemouth,21-241,2002,34,1,8,2,25,0.24,0.06,0.13,0.5,7.5,0,0,0,1.1,1.1,0.14,-0.1,-0.1
565,Nicolò Zaniolo,it ITA,"FW,MF",Aston Villa,24-302,1999,9.2,2,26,9,34.6,2.84,0.98,0.08,0.22,13.9,0,0,0,2.3,2.3,0.09,-0.3,-0.3
566,Anass Zaroury,ma MAR,"FW,MF",Burnley,23-174,2000,1.7,0,3,1,33.3,1.78,0.59,0,0,20.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2
567,Oleksandr Zinchenko,ua UKR,DF,Arsenal,27-136,1996,18.8,1,17,3,17.6,0.91,0.16,0.06,0.33,24,0,0,0,0.6,0.6,0.03,0.4,0.4
568,Kurt Zouma,fr FRA,DF,West Ham,29-185,1994,28.5,3,16,7,43.8,0.56,0.25,0.19,0.43,9.1,0,0,0,1.8,1.8,0.12,1.2,1.2
569,Martin Ødegaard,no NOR,MF,Arsenal,25-134,1998,31.4,8,69,19,27.5,2.2,0.61,0.09,0.32,20.7,4,2,2,6.4,4.8,0.07,1.6,1.2
