Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Thilo Kehrer,"DF,MF",West Ham,3,0,21,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Lloyd Kelly,DF,Bournemouth,8,7,637,7.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,7,25,5
Milos Kerkez,DF,Bournemouth,11,10,854,9.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,17,15,35
Max Kilman,DF,Wolves,12,12,1080,12,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.9,11,38,1
Jakub Kiwior,DF,Arsenal,4,2,184,2,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0,16,4
Justin Kluivert,"FW,MF",Bournemouth,9,5,410,4.6,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,11,15,28
Luca Koleosho,"FW,MF",Burnley,12,10,783,8.7,0,1,1,0,0,0,0,0,1.5,1.5,1.2,2.7,43,16,65
Ibrahima Konaté,DF,Liverpool,8,5,469,5.2,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,8,34,0
Ezri Konsa,DF,Aston Villa,12,12,1080,12,0,0,0,0,0,0,2,0,0.7,0.7,0,0.7,5,34,8
Cheikhou Kouyaté,MF,Nott'ham Forest,7,0,76,0.8,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,2,1
Mateo Kovačić,MF,Manchester City,9,6,563,6.3,0,0,0,0,0,0,2,0,0.6,0.6,0.7,1.3,15,39,17
Emil Krafth,DF,Newcastle Utd,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Kulusevski,FW,Tottenham,12,12,1040,11.6,3,0,3,3,0,0,1,0,1.2,1.2,2.6,3.8,70,40,137
Adam Lallana,"MF,FW",Brighton,7,4,261,2.9,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0,11,22
Tariq Lamptey,"DF,FW",Brighton,4,1,139,1.5,0,2,2,0,0,0,2,0,0,0,0.4,0.4,11,6,3
Aymeric Laporte,DF,Manchester City,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yasser Larouci,DF,Sheffield Utd,5,1,222,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,8,5,3
Jamaal Lascelles,DF,Newcastle Utd,7,6,557,6.2,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,4,15,1
Mario Lemina,MF,Wolves,11,11,971,10.8,2,0,2,2,0,0,6,1,2.1,2.1,0.1,2.2,6,28,11
Bernd Leno,GK,Fulham,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Lerma,MF,Crystal Palace,8,8,704,7.8,0,1,1,0,0,0,1,0,0.3,0.3,1.4,1.8,7,26,12
Rico Lewis,"DF,MF",Manchester City,5,2,167,1.9,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7
Keane Lewis-Potter,FW,Brentford,6,2,222,2.5,0,0,0,0,0,0,0,0,1,1,0.1,1.1,12,6,31
Victor Lindelöf,DF,Manchester Utd,10,8,762,8.5,1,1,2,1,0,0,1,0,0.2,0.2,0.3,0.5,13,27,9
Valentino Livramento,DF,Newcastle Utd,6,0,139,1.5,0,0,0,0,0,0,1,0,0,0,0.1,0.1,2,4,8
Giovani Lo Celso,MF,Tottenham,3,0,41,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,6,3
Tom Lockyer,DF,Luton Town,11,11,945,10.5,1,1,2,1,0,0,3,0,0.8,0.8,0.6,1.4,6,33,2
Sean Longstaff,MF,Newcastle Utd,12,8,812,9,2,1,3,2,0,0,4,0,1.5,1.5,0.9,2.4,6,48,32
Max Lowe,"MF,DF",Sheffield Utd,2,2,124,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
Douglas Luiz,MF,Aston Villa,12,12,1023,11.4,5,1,6,2,3,3,4,0,3.2,0.8,0.7,1.6,27,66,23
Saša Lukić,MF,Fulham,7,4,352,3.9,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,3,13,5
Ian Maatsen,"FW,MF",Chelsea,7,0,113,1.3,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,5,5,9
Alexis Mac Allister,MF,Liverpool,11,11,880,9.8,0,1,1,0,0,0,5,1,0.1,0.1,0.4,0.5,14,72,6
James Maddison,MF,Tottenham,11,11,881,9.8,3,5,8,3,0,0,2,0,2.8,2.8,2.8,5.6,29,97,70
Noni Madueke,"FW,MF",Chelsea,5,1,119,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,9,4,31
Harry Maguire,DF,Manchester Utd,7,5,478,5.3,0,1,1,0,0,0,0,0,0,0,0.4,0.4,6,28,0
Orel Mangala,MF,Nott'ham Forest,11,11,912,10.1,1,0,1,1,0,0,4,0,0.3,0.3,0.2,0.5,5,22,6
Benson Manuel,"MF,FW",Burnley,3,1,67,0.7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9
Solly March,"FW,DF",Brighton,7,7,554,6.2,3,1,4,3,0,0,1,0,2,2,1,2.9,14,24,44
Anthony Martial,"FW,MF",Manchester Utd,10,2,249,2.8,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,3,7,22
Gabriel Martinelli,FW,Arsenal,10,9,721,8,1,2,3,1,0,0,0,0,1.1,1.1,1.5,2.7,42,28,121
Emiliano Martínez,GK,Aston Villa,11,11,990,11,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
Lisandro Martínez,DF,Manchester Utd,5,5,375,4.2,0,1,1,0,0,0,2,0,0,0,0.1,0.1,6,26,1
Pape Matar Sarr,MF,Tottenham,12,11,830,9.2,1,2,3,1,0,0,3,0,1.7,1.7,1.2,2.9,18,67,38
Jean-Philippe Mateta,FW,Crystal Palace,9,3,387,4.3,0,3,3,0,0,0,1,0,0.4,0.4,1.2,1.6,2,5,24
Joël Matip,DF,Liverpool,8,7,623,6.9,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.5,5,25,1
Alex Matos,MF,Chelsea,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neal Maupay,FW,Brentford,7,2,267,3,1,2,3,1,0,0,2,0,1.7,1.7,1.3,3,4,9,20
Neal Maupay,FW,Everton,2,1,111,1.2,0,0,0,0,0,0,0,0,1.4,1.4,0.1,1.5,1,0,6
Konstantinos Mavropanos,DF,West Ham,2,1,91,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bryan Mbeumo,FW,Brentford,12,12,1080,12,6,2,8,4,2,2,1,0,7.2,5.6,2.5,8.1,45,59,113
James Mcatee,MF,Sheffield Utd,8,6,514,5.7,0,1,1,0,0,0,1,0,0.6,0.6,0.4,1,17,15,34
James Mcatee,MF,Manchester City,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver McBurnie,FW,Sheffield Utd,6,5,430,4.8,1,1,2,0,1,1,3,1,1.8,1.1,0.6,1.7,2,10,24
James McConnell,MF,Liverpool,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John McGinn,"MF,FW",Aston Villa,12,12,1017,11.3,3,2,5,3,0,0,2,0,1.5,1.5,1.6,3.1,16,68,38
Scott McKenna,DF,Nott'ham Forest,5,5,416,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,10,0
Dwight McNeil,"MF,FW",Everton,9,8,681,7.6,0,1,1,0,0,0,0,0,0.8,0.8,2.1,2.8,24,18,33
Scott McTominay,MF,Manchester Utd,9,6,519,5.8,3,0,3,3,0,0,0,0,1,1,0,1,5,17,11
Ben Mee,DF,Brentford,4,3,242,2.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,1,8,4
Hannibal Mejbri,MF,Manchester Utd,2,1,117,1.3,1,0,1,1,0,0,1,0,0,0,0.4,0.4,2,6,8
Teden Mengi,DF,Luton Town,7,5,517,5.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,11,0
Chris Mepham,DF,Bournemouth,4,2,170,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,4,0
Lewis Miley,MF,Newcastle Utd,1,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
James Milner,"DF,MF",Brighton,7,5,352,3.9,0,0,0,0,0,0,2,0,0,0,0.3,0.3,3,28,23
Tyrone Mings,DF,Aston Villa,1,1,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrick Mitchell,DF,Crystal Palace,12,12,1059,11.8,1,1,2,1,0,0,2,0,0.5,0.5,0.7,1.2,9,35,58
Kaoru Mitoma,"FW,MF",Brighton,12,10,980,10.9,3,3,6,3,0,0,3,0,2.7,2.7,1.7,4.4,76,34,126
Aleksandar Mitrović,FW,Fulham,1,0,33,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,0
Kudus Mohammed,"MF,FW",West Ham,9,3,369,4.1,2,0,2,2,0,0,2,0,0.7,0.7,0.5,1.2,18,22,36
Gonzalo Montiel,DF,Nott'ham Forest,4,1,168,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,4,9,7
Kieffer Moore,"FW,MF",Bournemouth,5,0,88,1,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,1,3,13
Carlton Morris,FW,Luton Town,12,12,1009,11.2,3,1,4,1,2,2,1,0,3.8,2.2,0.5,2.7,10,30,58
Mason Mount,MF,Manchester Utd,8,4,400,4.4,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,6,15,26
Mykhailo Mudryk,FW,Chelsea,10,4,369,4.1,2,0,2,2,0,0,2,0,0.7,0.7,1.1,1.8,22,6,28
Rodrigo Muniz,FW,Fulham,5,1,136,1.5,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,0,1,2
Murillo,DF,Nott'ham Forest,6,6,525,5.8,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,8,19,0
Jacob Murphy,FW,Newcastle Utd,5,1,121,1.3,1,3,4,1,0,0,0,0,0.1,0.1,1.4,1.5,6,10,13
Vitaliy Mykolenko,DF,Everton,8,8,717,8,2,0,2,2,0,0,1,0,0.9,0.9,0.3,1.2,3,12,14
Marvelous Nakamba,MF,Luton Town,12,12,1059,11.8,0,0,0,0,0,0,4,0,0.2,0.2,0.4,0.6,1,35,4
Reiss Nelson,"FW,MF",Arsenal,5,0,65,0.7,0,0,0,0,0,0,0,0,0,0,0.5,0.5,2,0,6
Neto,GK,Bournemouth,10,10,900,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Pedro Neto,"MF,FW",Wolves,10,10,886,9.8,1,7,8,1,0,0,3,0,2.3,2.3,2.7,5.1,51,31,81
Moussa Niakhate,DF,Nott'ham Forest,7,5,450,5,0,0,0,0,0,0,3,1,0,0,0,0,2,14,2
