rank,player,nation,position,team,age,born,matches_played,starts,minutes_played,ninetys,goals_against,goals_against_per_90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalties_faced,penalties_allowed,penalties_saved,penalties_missed,penalty_save_percentage
1,Alisson,br BRA,GK,Liverpool,31-210,1992,25,25,"2,250",25,25,1,96,72,75,14,7,4,7,28,1,1,0,0,0
2,Alphonse Areola,fr FRA,GK,West Ham,31-062,1993,28,28,"2,429",27,44,1.63,161,118,75.8,10,9,9,4,14.3,7,5,2,0,28.6
3,Daniel Bentley,eng ENG,GK,Wolves,30-291,1993,4,2,293,3.3,4,1.23,12,8,66.7,1,0,1,1,50,0,0,0,0,
4,Martin Dúbravka,sk SVK,GK,Newcastle Utd,35-105,1989,20,19,"1,715",19.1,37,1.94,113,75,70.8,8,3,8,5,26.3,5,4,1,0,20
5,Ederson,br BRA,GK,Manchester City,30-256,1993,30,30,"2,537",28.2,26,0.92,78,53,70.5,21,6,3,9,30,3,3,0,0,0
6,Łukasz Fabiański,pl POL,GK,West Ham,39-011,1985,10,7,721,8,21,2.62,53,33,66,3,1,3,1,14.3,3,3,0,0,0
7,Mark Flekken,nl NED,GK,Brentford,30-321,1993,34,34,"3,015",33.5,58,1.73,162,104,65.4,9,8,17,6,17.6,2,2,0,0,0
8,Wes Foderingham,eng ENG,GK,Sheffield Utd,33-106,1991,27,26,"2,379",26.4,72,2.72,185,118,63.8,3,4,19,1,3.8,6,5,0,1,0
9,Ivo Grbić,hr CRO,GK,Sheffield Utd,28-102,1996,9,9,771,8.6,25,2.92,59,36,57.6,0,3,6,0,0,1,0,0,1,
10,Dean Henderson,eng ENG,GK,Crystal Palace,27-048,1997,15,15,"1,350",15,29,1.93,74,46,62.2,5,4,6,2,13.3,1,1,0,0,0
11,Sam Johnstone,eng ENG,GK,Crystal Palace,31-035,1993,20,20,"1,796",20,27,1.35,67,41,62.7,5,6,9,6,30,2,2,0,0,0
12,Thomas Kaminski,be BEL,GK,Luton Town,31-189,1992,35,35,"3,150",35,77,2.2,204,131,63.7,6,7,22,2,5.7,3,3,0,0,0
13,Loris Karius,de GER,GK,Newcastle Utd,30-312,1993,1,1,90,1,4,4,7,4,42.9,0,0,1,0,0,0,0,0,0,
14,Caoimhín Kelleher,ie IRL,GK,Liverpool,25-158,1998,10,10,900,10,11,1.1,38,28,71.1,8,2,0,2,20,0,0,0,0,
15,Bernd Leno,de GER,GK,Fulham,32-056,1992,35,35,"3,150",35,55,1.57,173,122,71.7,12,7,16,9,25.7,6,6,0,0,0
16,Emiliano Martínez,ar ARG,GK,Aston Villa,31-240,1992,33,33,"2,925",32.5,45,1.38,132,90,66.7,19,7,7,8,24.2,1,1,0,0,0
17,Remi Matthews,eng ENG,GK,Crystal Palace,30-079,1994,1,0,4,0,1,22.5,1,0,0,0,0,0,0,,0,0,0,0,
18,Arijanet Muric,xk KVX,GK,Burnley,25-174,1998,7,7,630,7,8,1.14,52,45,86.5,2,4,1,0,0,1,1,0,0,0
19,Neto,br BRA,GK,Bournemouth,34-285,1989,31,31,"2,790",31,53,1.71,159,106,69.8,10,9,12,7,22.6,6,5,1,0,16.7
20,Robin Olsen,se SWE,GK,Aston Villa,34-112,1990,3,2,225,2.5,7,2.8,17,10,58.8,1,0,1,0,0,0,0,0,0,
21,André Onana,cm CMR,GK,Manchester Utd,28-027,1996,34,34,"3,060",34,51,1.5,179,129,75.4,16,6,12,8,23.5,7,7,0,0,0
22,Stefan Ortega,de GER,GK,Manchester City,31-175,1992,7,4,523,5.8,6,1.03,22,16,72.7,3,1,0,2,50,0,0,0,0,
23,Đorđe Petrović,rs SRB,GK,Chelsea,24-204,1999,18,17,"1,537",17.1,34,1.99,92,60,64.1,8,5,4,3,17.6,2,1,0,1,0
24,Jordan Pickford,eng ENG,GK,Everton,30-053,1994,35,35,"3,150",35,48,1.37,154,109,74,12,8,15,12,34.3,8,8,0,0,0
25,Nick Pope,eng ENG,GK,Newcastle Utd,32-010,1992,14,14,"1,255",13.9,14,1,53,39,73.6,8,2,4,5,35.7,0,0,0,0,
26,Ionuț Radu,ro ROU,GK,Bournemouth,26-337,1997,2,2,180,2,7,3.5,11,4,36.4,1,0,1,0,0,0,0,0,0,
27,Aaron Ramsdale,eng ENG,GK,Arsenal,25-351,1998,6,6,540,6,5,0.83,14,9,64.3,5,1,0,2,33.3,0,0,0,0,
28,David Raya,es ESP,GK,Arsenal,28-227,1995,29,29,"2,610",29,23,0.79,63,40,66.7,20,4,5,14,48.3,3,2,1,0,33.3
29,José Sá,pt POR,GK,Wolves,31-103,1993,33,33,"2,857",31.7,51,1.61,163,113,72.4,12,7,14,4,12.1,6,6,0,0,0
30,Robert Sánchez,es ESP,GK,Chelsea,26-163,1997,16,16,"1,433",15.9,25,1.57,78,52,70.5,5,4,7,3,18.8,3,2,1,0,33.3
31,Matz Sels,be BEL,GK,Nott'ham Forest,32-063,1992,13,13,"1,170",13,22,1.69,48,28,54.2,2,4,7,1,7.7,0,0,0,0,
32,Jason Steele,eng ENG,GK,Brighton,33-255,1990,16,16,"1,440",16,32,2,70,40,58.6,5,4,7,2,12.5,3,3,0,0,0
33,Thomas Strakosha,al ALB,GK,Brentford,29-041,1995,2,1,135,1.5,2,1.33,8,6,75,0,0,1,0,0,0,0,0,0,
34,James Trafford,eng ENG,GK,Burnley,21-202,2002,28,28,"2,520",28,62,2.21,166,106,65.7,3,5,20,2,7.1,5,5,0,0,0
35,Mark Travers,ie IRL,GK,Bournemouth,24-347,1999,2,2,180,2,0,0,5,5,100,2,0,0,2,100,0,0,0,0,
36,Matt Turner,us USA,GK,Nott'ham Forest,29-310,1994,17,17,"1,530",17,28,1.65,80,52,67.5,4,5,8,2,11.8,2,2,0,0,0
37,Bart Verbruggen,nl NED,GK,Brighton,21-255,2002,18,18,"1,620",18,25,1.39,77,52,71.4,6,7,5,3,16.7,3,3,0,0,0
38,Guglielmo Vicario,it ITA,GK,Tottenham,27-205,1996,33,33,"2,970",33,52,1.58,142,93,67.6,18,6,9,6,18.2,6,6,0,0,0
39,Odisseas Vlachodimos,gr GRE,GK,Nott'ham Forest,30-003,1994,5,5,450,5,12,2.4,22,10,50,1,0,4,1,20,1,1,0,0,0
