rank,player,nation,position,team,age,born,ninetys,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribbler_tackles_attempted,dribbler_tackled_success_percentage,challenges_lost,total_blocks,shots_blocked,passes_blocked,interceptions,tackles+interceptions,clearances,errors_leading_to_shot
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,26,1990,24.3,47,32,29,15,3,16,34,47.1,18,24,5,19,47,94,64,2
2,Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,21,1995,1.5,4,4,3,1,0,4,6,66.7,2,3,0,3,1,5,0,0
3,Tammy Abraham,eng ENG,FW,Swansea City,19,1997,19.2,10,8,1,7,2,1,13,7.7,12,8,1,7,1,11,11,0
4,Charlie Adam,sct SCO,MF,Stoke City,31,1985,4.6,9,5,2,5,2,5,17,29.4,12,2,0,2,9,18,11,2
5,Adrián,es ESP,GK,West Ham,30,1987,19,2,1,2,0,0,1,4,25,3,1,0,1,0,2,15,1
6,Ibrahim Afellay,nl NED,MF,Stoke City,31,1986,1.8,3,3,0,3,0,1,2,50,1,1,0,1,1,4,1,0
7,Benik Afobe,cd COD,FW,Bournemouth,24,1993,6.8,4,3,1,2,1,1,6,16.7,5,4,0,4,0,4,6,0
8,Sergio Agüero,ar ARG,FW,Manchester City,29,1988,21.8,9,6,2,6,1,2,17,11.8,15,12,1,11,6,15,3,0
9,Nathan Aké,nl NED,DF,Bournemouth,22,1995,37.3,53,32,34,16,3,22,40,55,18,47,24,23,48,101,246,2
10,Marc Albrighton,eng ENG,"MF,FW",Leicester City,27,1989,28.2,52,33,16,29,7,16,52,30.8,36,32,4,28,27,79,34,0
11,Toby Alderweireld,be BEL,DF,Tottenham,28,1989,13.1,19,13,7,11,1,8,15,53.3,7,11,5,6,4,23,55,0
12,Trent Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,17.5,37,25,23,9,5,22,36,61.1,14,20,5,15,28,65,46,1
13,Joe Allen,wls WAL,MF,Stoke City,27,1990,34.9,96,62,41,43,12,27,87,31,60,43,9,34,58,154,68,1
14,Dele Alli,eng ENG,"MF,FW",Tottenham,21,1996,32.9,46,30,15,21,10,8,34,23.5,26,33,7,26,19,65,22,1
15,Marcos Alonso,es ESP,"DF,MF",Chelsea,26,1990,31.7,51,33,30,18,3,23,44,52.3,21,36,5,31,47,98,76,1
16,Daniel Amartey,gh GHA,DF,Leicester City,22,1994,5.4,8,4,7,1,0,3,7,42.9,4,7,3,4,7,15,21,1
17,Ethan Ampadu,wls WAL,DF,Chelsea,16,2000,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,2,0
18,Nordin Amrabat,ma MAR,FW,Watford,30,1987,2.2,6,3,1,5,0,1,3,33.3,2,1,0,1,0,6,2,0
19,Michail Antonio,jm JAM,"FW,MF",West Ham,27,1990,15,15,9,7,6,2,4,14,28.6,10,14,0,14,13,28,16,0
20,Scott Arfield,ca CAN,"MF,FW",Burnley,28,1988,14.8,36,26,20,13,3,19,44,43.2,25,22,1,21,11,47,24,0
21,Marko Arnautović,at AUT,"FW,MF",West Ham,28,1989,25.7,21,16,9,8,4,7,19,36.8,12,20,3,17,13,34,35,0
22,Harry Arter,ie IRL,MF,Bournemouth,27,1989,10.7,19,16,10,7,2,6,23,26.1,17,18,5,13,9,28,6,0
23,Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,25,1992,19.8,17,16,10,7,0,7,20,35,13,35,5,30,13,30,27,1
24,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,28,1989,11.7,5,4,3,2,0,1,7,14.3,6,14,1,13,3,8,7,0
25,Serge Aurier,ci CIV,DF,Tottenham,24,1992,15.9,48,27,27,13,8,11,31,35.5,20,20,1,19,31,79,54,1
26,Charlie Austin,eng ENG,FW,Southampton,28,1989,11.5,7,5,1,3,3,3,10,30,7,15,3,12,1,8,10,0
27,André Ayew,gh GHA,"MF,FW",West Ham,27,1989,9.9,19,14,6,10,3,6,19,31.6,13,5,0,5,4,23,3,0
28,André Ayew,gh GHA,"MF,FW",Swansea City,27,1989,10.6,15,10,3,10,2,2,13,15.4,11,13,1,12,5,20,8,0
29,Jordan Ayew,gh GHA,"FW,MF",Swansea City,25,1991,31.7,82,60,20,35,27,15,54,27.8,39,43,3,40,24,106,20,1
30,César Azpilicueta,es ESP,DF,Chelsea,27,1989,37,80,59,47,26,7,27,54,50,27,48,22,26,54,134,135,1
31,Eric Bailly,ci CIV,DF,Manchester Utd,23,1994,11.1,17,10,10,5,2,5,12,41.7,7,11,6,5,25,42,58,1
32,Leighton Baines,eng ENG,DF,Everton,32,1984,21.2,25,13,18,3,4,9,14,64.3,5,18,6,12,25,50,56,0
33,Tiemoué Bakayoko,fr FRA,MF,Chelsea,22,1994,23.6,64,41,25,32,7,16,48,33.3,32,23,6,17,37,101,38,4
34,Sam Baldock,eng ENG,FW,Brighton,28,1989,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
35,Beni Baningime,cd COD,MF,Everton,18,1998,2.2,6,2,1,2,3,0,4,0,4,5,1,4,2,8,2,0
36,Phil Bardsley,sct SCO,DF,Burnley,32,1985,12.5,17,16,9,7,1,4,11,36.4,7,22,6,16,22,39,77,0
37,Ross Barkley,eng ENG,MF,Chelsea,23,1993,1.4,0,0,0,0,0,0,1,0,1,3,1,2,0,0,2,0
38,Ashley Barnes,eng ENG,FW,Burnley,27,1989,24.1,21,14,1,14,6,5,29,17.2,24,26,5,21,2,23,19,0
39,Harvey Barnes,eng ENG,"MF,FW",Leicester City,19,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
40,Gareth Barry,eng ENG,MF,West Brom,36,1981,21.4,35,19,17,14,4,15,45,33.3,30,19,11,8,14,49,34,0
41,Kyle Bartley,eng ENG,DF,Swansea City,26,1991,2.6,3,2,3,0,0,2,2,100,0,6,6,0,4,7,21,0
42,Michy Batshuayi,be BEL,FW,Chelsea,23,1993,4,5,4,2,3,0,1,3,33.3,2,0,0,0,1,6,3,0
43,Moritz Bauer,at AUT,"DF,MF",Stoke City,25,1992,14.5,24,17,17,7,0,10,26,38.5,16,9,1,8,12,36,48,0
44,Jan Bednarek,pl POL,DF,Southampton,21,1996,4.7,6,3,6,0,0,3,6,50,3,2,1,1,5,11,27,0
45,Asmir Begović,ba BIH,GK,Bournemouth,30,1987,38,0,0,0,0,0,0,2,0,2,0,0,0,2,2,16,7
46,Héctor Bellerín,es ESP,DF,Arsenal,22,1995,33.9,57,43,36,12,9,25,52,48.1,27,42,8,34,23,80,89,4
47,Yohan Benalouane,tn TUN,DF,Leicester City,30,1987,1,7,3,6,1,0,4,6,66.7,2,1,1,0,1,8,4,0
48,Christian Benteke,be BEL,FW,Crystal Palace,26,1990,24.9,11,4,3,7,1,2,17,11.8,15,15,3,12,3,14,44,0
49,Saido Berahino,bi BDI,FW,Stoke City,23,1993,5.5,2,2,0,1,1,0,1,0,1,4,1,3,1,3,2,0
50,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,26,1990,31.5,43,27,16,19,8,20,47,42.6,27,21,1,20,34,77,43,0
51,Ryan Bertrand,eng ENG,DF,Southampton,27,1989,34.8,48,35,27,17,4,19,31,61.3,12,28,9,19,44,92,74,0
52,Muhamed Bešić,ba BIH,MF,Everton,24,1992,0.5,1,1,1,0,0,1,3,33.3,2,2,2,0,0,1,1,0
53,Philip Billing,dk DEN,MF,Huddersfield,21,1996,8.5,25,16,11,11,3,8,22,36.4,14,17,1,16,18,43,19,0
54,Mame Biram Diouf,sn SEN,"FW,DF",Stoke City,29,1987,28.8,48,36,26,15,7,8,21,38.1,13,22,0,22,14,62,76,1
55,Daley Blind,nl NED,"DF,MF",Manchester Utd,27,1990,4,6,4,3,2,1,2,7,28.6,5,3,0,3,7,13,14,0
56,Jeremie Boga,ci CIV,MF,Chelsea,20,1997,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
57,Yannick Bolasie,cd COD,FW,Everton,28,1989,9.5,8,7,4,1,3,2,7,28.6,5,5,0,5,4,12,8,0
58,Gaëtan Bong,cm CMR,DF,Brighton,29,1988,24.8,39,32,25,11,3,15,26,57.7,11,24,6,18,40,79,81,1
59,Wilfried Bony,ci CIV,FW,Swansea City,28,1988,7.9,5,4,2,2,1,1,5,20,4,4,1,3,2,7,15,0
60,Sofiane Boufal,ma MAR,"FW,MF",Southampton,23,1993,13.5,37,24,12,14,11,12,35,34.3,23,20,1,19,6,43,6,0
