rank,player,nation,position,team,age,born,ninetys,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_free_kicks,penalties_made,penalties_attempted,expected_goals,non_penalty_expected_goals,non_penalty_expected_goals_per_shot,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,26,1990,24.3,5,33,11,33.3,1.36,0.45,0.15,0.45,23.4,4,0,0,3.1,3.1,0.09,1.9,1.9
2,Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,21,1995,1.5,0,2,0,0,1.29,0,0,,19.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
3,Tammy Abraham,eng ENG,FW,Swansea City,19,1997,19.2,5,42,13,31,2.19,0.68,0.12,0.38,13.1,0,0,0,6.8,6.8,0.16,-1.8,-1.8
4,Charlie Adam,sct SCO,MF,Stoke City,31,1985,4.6,0,9,2,22.2,1.97,0.44,0,0,31.5,3,0,1,1.6,0.9,0.09,-1.6,-0.9
5,Adrián,es ESP,GK,West Ham,30,1987,19,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
6,Ibrahim Afellay,nl NED,MF,Stoke City,31,1986,1.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
7,Benik Afobe,cd COD,FW,Bournemouth,24,1993,6.8,0,8,3,37.5,1.18,0.44,0,0,8.6,0,0,0,1.6,1.6,0.21,-1.6,-1.6
8,Sergio Agüero,ar ARG,FW,Manchester City,29,1988,21.8,21,90,38,42.2,4.13,1.74,0.19,0.45,13.9,1,4,4,16.2,13.1,0.15,4.8,3.9
9,Nathan Aké,nl NED,DF,Bournemouth,22,1995,37.3,2,18,8,44.4,0.48,0.21,0.11,0.25,11.2,0,0,0,1.4,1.4,0.08,0.6,0.6
10,Marc Albrighton,eng ENG,"MF,FW",Leicester City,27,1989,28.2,2,20,6,30,0.71,0.21,0.1,0.33,20.5,1,0,0,1.6,1.6,0.08,0.4,0.4
11,Toby Alderweireld,be BEL,DF,Tottenham,28,1989,13.1,0,10,1,10,0.76,0.08,0,0,20.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4
12,Trent Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,17.5,1,12,5,41.7,0.69,0.29,0.08,0.2,21.5,1,0,0,1,1,0.08,0,0
13,Joe Allen,wls WAL,MF,Stoke City,27,1990,34.9,2,24,4,16.7,0.69,0.11,0.08,0.5,18.4,0,0,0,1.8,1.8,0.08,0.2,0.2
14,Dele Alli,eng ENG,"MF,FW",Tottenham,21,1996,32.9,9,69,17,24.6,2.1,0.52,0.13,0.53,15.9,0,0,0,9.1,9.1,0.13,-0.1,-0.1
15,Marcos Alonso,es ESP,"DF,MF",Chelsea,26,1990,31.7,7,65,22,33.8,2.05,0.69,0.11,0.32,17,9,0,0,4.1,4.1,0.06,2.9,2.9
16,Daniel Amartey,gh GHA,DF,Leicester City,22,1994,5.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
17,Ethan Ampadu,wls WAL,DF,Chelsea,16,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
18,Nordin Amrabat,ma MAR,FW,Watford,30,1987,2.2,0,1,0,0,0.45,0,0,,12.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
19,Michail Antonio,jm JAM,"FW,MF",West Ham,27,1990,15,3,34,15,44.1,2.26,1,0.09,0.2,21.9,0,0,0,2.4,2.4,0.07,0.6,0.6
20,Scott Arfield,ca CAN,"MF,FW",Burnley,28,1988,14.8,2,18,7,38.9,1.22,0.47,0.11,0.29,18.4,0,0,0,1.3,1.3,0.07,0.7,0.7
21,Marko Arnautović,at AUT,"FW,MF",West Ham,28,1989,25.7,11,71,33,46.5,2.76,1.28,0.15,0.33,14.5,0,0,0,8.6,8.6,0.12,2.4,2.4
22,Harry Arter,ie IRL,MF,Bournemouth,27,1989,10.7,1,11,1,9.1,1.03,0.09,0.09,1,26.1,0,0,0,0.3,0.3,0.03,0.7,0.7
23,Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,25,1992,19.8,2,35,12,34.3,1.77,0.61,0.06,0.17,17.4,0,0,0,4,4,0.12,-2,-2
24,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,28,1989,11.7,10,29,17,58.6,2.47,1.45,0.31,0.53,14.6,1,1,2,8.4,6.8,0.24,1.6,2.2
25,Serge Aurier,ci CIV,DF,Tottenham,24,1992,15.9,2,15,5,33.3,0.94,0.31,0.13,0.4,21.2,0,0,0,0.8,0.8,0.05,1.2,1.2
26,Charlie Austin,eng ENG,FW,Southampton,28,1989,11.5,7,47,24,51.1,4.08,2.08,0.13,0.25,15,0,1,1,7.1,6.3,0.13,-0.1,-0.3
27,André Ayew,gh GHA,"MF,FW",West Ham,27,1989,9.9,3,12,4,33.3,1.21,0.4,0.25,0.75,13.6,0,0,1,3.3,2.5,0.21,-0.3,0.5
28,André Ayew,gh GHA,"MF,FW",Swansea City,27,1989,10.6,0,13,7,53.8,1.23,0.66,0,0,13,0,0,0,1.9,1.9,0.14,-1.9,-1.9
29,Jordan Ayew,gh GHA,"FW,MF",Swansea City,25,1991,31.7,7,65,20,30.8,2.05,0.63,0.09,0.3,18.9,4,1,1,7.3,6.5,0.1,-0.3,-0.5
30,César Azpilicueta,es ESP,DF,Chelsea,27,1989,37,2,13,3,23.1,0.35,0.08,0.15,0.67,19.4,0,0,0,1.3,1.3,0.1,0.7,0.7
31,Eric Bailly,ci CIV,DF,Manchester Utd,23,1994,11.1,1,3,1,33.3,0.27,0.09,0.33,1,4.9,0,0,0,1.1,1.1,0.37,-0.1,-0.1
32,Leighton Baines,eng ENG,DF,Everton,32,1984,21.2,2,5,2,40,0.24,0.09,0,0,24.7,2,2,2,2.1,0.5,0.1,-0.1,-0.5
33,Tiemoué Bakayoko,fr FRA,MF,Chelsea,22,1994,23.6,2,40,8,20,1.69,0.34,0.05,0.25,18.5,0,0,0,3.2,3.2,0.08,-1.2,-1.2
34,Sam Baldock,eng ENG,FW,Brighton,28,1989,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
