player,position,team,touches,touches_in_defensive_penalty_area,touches_in_defensive_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty_area,live_ball_touches,take_ons_attempted,take_ons_succeeded,times_tackled_during_take_on,carries,total_carrying_distance,progressive_carrying_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received
Patrick van Aanholt,DF,Crystal Palace,1435,90,445,616,391,32,1435,31,26,5,717,3714,1966,33,7,37,18,711
Rolando Aarons,"MF,FW",Newcastle Utd,65,0,11,30,25,3,65,6,4,2,37,380,127,3,3,4,6,39
Tammy Abraham,FW,Swansea City,498,12,33,246,230,65,498,47,27,20,305,1600,555,16,8,50,51,393
Charlie Adam,MF,Stoke City,342,9,58,218,76,5,341,12,12,0,206,960,436,15,2,7,5,211
Adrián,GK,West Ham,641,541,633,9,0,0,641,0,0,0,284,2193,1505,0,0,0,0,166
Ibrahim Afellay,MF,Stoke City,89,0,18,63,12,0,89,1,1,0,61,214,50,0,0,1,3,64
Benik Afobe,FW,Bournemouth,219,8,18,100,105,28,219,9,7,2,138,820,317,4,9,28,5,171
Sergio Agüero,FW,Manchester City,894,6,41,308,561,152,890,84,56,28,610,4166,1866,48,36,56,43,747
Nathan Aké,DF,Bournemouth,2048,283,1262,720,84,46,2048,11,10,1,946,5466,3075,9,1,12,6,1110
Marc Albrighton,"MF,FW",Leicester City,1581,54,302,701,601,34,1581,95,52,43,846,5041,2154,43,6,47,38,988
Toby Alderweireld,DF,Tottenham,1049,65,413,564,78,11,1049,7,6,1,611,3145,2152,12,0,4,0,761
Trent Alexander-Arnold,DF,Liverpool,1487,39,374,718,409,28,1487,33,20,13,743,3232,1791,38,9,18,13,910
Joe Allen,MF,Stoke City,1781,90,370,996,448,49,1781,55,44,11,950,4752,2010,44,7,54,68,990
Dele Alli,"MF,FW",Tottenham,1726,33,179,702,874,147,1726,105,44,61,1097,6773,2868,78,28,98,89,1334
Marcos Alonso,"DF,MF",Chelsea,2084,82,566,784,748,96,2084,33,17,16,1072,6123,3378,50,10,42,24,1258
Daniel Amartey,DF,Leicester City,362,24,129,189,46,0,362,5,4,1,157,858,432,6,0,3,4,192
Ethan Ampadu,DF,Chelsea,22,2,9,13,0,0,22,0,0,0,16,62,33,0,0,0,0,19
Nordin Amrabat,FW,Watford,98,0,13,36,50,4,98,4,2,2,61,284,124,5,1,4,7,72
Michail Antonio,"FW,MF",West Ham,731,22,94,305,348,39,731,88,51,37,467,3457,1409,38,10,55,42,533
Scott Arfield,"MF,FW",Burnley,517,23,121,230,174,28,517,26,14,12,257,1287,538,11,5,23,15,288
Marko Arnautović,"FW,MF",West Ham,1051,42,119,339,609,150,1051,80,56,24,644,4306,1913,46,40,58,42,742
Harry Arter,MF,Bournemouth,673,17,130,455,98,1,673,8,4,4,364,2100,965,10,0,8,8,489
Christian Atsu,"FW,MF",Newcastle Utd,761,25,146,296,338,62,761,65,28,37,483,3786,1894,49,22,37,38,493
Pierre-Emerick Aubameyang,FW,Arsenal,420,10,42,179,206,62,418,14,11,3,264,1571,836,17,12,12,12,314
Serge Aurier,DF,Tottenham,1249,39,300,533,425,36,1249,22,15,7,531,2527,1251,29,5,16,16,694
Charlie Austin,FW,Southampton,383,13,31,180,173,55,382,6,3,3,231,726,199,3,2,30,19,292
André Ayew,"MF,FW",West Ham,363,8,45,195,130,22,362,14,12,2,205,1407,597,18,2,11,17,259
André Ayew,"MF,FW",Swansea City,412,10,47,210,158,32,412,15,9,6,259,1328,509,17,9,20,25,310
Jordan Ayew,"FW,MF",Swansea City,1350,12,111,652,616,101,1349,124,74,50,907,6311,2611,70,23,109,106,1017
César Azpilicueta,DF,Chelsea,3278,218,1198,1596,494,25,3278,9,6,3,1959,8806,5822,61,3,17,7,2273
Eric Bailly,DF,Manchester Utd,552,76,278,260,16,7,552,4,4,0,258,1365,766,1,0,1,5,300
Leighton Baines,DF,Everton,1159,49,325,529,316,15,1157,14,8,6,502,2143,1285,22,3,9,10,662
Tiemoué Bakayoko,MF,Chelsea,1392,53,275,827,318,45,1392,50,36,14,823,4326,2155,35,2,40,27,957
Sam Baldock,FW,Brighton,10,0,0,3,7,3,10,1,0,1,6,11,1,0,0,2,1,10
Beni Baningime,MF,Everton,107,2,17,70,20,0,107,4,1,3,54,295,135,0,0,1,1,57
Phil Bardsley,DF,Burnley,742,70,234,381,132,3,742,5,3,2,251,1027,402,3,0,9,9,275
Ross Barkley,MF,Chelsea,64,1,5,32,28,6,64,6,5,1,42,267,137,1,1,2,3,53
Ashley Barnes,FW,Burnley,797,21,79,337,394,94,797,25,16,9,464,2070,571,15,16,76,44,608
Harvey Barnes,"MF,FW",Leicester City,9,0,0,3,6,2,9,0,0,0,3,12,12,1,0,1,0,6
Gareth Barry,MF,West Brom,1122,48,241,723,168,13,1122,11,10,1,595,2436,1209,11,0,23,17,669
Kyle Bartley,DF,Swansea City,152,26,93,52,7,5,152,0,0,0,61,284,163,1,0,0,1,90
Michy Batshuayi,FW,Chelsea,137,5,7,70,67,13,137,6,5,1,80,445,212,7,2,15,9,112
