rank,player,nation,position,team,age,born,ninetys,passes_completed,passes_attempted,pass_completion_percentage,total_passing_distance,total_progressive_passing_distance,short_passes_completed,short_passes_attempted,short_pass_completion_percentage,medium_passes_completed,medium_passes_attempted,medium_pass_completion_percentage,long_passes_completed,long_passes_attempted,long_pass_completion_percentage,assists,expected_assisted_goals,expected_assists,assists-expected_assisted_goals,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,26,1990,24.3,884,1176,75.2,14197,6422,479,532,90,311,431,72.2,74,152,48.7,1,2.1,1.8,-1.1,18,63,28,6,92
2,Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,21,1995,1.5,29,44,65.9,376,77,24,30,80,2,5,40,2,3,66.7,0,0,0,0,0,2,1,1,3
3,Tammy Abraham,eng ENG,FW,Swansea City,19,1997,19.2,206,314,65.6,2754,557,123,173,71.1,56,89,62.9,10,22,45.5,1,1.6,0.8,-0.6,12,16,6,2,20
4,Charlie Adam,sct SCO,MF,Stoke City,31,1985,4.6,168,285,58.9,3889,1505,51,66,77.3,72,96,75,45,107,42.1,0,1.2,1.4,-1.2,6,28,7,4,30
5,Adrián,es ESP,GK,West Ham,30,1987,19,266,571,46.6,11798,10438,12,12,100,51,52,98.1,203,503,40.4,0,0,0.1,0,0,13,1,0,0
6,Ibrahim Afellay,nl NED,MF,Stoke City,31,1986,1.8,72,82,87.8,1326,256,29,32,90.6,35,39,89.7,6,8,75,0,0,0,0,0,6,0,0,4
7,Benik Afobe,cd COD,FW,Bournemouth,24,1993,6.8,113,154,73.4,1370,152,77,102,75.5,27,38,71.1,0,1,0,0,0.1,0.1,-0.1,2,8,2,0,9
8,Sergio Agüero,ar ARG,FW,Manchester City,29,1988,21.8,529,650,81.4,6018,1087,360,405,88.9,107,140,76.4,11,13,84.6,6,5.6,3.8,0.4,40,25,24,0,49
9,Nathan Aké,nl NED,DF,Bournemouth,22,1995,37.3,1344,1609,83.5,26293,11309,437,510,85.7,737,833,88.5,159,240,66.3,3,1.9,1.7,1.1,9,89,3,0,96
10,Marc Albrighton,eng ENG,"MF,FW",Leicester City,27,1989,28.2,771,1298,59.4,14418,5905,365,436,83.7,259,408,63.5,122,337,36.2,7,5.7,4.7,1.3,46,98,36,19,114
11,Toby Alderweireld,be BEL,DF,Tottenham,28,1989,13.1,793,931,85.2,18331,6712,176,188,93.6,459,496,92.5,153,236,64.8,0,0.1,0.4,-0.1,3,102,7,1,109
12,Trent Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,17.5,963,1309,73.6,17689,5965,408,458,89.1,418,546,76.6,117,243,48.1,1,2.6,1.7,-1.6,25,76,25,6,94
13,Joe Allen,wls WAL,MF,Stoke City,27,1990,34.9,1114,1403,79.4,17666,5350,547,620,88.2,437,531,82.3,75,128,58.6,6,2.8,2.6,3.2,31,116,26,4,165
14,Dele Alli,eng ENG,"MF,FW",Tottenham,21,1996,32.9,985,1295,76.1,15174,4014,541,647,83.6,342,414,82.6,63,109,57.8,10,8.2,5.2,1.8,63,104,55,1,181
15,Marcos Alonso,es ESP,"DF,MF",Chelsea,26,1990,31.7,1333,1721,77.5,21762,6115,656,751,87.4,555,665,83.5,86,176,48.9,2,2.8,2.2,-0.8,34,55,26,11,103
16,Daniel Amartey,gh GHA,DF,Leicester City,22,1994,5.4,239,310,77.1,3859,1555,129,142,90.8,83,109,76.1,20,45,44.4,0,0,0.1,0,0,14,0,0,14
17,Ethan Ampadu,wls WAL,DF,Chelsea,16,2000,0.1,19,19,100,391,149,5,5,100,13,13,100,1,1,100,0,0,0,0,0,1,0,0,1
18,Nordin Amrabat,ma MAR,FW,Watford,30,1987,2.2,44,78,56.4,585,190,29,36,80.6,9,21,42.9,4,9,44.4,0,0.1,0.2,-0.1,3,4,3,2,7
19,Michail Antonio,jm JAM,"FW,MF",West Ham,27,1990,15,296,494,59.9,5256,1567,151,210,71.9,90,147,61.2,42,91,46.2,1,1,0.9,0,14,20,15,11,29
20,Scott Arfield,ca CAN,"MF,FW",Burnley,28,1988,14.8,247,367,67.3,3441,942,150,198,75.8,75,103,72.8,9,25,36,1,0.4,0.4,0.6,7,25,6,1,32
21,Marko Arnautović,at AUT,"FW,MF",West Ham,28,1989,25.7,505,757,66.7,6653,1499,312,399,78.2,138,220,62.7,18,58,31,6,4.3,4.2,1.7,35,26,17,4,52
22,Harry Arter,ie IRL,MF,Bournemouth,27,1989,10.7,513,592,86.7,9905,2945,175,194,90.2,275,300,91.7,58,88,65.9,0,0.2,0.4,-0.2,3,69,6,0,68
23,Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,25,1992,19.8,359,513,70,4775,1436,220,256,85.9,95,148,64.2,14,38,36.8,2,2.6,2,-0.6,25,21,16,3,47
24,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,28,1989,11.7,225,337,66.8,2707,423,157,192,81.8,47,82,57.3,5,20,25,4,1.1,1.3,2.9,13,10,5,2,9
25,Serge Aurier,ci CIV,DF,Tottenham,24,1992,15.9,779,1035,75.3,12584,4253,398,474,84,322,419,76.8,49,98,50,2,2.6,1.3,-0.6,14,37,25,6,67
26,Charlie Austin,eng ENG,FW,Southampton,28,1989,11.5,168,250,67.2,2313,403,98,126,77.8,48,67,71.6,10,21,47.6,0,0.8,0.7,-0.8,4,20,0,0,18
27,André Ayew,gh GHA,"MF,FW",West Ham,27,1989,9.9,216,291,74.2,2721,532,142,160,88.8,57,77,74,5,15,33.3,2,0.3,0.3,1.7,4,17,5,1,18
28,André Ayew,gh GHA,"MF,FW",Swansea City,27,1989,10.6,247,314,78.7,3303,538,151,174,86.8,71,88,80.7,9,19,47.4,2,1.3,0.8,0.7,12,12,7,0,24
29,Jordan Ayew,gh GHA,"FW,MF",Swansea City,25,1991,31.7,700,887,78.9,9413,1239,420,486,86.4,201,256,78.5,30,58,51.7,2,2,1.6,0,16,33,21,2,50
30,César Azpilicueta,es ESP,DF,Chelsea,27,1989,37,2469,2924,84.4,42480,14966,1110,1198,92.7,1120,1277,87.7,187,340,55,6,4.8,5.1,1.2,31,215,38,14,240
31,Eric Bailly,ci CIV,DF,Manchester Utd,23,1994,11.1,368,428,86,6857,2226,126,139,90.6,197,211,93.4,35,57,61.4,0,0.2,0.2,-0.2,2,15,2,0,26
32,Leighton Baines,eng ENG,DF,Everton,32,1984,21.2,774,1009,76.7,12799,5667,397,438,90.6,298,369,80.8,61,140,43.6,3,1.9,2.3,1.1,24,71,21,9,84
33,Tiemoué Bakayoko,fr FRA,MF,Chelsea,22,1994,23.6,957,1116,85.8,14377,3737,511,571,89.5,326,377,86.5,58,76,76.3,2,1.2,0.9,0.8,16,88,9,1,123
34,Sam Baldock,eng ENG,FW,Brighton,28,1989,0.4,4,7,57.1,41,7,3,5,60,1,2,50,0,0,,0,0,0,0,0,0,0,0,0
35,Beni Baningime,cd COD,MF,Everton,18,1998,2.2,67,82,81.7,1088,304,28,34,82.4,30,35,85.7,3,5,60,0,0,0,0,0,6,1,0,11
36,Phil Bardsley,sct SCO,DF,Burnley,32,1985,12.5,394,587,67.1,6906,3437,190,214,88.8,163,245,66.5,37,103,35.9,0,0.3,0.7,-0.3,5,55,13,7,53
37,Ross Barkley,eng ENG,MF,Chelsea,23,1993,1.4,39,53,73.6,560,96,23,28,82.1,9,13,69.2,3,6,50,0,0.1,0,-0.1,2,0,2,1,4
38,Ashley Barnes,eng ENG,FW,Burnley,27,1989,24.1,316,531,59.5,4207,996,193,282,68.4,101,161,62.7,6,33,18.2,0,1.6,1.8,-1.6,17,22,11,4,34
39,Harvey Barnes,eng ENG,"MF,FW",Leicester City,19,1997,0.1,6,7,85.7,84,16,4,4,100,2,3,66.7,0,0,,0,0,0,0,0,0,0,0,2
40,Gareth Barry,eng ENG,MF,West Brom,36,1981,21.4,721,963,74.9,13209,4410,323,374,86.4,282,357,79,100,193,51.8,1,1.4,1.3,-0.4,17,113,15,3,126
41,Kyle Bartley,eng ENG,DF,Swansea City,26,1991,2.6,93,115,80.9,1796,686,32,37,86.5,51,57,89.5,9,18,50,0,0.3,0.2,-0.3,2,8,0,0,7
42,Michy Batshuayi,be BEL,FW,Chelsea,23,1993,4,67,97,69.1,767,100,41,50,82,12,21,57.1,3,5,60,1,0.1,0.1,0.9,1,2,1,0,8
43,Moritz Bauer,at AUT,"DF,MF",Stoke City,25,1992,14.5,293,465,63,5276,2454,136,168,81,100,158,63.3,47,107,43.9,0,0.9,1.1,-0.9,13,18,10,8,19
44,Jan Bednarek,pl POL,DF,Southampton,21,1996,4.7,139,193,72,2611,1037,51,53,96.2,72,95,75.8,16,42,38.1,0,0,0,0,0,11,0,0,14
