rank,player,nation,position,team,age,born,ninetys,passes_completed,passes_attempted,pass_completion_percentage,total_passing_distance,total_progressive_passing_distance,short_passes_completed,short_passes_attempted,short_pass_completion_percentage,medium_passes_completed,medium_passes_attempted,medium_pass_completion_percentage,long_passes_completed,long_passes_attempted,long_pass_completion_percentage,assists,expected_assisted_goals,expected_assists,assists-expected_assisted_goals,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
45,Asmir Begović,ba BIH,GK,Bournemouth,30,1987,38,693,1162,59.6,23636,18869,55,55,100,300,304,98.7,337,798,42.2,0,0,0,0,1,7,0,0,0
46,Héctor Bellerín,es ESP,DF,Arsenal,22,1995,33.9,1833,2193,83.6,27194,7214,1018,1118,91.1,705,814,86.6,61,116,52.6,3,3.9,5.1,-0.9,32,82,53,10,134
47,Yohan Benalouane,tn TUN,DF,Leicester City,30,1987,1,24,38,63.2,478,89,7,10,70,12,16,75,5,10,50,0,0,0,0,0,0,0,0,1
48,Christian Benteke,be BEL,FW,Crystal Palace,26,1990,24.9,379,675,56.1,4993,1074,243,394,61.7,96,195,49.2,18,32,56.3,5,2.9,1.7,2.1,28,35,12,0,42
49,Saido Berahino,bi BDI,FW,Stoke City,23,1993,5.5,75,99,75.8,1078,138,42,52,80.8,27,34,79.4,3,5,60,1,0.6,0.3,0.4,3,3,3,1,9
50,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,26,1990,31.5,660,1027,64.3,11965,4451,308,382,80.6,214,313,68.4,107,259,41.3,8,4.7,5.1,3.3,67,40,30,16,75
51,Ryan Bertrand,eng ENG,DF,Southampton,27,1989,34.8,1476,1954,75.5,21055,8752,911,1022,89.1,444,594,74.7,71,195,36.4,4,3.1,3.3,0.9,36,130,42,11,174
52,Muhamed Bešić,ba BIH,MF,Everton,24,1992,0.5,27,28,96.4,526,84,12,12,100,10,10,100,5,6,83.3,0,0,0,0,1,1,1,0,2
53,Philip Billing,dk DEN,MF,Huddersfield,21,1996,8.5,285,394,72.3,4747,1279,142,168,84.5,107,140,76.4,25,62,40.3,0,0.5,0.4,-0.5,2,22,4,2,26
54,Mame Biram Diouf,sn SEN,"FW,DF",Stoke City,29,1987,28.8,347,630,55.1,4835,1503,213,320,66.6,108,201,53.7,10,38,26.3,2,1.9,0.9,0.1,20,26,7,2,43
55,Daley Blind,nl NED,"DF,MF",Manchester Utd,27,1990,4,220,274,80.3,3520,1332,120,132,90.9,74,92,80.4,22,43,51.2,0,0.2,0.6,-0.2,4,18,7,3,23
56,Jeremie Boga,ci CIV,MF,Chelsea,20,1997,0.2,4,4,100,33,7,1,1,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0
57,Yannick Bolasie,cd COD,FW,Everton,28,1989,9.5,143,269,53.2,2088,555,84,119,70.6,42,85,49.4,9,34,26.5,0,0.7,0.4,-0.7,4,8,8,5,20
58,Gaëtan Bong,cm CMR,DF,Brighton,29,1988,24.8,728,1091,66.7,11534,5807,364,438,83.1,291,423,68.8,43,147,29.3,0,0.5,0.5,-0.5,9,69,7,5,85
59,Wilfried Bony,ci CIV,FW,Swansea City,28,1988,7.9,131,209,62.7,1637,308,92,124,74.2,31,53,58.5,3,4,75,0,0.2,0.2,-0.2,4,13,2,0,11
60,Sofiane Boufal,ma MAR,"FW,MF",Southampton,23,1993,13.5,431,580,74.3,6295,1617,250,302,82.8,123,164,75,32,60,53.3,2,1.8,1.8,0.2,21,37,24,3,76
61,Robbie Brady,ie IRL,MF,Burnley,25,1992,14.2,354,593,59.7,6916,2653,166,206,80.6,109,179,60.9,72,168,42.9,2,2.1,2.6,-0.1,26,39,18,6,54
62,Claudio Bravo,cl CHI,GK,Manchester City,34,1983,2.5,64,71,90.1,1601,1126,4,4,100,43,44,97.7,17,23,73.9,0,0,0,0,0,0,0,0,0
63,Miguel Britos,uy URU,DF,Watford,32,1985,8.9,318,401,79.3,6586,2637,96,110,87.3,172,195,88.2,49,84,58.3,0,0.4,0.7,-0.4,3,32,4,1,43
64,Leon Britton,eng ENG,MF,Swansea City,34,1982,3.4,127,138,92,2255,403,49,53,92.5,70,74,94.6,7,8,87.5,0,0,0,0,0,6,0,0,11
65,Izzy Brown,eng ENG,"MF,FW",Brighton,20,1997,3.5,93,139,66.9,1306,279,53,65,81.5,30,45,66.7,5,9,55.6,0,0.8,0.5,-0.8,6,8,4,2,9
66,Bruno,es ESP,DF,Brighton,36,1980,22.4,949,1220,77.8,16949,6723,446,492,90.7,371,460,80.7,116,215,54,0,0.6,1,-0.6,10,54,12,6,78
67,Chris Brunt,nir NIR,"MF,DF",West Brom,32,1984,21.3,733,1082,67.7,15546,6796,284,328,86.6,274,370,74.1,160,339,47.2,7,4.3,4.5,2.7,37,98,24,10,100
68,Oliver Burke,sct SCO,"FW,MF",West Brom,20,1997,4.1,114,151,75.5,1509,284,76,91,83.5,28,39,71.8,5,9,55.6,2,0.5,0.4,1.5,4,4,3,2,6
69,Jack Butland,eng ENG,GK,Stoke City,24,1993,35,643,1283,50.1,28682,25851,35,36,97.2,163,173,94.2,444,1062,41.8,0,0,0.1,0,1,54,0,0,0
70,Sam Byram,eng ENG,"DF,MF",West Ham,23,1993,2.8,73,123,59.3,1293,676,29,40,72.5,37,53,69.8,6,25,24,0,0.1,0.4,-0.1,2,12,5,3,14
71,Willy Caballero,ar ARG,GK,Chelsea,35,1981,3,73,100,73,1939,1484,17,18,94.4,32,33,97,23,46,50,0,0,0,0,0,0,0,0,0
72,Yohan Cabaye,fr FRA,MF,Crystal Palace,31,1986,26.4,1118,1438,77.7,18909,7090,539,603,89.4,416,493,84.4,117,266,44,1,4.1,3.8,-3.1,42,124,18,0,138
73,Gary Cahill,eng ENG,DF,Chelsea,31,1985,23.2,1194,1347,88.6,21241,8087,458,492,93.1,615,673,91.4,91,133,68.4,0,0.1,0.2,-0.1,3,71,1,0,69
74,Dominic Calvert-Lewin,eng ENG,FW,Everton,20,1997,20.9,311,519,59.9,3729,901,198,302,65.6,63,112,56.3,11,24,45.8,6,2.6,1.3,3.4,20,13,12,6,27
75,Geoff Cameron,us USA,"DF,MF",Stoke City,32,1985,16.9,404,581,69.5,7362,3256,166,191,86.9,187,244,76.6,44,120,36.7,0,0.1,0.3,-0.1,6,39,3,0,48
76,Tyrese Campbell,eng ENG,FW,Stoke City,17,1999,0.9,10,20,50,129,47,6,12,50,4,6,66.7,0,0,,0,0,0,0,0,1,3,0,4
77,Emre Can,de GER,MF,Liverpool,23,1994,23.2,1338,1571,85.2,23098,5472,600,662,90.6,591,668,88.5,117,179,65.4,4,3,2.4,1,25,136,23,2,137
78,Étienne Capoue,fr FRA,MF,Watford,29,1988,17.1,723,883,81.9,12866,3380,342,390,87.7,271,320,84.7,91,135,67.4,0,0.6,1.2,-0.6,8,75,9,1,74
79,Michael Carrick,eng ENG,MF,Manchester Utd,36,1981,1.2,84,99,84.8,1602,837,40,41,97.6,29,29,100,14,25,56,0,0.1,0.2,-0.1,1,17,0,0,15
80,André Carrillo,pe PER,"FW,MF",Watford,26,1991,17.1,561,772,72.7,8091,2148,339,396,85.6,145,221,65.6,47,77,61,2,2.8,2.4,-0.8,20,40,24,8,72
81,Guido Carrillo,ar ARG,FW,Southampton,26,1991,5,81,124,65.3,936,171,54,74,73,17,27,63,2,3,66.7,1,0.4,0.5,0.6,4,3,3,0,8
82,Andy Carroll,eng ENG,FW,West Ham,28,1989,8.3,158,262,60.3,2741,519,74,114,64.9,64,100,64,14,29,48.3,0,0.5,0.3,-0.5,7,13,6,3,11
83,Tom Carroll,eng ENG,MF,Swansea City,25,1992,28.6,1235,1577,78.3,21581,7289,575,640,89.8,472,566,83.4,147,283,51.9,4,4.1,4.1,-0.1,47,161,31,8,179
84,Craig Cathcart,nir NIR,DF,Watford,28,1989,5.8,143,186,76.9,3103,1225,43,48,89.6,75,88,85.2,24,45,53.3,0,0,0,0,0,8,1,0,11
85,Petr Čech,cz CZE,GK,Arsenal,35,1982,33.8,749,1039,72.1,22106,16596,74,75,98.7,398,400,99.5,276,556,49.6,0,0,0,0,0,11,1,0,1
86,Nacer Chadli,be BEL,"FW,MF",West Brom,27,1989,2.9,54,77,70.1,617,122,32,40,80,15,21,71.4,1,5,20,0,0.1,0.1,-0.1,2,3,2,0,7
87,Nathaniel Chalobah,eng ENG,MF,Watford,22,1994,5,132,184,71.7,2235,836,61,76,80.3,51,67,76.1,12,28,42.9,0,0,0.1,0,1,18,1,0,22
88,Calum Chambers,eng ENG,DF,Arsenal,22,1995,9.6,521,630,82.7,9649,3313,203,228,89,257,298,86.2,54,84,64.3,0,0.1,0.2,-0.1,2,30,6,1,43
89,Ben Chilwell,eng ENG,DF,Leicester City,20,1996,20.6,852,1199,71.1,13076,4494,446,533,83.7,306,429,71.3,60,136,44.1,2,2.4,2.4,-0.4,21,59,26,16,78
90,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,19,1997,4.2,139,169,82.2,2428,830,65,72,90.3,53,60,88.3,16,27,59.3,1,0.4,0,0.6,1,21,0,0,16
91,Andreas Christensen,dk DEN,DF,Chelsea,21,1996,23.2,1263,1357,93.1,24630,8441,387,409,94.6,719,752,95.6,134,157,85.4,0,0.1,0.9,-0.1,4,62,2,0,76
92,Lee Chung-yong,kr KOR,"FW,MF",Crystal Palace,29,1988,1.5,58,77,75.3,711,152,37,39,94.9,15,24,62.5,2,6,33.3,0,0.1,0.1,-0.1,2,1,1,0,2
93,Ciaran Clark,ie IRL,DF,Newcastle Utd,27,1989,19.4,511,715,71.5,10211,4380,171,199,85.9,251,308,81.5,71,176,40.3,1,0.7,0.4,0.3,4,43,3,0,29
94,Tom Cleverley,eng ENG,MF,Watford,27,1989,21.1,964,1238,77.9,15750,4846,481,542,88.7,346,419,82.6,89,181,49.2,2,1.6,1.8,0.4,29,132,17,2,136
95,Sam Clucas,eng ENG,MF,Swansea City,26,1990,22.7,689,872,79,11783,2786,327,375,87.2,274,333,82.3,68,117,58.1,1,1.3,1.1,-0.3,15,46,3,1,61
96,Nathaniel Clyne,eng ENG,"DF,FW",Liverpool,26,1991,1.9,108,141,76.6,1751,558,58,65,89.2,37,52,71.2,9,13,69.2,0,0.1,0.1,-0.1,1,7,2,1,5
97,Séamus Coleman,ie IRL,DF,Everton,28,1988,11.5,369,516,71.5,5449,2296,217,252,86.1,121,178,68,18,55,32.7,1,0.7,0.5,0.3,7,30,7,1,44
98,James Collins,wls WAL,DF,West Ham,33,1983,11.7,283,389,72.8,6304,2774,74,82,90.2,148,185,80,61,118,51.7,0,0.2,0.2,-0.2,2,20,2,0,24
99,Lewis Cook,eng ENG,MF,Bournemouth,20,1997,24.9,989,1263,78.3,19152,6531,394,486,81.1,428,494,86.6,147,229,64.2,2,1.6,2.2,0.4,28,176,27,5,173
100,Steve Cook,eng ENG,DF,Bournemouth,26,1991,30.7,1029,1400,73.5,22531,9824,246,313,78.6,610,742,82.2,163,315,51.7,1,1,0.5,0,5,65,4,0,83
101,Francis Coquelin,fr FRA,"MF,DF",Arsenal,26,1991,1.9,79,96,82.3,1304,405,41,47,87.2,24,29,82.8,11,14,78.6,0,0.6,0,-0.6,1,8,1,0,11
102,Jack Cork,eng ENG,MF,Burnley,28,1989,38,1281,1608,79.7,21883,5582,583,680,85.7,499,597,83.6,136,208,65.4,1,1.1,1,-0.1,19,127,11,1,165
103,Thibaut Courtois,be BEL,GK,Chelsea,25,1992,35,903,1202,75.1,25829,17424,105,106,99.1,514,519,99,279,564,49.5,0,0,0,0,0,14,0,0,0
104,Philippe Coutinho,br BRA,"MF,FW",Liverpool,25,1992,12.3,566,758,74.7,10208,3685,246,287,85.7,231,288,80.2,73,134,54.5,6,4.7,4.7,1.3,40,99,44,7,145
105,Martin Cranie,eng ENG,DF,Huddersfield,30,1986,2,72,91,79.1,1561,536,16,19,84.2,45,51,88.2,11,20,55,0,0,0,0,0,5,0,0,1
106,Aaron Cresswell,eng ENG,DF,West Ham,27,1989,34.1,1204,1723,69.9,22518,9345,531,593,89.5,488,642,76,163,408,40,3,3.2,2.4,-0.2,34,135,21,10,128
107,Peter Crouch,eng ENG,FW,Stoke City,36,1981,17.4,375,643,58.3,4463,1102,282,447,63.1,68,122,55.7,9,16,56.3,2,2.8,1.9,-0.8,21,40,7,0,41
108,Josh Cullen,ie IRL,MF,West Ham,21,1996,0.1,3,4,75,21,7,1,2,50,0,0,,0,0,,0,0,0,0,0,0,0,0,0
109,Charlie Daniels,eng ENG,"DF,MF",Bournemouth,30,1986,33.4,1510,2024,74.6,25113,9646,778,915,85,604,780,77.4,109,253,43.1,3,2.2,1.7,0.8,30,124,30,7,155
110,Danilo,br BRA,DF,Manchester City,26,1991,15,1106,1255,88.1,17501,4137,581,613,94.8,437,484,90.3,62,102,60.8,2,0.2,0.8,1.8,5,79,14,1,89
111,Scott Dann,eng ENG,DF,Crystal Palace,30,1987,15.9,454,574,79.1,9072,3668,154,175,88,221,254,87,70,127,55.1,0,0.2,0.3,-0.2,5,30,2,0,42
112,Karl Darlow,eng ENG,GK,Newcastle Utd,26,1990,10,174,334,52.1,6615,5845,19,19,100,56,58,96.6,99,257,38.5,0,0,0,0,0,6,0,0,0
113,Matteo Darmian,it ITA,DF,Manchester Utd,27,1989,4.9,208,255,81.6,3066,995,107,117,91.5,68,82,82.9,15,28,53.6,0,0,0,0,1,12,0,0,16
114,Ben Davies,wls WAL,DF,Tottenham,24,1993,25.8,1305,1735,75.2,22704,8393,612,701,87.3,560,706,79.3,116,247,47,6,3.2,3.8,2.8,46,125,37,14,165
115,Tom Davies,eng ENG,MF,Everton,19,1998,21.1,547,715,76.5,8064,2003,298,347,85.9,174,223,78,33,67,49.3,1,0.6,1,0.4,10,45,13,1,62
116,Steven Davis,nir NIR,MF,Southampton,32,1985,16.9,886,1092,81.1,14571,4068,424,472,89.8,349,403,86.6,78,134,58.2,0,1.1,1.9,-1.1,18,101,20,3,129
117,Craig Dawson,eng ENG,DF,West Brom,27,1990,27.9,765,1114,68.7,14860,7328,314,385,81.6,318,420,75.7,117,253,46.2,0,1.2,1.1,-1.2,10,79,19,14,83
118,Kevin De Bruyne,be BEL,MF,Manchester City,26,1991,34.1,2351,3008,78.2,39772,11181,1154,1322,87.3,885,1090,81.2,221,376,58.8,16,11.1,11.7,4.9,105,258,119,11,388
119,Troy Deeney,eng ENG,FW,Watford,29,1988,20.5,309,552,56,4094,1303,207,330,62.7,69,127,54.3,15,29,51.7,2,2.8,2,-0.8,26,46,21,1,71
120,Jermain Defoe,eng ENG,FW,Bournemouth,34,1982,12.1,98,138,71,1340,208,65,87,74.7,25,34,73.5,6,6,100,1,1.1,1,-0.1,13,3,4,0,10
121,Steven Defour,be BEL,MF,Burnley,29,1988,22.2,865,1062,81.5,15646,4797,365,412,88.6,389,443,87.8,93,161,57.8,1,1.1,1.5,-0.1,19,89,25,10,117
122,Damien Delaney,ie IRL,DF,Crystal Palace,36,1981,1.1,30,38,78.9,517,401,15,15,100,10,13,76.9,3,7,42.9,0,0,0,0,0,1,0,0,0
123,Fabian Delph,eng ENG,DF,Manchester City,27,1989,19.3,1662,1801,92.3,24788,6068,977,1012,96.5,567,609,93.1,79,112,70.5,2,1.2,1.4,0.8,11,129,15,3,132
124,Mousa Dembélé,be BEL,MF,Tottenham,30,1987,20.9,1316,1429,92.1,21995,7009,625,668,93.6,592,630,94,81,97,83.5,0,0.7,1.1,-0.7,18,177,4,1,211
125,Laurent Depoitre,be BEL,FW,Huddersfield,28,1988,20.2,275,486,56.6,3620,526,146,247,59.1,85,150,56.7,11,17,64.7,1,1.4,0.4,-0.4,14,20,0,0,21
126,Mike van der Hoorn,nl NED,DF,Swansea City,24,1992,21.6,669,882,75.9,13736,5320,215,250,86,340,400,85,106,210,50.5,0,0.6,0.2,-0.6,5,42,4,3,41
127,Gerard Deulofeu,es ESP,"FW,MF",Watford,23,1994,4.8,110,160,68.8,1602,455,60,80,75,31,42,73.8,9,14,64.3,0,0.6,0.4,-0.6,11,12,5,1,13
128,Fousseni Diabaté,ml MLI,"MF,FW",Leicester City,21,1995,6.5,182,237,76.8,2441,602,105,127,82.7,58,75,77.3,7,11,63.6,1,0.3,0.6,0.7,7,9,7,3,18
129,Mohamed Diamé,sn SEN,MF,Newcastle Utd,30,1987,22.7,666,825,80.7,10938,3060,333,388,85.8,237,282,84,60,91,65.9,0,0.7,0.5,-0.7,13,64,7,1,81
130,Brahim Díaz,es ESP,"FW,DF",Manchester City,17,1999,0.6,25,29,86.2,326,45,16,17,94.1,8,10,80,0,0,,0,0,0,0,0,0,0,0,0
131,Eric Dier,eng ENG,"MF,DF",Tottenham,23,1994,31.4,1949,2285,85.3,38485,13081,670,747,89.7,1003,1107,90.6,251,358,70.1,2,1.7,2.7,0.3,15,221,25,4,213
132,Abdoulaye Doucouré,ml MLI,MF,Watford,24,1993,36.9,1885,2278,82.7,30698,7812,907,1054,86.1,787,897,87.7,132,193,68.4,3,2.3,2.9,0.7,40,152,30,3,222
133,Aleksandar Dragović,at AUT,DF,Leicester City,26,1991,8.5,301,361,83.4,6498,2286,81,95,85.3,160,184,87,54,72,75,0,0,0,0,0,18,0,0,27
134,Danny Drinkwater,eng ENG,MF,Chelsea,27,1990,5.9,331,389,85.1,5287,1189,173,192,90.1,119,133,89.5,28,36,77.8,0,0.3,0.8,-0.3,5,39,3,0,32
135,Martin Dúbravka,sk SVK,GK,Newcastle Utd,28,1989,12,203,348,58.3,6648,5297,24,24,100,93,94,98.9,86,230,37.4,0,0,0,0,0,7,0,0,0
136,Shane Duffy,ie IRL,DF,Brighton,25,1992,36.6,1045,1368,76.4,23174,7843,271,328,82.6,544,624,87.2,213,373,57.1,1,1.1,0.9,-0.1,8,35,3,2,39
137,Paul Dummett,wls WAL,DF,Newcastle Utd,25,1991,17.8,535,779,68.7,8906,4389,252,304,82.9,223,305,73.1,43,119,36.1,0,0.3,0.6,-0.3,6,50,7,3,57
138,Lewis Dunk,eng ENG,DF,Brighton,25,1991,38,1189,1529,77.8,26092,8945,377,423,89.1,545,612,89.1,242,436,55.5,1,1.2,0.4,-0.2,11,65,5,1,54
139,Nathan Dyer,eng ENG,"MF,FW",Swansea City,29,1987,14.5,426,553,77,5556,976,273,313,87.2,113,155,72.9,9,24,37.5,0,0.8,1.1,-0.8,10,19,15,1,34
140,Ederson,br BRA,GK,Manchester City,23,1993,35.5,955,1098,87,23400,15983,200,201,99.5,530,536,98.9,224,357,62.7,0,0.1,0,-0.1,1,9,0,0,0
141,Tom Edwards,eng ENG,"DF,MF",Stoke City,18,1999,5.3,151,217,69.6,2619,1196,73,79,92.4,55,71,77.5,17,51,33.3,0,0.4,0.3,-0.4,1,9,3,2,11
142,Rob Elliot,ie IRL,GK,Newcastle Utd,31,1986,16,308,537,57.4,12289,10903,23,23,100,102,105,97.1,183,408,44.9,0,0,0.1,0,0,9,0,0,0
