match_id,goals,assists,direct_goal_contributions,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,progressive_carries,progressive_passes,total_passing_distance,total_progressive_passing_distance,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,shots,shots_on_target,average_shot_distance,shots_from_free_kicks,penalties_made,touches,touches_in_defensive_penalty_area,touches_in_defensive_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty_area,live_ball_touches,take_ons_attempted,take_ons_succeeded,times_tackled_during_take_on,carries,total_carrying_distance,progressive_carrying_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribbler_tackles_attempted,shots_blocked,passes_blocked,interceptions,clearances,errors_leading_to_shot,goals_against,shots_on_target_against,saves,clean_sheets,penalties_faced,penalties_allowed,penalties_saved,penalties_missed,competition_id,home_team_id,away_team_id,referee_id,home_goals,away_goals,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_team_at_home_mean_goal_difference,home_team_overall_mean_goal_difference,away_team_at_away_mean_goal_difference,away_team_overall_mean_goal_difference,head_to_head_goal_difference
m-00381,0.39340104647583873,0.26911203447214516,0.6625130809479839,0.35539704524469073,0.03800400123114804,0.05460141582025238,0.5560541705140043,-0.031945213911972914,0.39437534626038795,0.3479016620498615,0.2098070175438596,6.573718067097569,22.6404216682056,2808.935175438596,758.5422345337025,85.4944136657433,95.19901508156356,66.58853647276085,76.3145814096645,13.92524622960911,19.516028008618036,0.34155309325946437,3.285475530932595,18.53883656509695,4.337259156663588,0.15069713758079395,4.277403816558941,1.212336103416436,2.3052733148661124,0.3518836565096953,0.03800400123114804,225.22528470298553,-3.0070837180670935,30.788939673745773,130.0172868574946,66.00290397045245,5.290586334256695,225.16290243151738,3.0572114496768235,2.846335795629425,0.21642505386272679,135.2141535857187,652.7968775007694,323.7878870421668,6.329699907663897,1.2354385964912282,3.5825315481686677,2.7164481378885803,166.94300400123117,15.15315635580178,4.987662357648506,3.2345937211449685,2.359144352108341,2.0425946445060017,0.5859233610341643,1.7627623884272086,5.119021237303786,0.2672591566635889,2.4516497383810405,3.221772853185596,2.7897953216374285,0.0632856263465682,-0.3482317636195754,-1.0612603878116347,-0.7064389042782399,-0.14540627885503232,-0.10124038165589413,-0.10299938442597723,0.0017590027700831018,0.0,001,t-00001,t-00002,r-00003,5,1,16,13,6,5,9,4,11,9,2,2,0,0,2.4,1.6,-2.8,0.2,7
m-00382,0.13440135426285005,0.4085149276700523,0.5429162819329024,0.16961372730070784,-0.03521237303785781,-0.06270544783010155,0.46474607571560467,0.04067097568482609,0.2036979070483224,0.24870590951061866,0.3435530932594644,6.706358879655279,18.99450138504155,2360.6771206525077,545.3815774084331,68.65945521698984,77.32096029547553,62.03702062172975,70.9725515543244,9.65374115112342,13.375738688827328,0.42299353647276083,2.1128793474915355,12.93181594336719,3.777916281932902,0.16704524469067408,4.691731301939058,1.308865804863035,2.6749395198522623,0.17076177285318556,-0.03521237303785781,204.1672483841182,-1.982851646660512,36.46030778701139,112.46986611265004,57.105078485687905,8.681077254539858,204.22421668205598,5.603381040320099,3.862451523545706,1.7329239766081868,130.58908741151123,696.3729332102184,349.8378470298554,5.8528408741151114,1.7118790397045247,4.150350877192983,3.444144352108341,148.43857494613727,13.020534010464756,6.143107109879963,4.4873961218836556,3.027876269621422,2.4028824253616494,0.7123484148968913,1.961525084641428,6.266766697445368,1.0787580794090492,2.407880886426592,3.354992305324715,8.164162819329025,0.27209141274238224,-0.6784533702677747,-1.7680255463219452,-1.0134533702677748,-0.10762850107725457,-0.1710464758387196,-0.1885949522930132,0.017548476454293627,0.0,001,t-00001,t-00003,r-00002,1,1,20,11,8,5,16,3,9,14,5,2,0,0,1.4,1.6,-0.6,1.2,1
m-00383,1.032333025546322,0.2897122191443521,1.322045244690674,0.9765050784856878,0.05582794706063404,0.08085257002154508,0.654893813481071,-0.011412742382271468,0.9035252385349338,0.8368287165281626,0.2985667897814713,6.328585718682672,18.706692828562634,2719.725914127424,1022.7054185903353,62.28629270544783,73.2723407202216,57.41267774699908,70.64373191751308,18.981063404124342,34.90801015697137,0.3042212988611881,2.6264527546937524,16.59426438904278,3.1421191135734077,0.44140658664204374,6.395492459218221,2.475012311480455,2.802280855647892,0.14281317328408738,0.05582794706063404,241.71940135426286,12.649572176054173,63.41978762696214,129.18003385657127,51.47517236072639,10.974495229301324,241.6472406894429,5.774261311172668,4.114593721144968,1.651662049861496,136.79735610957218,739.7093490304708,351.28522314558325,4.943939673745767,1.7089796860572484,7.92208217913204,4.817357648507233,155.68389504462914,13.527388427208372,6.241392736226532,3.9124807633117875,3.0517820867959378,2.5848199445983377,0.604790704832256,2.4993767313019393,6.298210218528777,2.2719390581717454,2.461394275161588,4.613573407202217,13.292496152662359,0.02133579562942445,-0.18409972299168983,-0.012488457987073265,0.2067328408741151,0.0009649122807017102,-0.05758848876577409,-0.07758387196060326,0.005614035087719299,0.014381348107109879,001,t-00001,t-00004,r-00008,3,1,10,7,6,2,1,3,10,14,2,5,0,0,1.0,1.6,-1.4,0.2,8
m-00384,0.07379501385041543,0.22546475838719607,0.2992597722376114,0.152876269621422,-0.07908125577100647,-0.08059710680209296,0.10593413357956288,-0.04351492767005232,-0.05127146814404446,0.01308833487226832,0.18368821175746378,2.0610218528778086,5.557746999076637,438.26526315789465,-0.11449522930125511,15.552656201908285,18.532326869806106,17.123848876577412,21.02617882425361,-1.1093182517697755,-2.166315789473681,0.22567020621729758,1.3047091412742386,3.5278331794398268,2.062703908895044,0.40542474607571544,1.5084164358264078,0.43262388427208354,0.4499790704832255,0.5869790704832255,-0.07908125577100647,43.94535703293316,-10.475855647891656,-10.986563558017867,23.83241458910431,30.92440135426284,2.701895967990152,44.02595413973526,0.9620129270544786,0.33176515851031163,0.6297614650661743,38.66176361957521,158.9888119421359,72.80639581409662,2.659105878731917,0.12354878424130522,1.5789535241612798,1.3069128962757768,37.42892582333021,11.00026008002462,0.13812249923053166,0.26825023084025856,0.2648938134810712,-0.20182825484764538,0.0750569405971066,0.13825792551554272,0.8677177593105572,-0.1032102185287781,0.07157125269313636,0.026346568174822504,0.8857863958140966,-0.1034795321637427,-0.41830563250230823,-1.025926438904278,-0.6098891966758999,-0.18940135426285012,-0.03222222222222221,-0.028164050477069866,-0.004058171745152354,0.0,001,t-00001,t-00005,r-00002,2,0,13,13,5,1,5,6,13,15,0,2,0,0,2.0,1.6,0.0,0.6,1
m-00385,-0.3083179439827639,-0.07427977839335186,-0.3825977223761158,-0.26591566635887964,-0.04240227762388428,-0.02988304093567251,0.24374422899353643,-0.03246229609110495,-0.21322068328716534,-0.19070329332102195,-0.09969729147429975,-5.396080332409973,4.082203755001537,1269.089926131117,524.5792797783931,5.515661742074478,5.2598107109879955,31.333830409356725,35.926114188981224,11.941840566328102,22.03720991074177,-0.06377808556478919,-0.4491582025238534,7.9827146814404415,-1.3472837796245,-0.09826254232071396,0.7910972606955988,-0.057740843336411274,0.15598445675592454,0.31835333948907363,-0.04240227762388428,66.27033856571252,10.27291320406279,35.72813019390583,45.23405971068022,-14.513325638658035,-5.078120960295475,66.3002216066482,-4.201068020929516,-2.0434133579562945,-2.149649122807017,41.93642967066788,117.98493228685737,15.450701754385975,-2.7382086795937215,-2.4416574330563248,-0.5145121575869507,-1.7307171437365343,38.969793782702354,-11.936920590951061,2.1746383502616196,1.4191705140043087,1.454076638965836,0.8002616189596795,-0.07969990766389651,0.8980455524776852,3.629235149276701,0.757879347491536,0.9851892890120038,2.8609910741766704,4.004495229301324,0.1048245614035088,0.23106955986457373,0.9166097260695598,0.7345183133271774,-0.02081717451523546,0.006712834718374888,0.015892582333025554,-0.00917974761465066,0.0,001,t-00001,t-00006,r-00007,2,3,12,16,5,7,8,3,15,12,4,1,0,0,1.8,1.6,1.0,0.0,3
m-00386,0.2860541705140044,-0.010413973530316964,0.27564019698368747,0.2837534626038781,0.002300707910126199,-0.03286857494613727,-0.11036011080332395,0.00757463835026162,0.3020555555555556,0.32638457987072944,0.010981378885811105,1.1781086488150205,-1.5260541705139996,-584.1373237919357,-344.2463604185902,-6.944248999692196,-5.253068636503521,-9.019278239458288,-8.100036934441363,-5.184441366574323,-14.30131271160357,0.008852570021545186,-0.08298399507540744,-4.079584487534625,0.8639442905509391,0.10138042474607584,1.3196383502616198,0.7101908279470607,-0.18026192674669106,0.0011049553708834259,0.002300707910126199,-17.03261003385657,-5.920310864881499,-3.85234995383194,-16.42571868267158,2.9736472760849573,4.483796552785472,-17.00933518005538,1.2632548476454306,0.8554816866728231,0.40757617728531886,-9.62747152970141,-18.01177131425041,-26.121155740227763,0.4764973838104041,1.2613404124345955,0.7948507232994773,1.618376423514928,-9.220512465373936,4.930441674361344,0.31019698368728865,-0.09152970144659878,0.19129578331794417,0.06962603878116358,0.0492751615881811,0.04844413665743341,0.7402785472453073,0.4336549707602342,-0.05138965835641773,1.217982456140351,3.7251815943367186,-0.05727916281932899,-0.3813804247460758,-1.16992459218221,-0.7815604801477376,-0.09514158202523851,0.013705755617112965,0.06283317943982764,-0.03333795013850416,-0.015789473684210523,001,t-00001,t-00007,r-00007,2,0,9,9,5,6,5,9,17,12,2,1,0,0,2.0,1.6,-0.4,0.6,9
m-00387,0.2632702369959987,0.5891628193290243,0.8524330563250229,0.279092028316405,-0.015821791320406283,-0.017337642351492762,0.41376885195444746,0.02841335795629424,0.36541428131732834,0.3796651277316097,0.5864936903662664,10.143584179747615,25.687291474299784,3595.2421852877806,1201.9824823022468,93.56700215450908,105.26737303785781,89.17532471529701,104.4962003693444,19.43506925207756,33.56510618651893,0.6325349338257925,5.4597907048322565,18.5196675900277,5.534866112650046,0.7817697753154818,5.481660510926439,1.5808017851646656,2.4241292705447823,0.5275546321945213,-0.015821791320406283,305.2151969836873,24.51090489381348,82.88592028316404,136.0224192059095,88.5267189904586,10.382991689750693,305.2325346260388,6.247246845183133,3.7805140043090186,2.45872730070791,180.66537088334871,935.6999107417666,481.72090027700824,8.880201600492457,2.1349907663896586,5.573110187750076,4.184755309325946,207.66319482917817,22.184716835949523,6.310615574022775,4.275558633425669,3.8435472453062483,1.717971683594952,0.7490966451215759,2.144935364727609,5.2673222530009225,1.4652031394275162,2.3563558017851642,4.082571560480147,13.568117882425362,0.36939981532779315,0.5285918744228995,1.7108510310864884,1.1684672206832878,0.09497845490920287,0.08820252385349339,0.09720067713142505,-0.008998153277931669,0.0,001,t-00001,t-00008,r-00016,1,0,14,6,2,0,7,1,13,20,5,4,0,0,1.0,1.6,-0.6,-1.0,7
m-00388,0.006111111111110911,0.45363188673437976,0.4597429978454908,0.052811634349030356,-0.04670052323791936,-0.053770390889504464,0.3435349338257925,-0.03309018159433671,0.03308064019698363,0.0757282240689443,0.3979586026469682,3.981204986149585,11.885183133271775,1899.3958818097876,715.8897891658972,46.30345029239766,49.55600646352725,47.2115543244075,50.49730224684517,10.856429670667898,17.290891043397966,0.32948953524161273,1.6264589104339795,6.610686365035393,3.428528778085565,0.44868574946137274,0.7987426900584789,0.2576069559864572,0.35586718990458605,0.12844721452754693,-0.04670052323791936,129.14364881502,23.117382271468145,42.1052216066482,46.928231763619564,40.42968759618344,5.31863188673438,129.1974192059095,1.2619713758079405,1.2989627577716223,-0.011285010772545512,85.73242228377963,430.81076946752836,248.7962834718375,2.609075100030778,0.7474776854416745,0.899010464758387,1.4884102800861807,101.2240058479532,12.214512157586947,1.2324038165589404,1.017231455832564,0.7255955678670365,0.1393998153277934,0.36740843336411205,0.9422253000923364,1.6420975684826111,0.17433979686057266,-0.12036011080332376,0.7738457987072944,0.06025392428439602,0.2627223761157279,0.9049353647276085,2.7052785472453063,1.7955309325946445,0.21417974761465067,0.1581194213604186,0.17146660510926437,-0.013347183748845795,0.0,001,t-00001,t-00009,r-00003,3,1,19,8,6,2,6,4,10,10,2,2,0,0,1.2,1.6,-0.4,-0.4,1
m-00389,0.2117882425361651,0.4122483841181901,0.6240366266543553,0.11088180978762713,0.10090643274853803,0.08900123114804555,0.061754385964912215,-0.0034533702677746973,0.25910757156048025,0.18845183133271773,0.43782625423207144,4.0949045860264714,13.982674669128961,977.4255909510624,156.23884272083694,38.20182056017235,44.19773160972607,25.222662357648506,33.939644506001834,1.801605109264388,4.539121268082489,0.39967282240689445,3.356983687288397,10.183233302554633,3.869796860572485,0.749301323484149,1.9963788858110196,0.6013450292397662,1.075303016312711,0.21852416128039395,0.10090643274853803,105.50121421975994,-19.743025546321945,-5.7534826100338705,62.38743767313019,49.6111972914743,4.98571406586642,105.4122129886119,0.5942982456140347,-0.03367651585103126,0.6333902739304406,53.30112650046166,184.24737149892275,103.48099415204676,2.8480840258541082,1.0416743613419515,1.851685133887349,1.2661234225915672,75.44635118497999,15.238005540166206,2.8709541397353036,1.6918174823022463,0.8899384425977221,1.51243459526008,0.4685811018775007,1.1408694983071717,2.775903354878425,0.26711295783317945,1.8992628501077256,1.3081348107109882,4.199669128962756,0.02669128962757772,-0.8169759926131116,-2.3723961218836562,-1.5028408741151127,-0.44318097876269624,-0.08097568482610032,-0.040629424438288694,-0.029819944598337946,-0.010526315789473684,001,t-00001,t-00010,r-00001,1,1,12,13,4,4,5,8,7,7,1,1,0,0,1.6,1.6,0.6,1.2,-4
m-00390,1.0148122499230532,0.16568328716528152,1.1804955370883348,0.9449276700523237,0.06988457987072945,0.09093567251461987,0.09992767005232386,-0.0068636503539550595,0.8804830717143737,0.8046403508771929,0.19765312403816565,6.009698368728839,9.142011388119425,2168.100435518622,915.060835641736,57.74703293321022,59.60002154509081,50.140781779008925,51.33848568790397,12.525672514619886,16.74009233610342,0.11774884579870724,1.222646968297937,9.005355493998158,1.0595136965220067,-0.09062788550323175,3.3495337026777467,1.8092336103416433,1.1589418282548478,-0.39167128347183744,0.06988457987072945,149.99570637119112,32.249304401354266,58.36427823945829,71.94560941828254,20.007285318559543,9.760991074176667,149.9047706986765,2.368830409356726,1.4031332717759308,0.9644890735610961,109.05137426900586,630.0556586642044,403.85533548784247,3.5149522930132364,2.1552339181286553,1.9991859033548791,1.0268190212373045,122.88432594644507,8.440187750076948,0.3340735610957217,-0.10621268082486846,0.11950600184672244,0.25913973530317075,-0.04457217605417066,0.03615727916281919,0.07302246845183236,0.20976454293628807,0.7790781779008926,1.101722068328716,3.0714512157586946,0.11395967990150815,0.9098568790397046,2.5679178208679594,1.621271160357033,0.5322945521698984,0.09467836257309942,0.05115574022776238,0.04352262234533702,0.0,001,t-00001,t-00011,r-00014,0,2,9,17,3,8,2,9,11,14,2,2,0,0,2.0,1.6,2.0,0.8,-7
