player,position,team,goals,shots,shots_on_target,goals/shots,goals/shots_on_target,average_shot_distance,shots_from_free_kicks,shots_from_penalties,non_penalty_expected_goals/shots,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
Claudio Bravo,GK,Manchester City,0,0,,,,0,0,0,,0,0
Jarrad Branthwaite,DF,Everton,0,0,,,,0,0,0,,0,0
Robbie Brady,MF,Burnley,12,1,0.08,1,15.8,2,0,0,0.09,-0.1,-0.1
Jarrod Bowen,"FW,MF",West Ham,24,7,0.04,0.14,18,0,0,0,0.09,-1.3,-1.3
Sofiane Boufal,"MF,FW",Southampton,18,7,0,0,21.3,0,0,0,0.06,-1,-1
Gaëtan Bong,"DF,MF",Brighton,0,0,,,,0,0,0,,0,0
Willy Boly,DF,Wolves,5,3,0,0,11.6,0,0,0,0.09,-0.4,-0.4
Yves Bissouma,MF,Brighton,16,7,0.06,0.14,28.1,0,0,0,0.03,0.6,0.6
Philip Billing,MF,Bournemouth,33,8,0.03,0.13,20.7,1,0,0,0.06,-1,-1
Muhamed Bešić,MF,Sheffield Utd,4,2,0,0,20.9,0,0,0,0.04,-0.2,-0.2
Ryan Bertrand,DF,Southampton,18,3,0.06,0.33,19.4,1,0,0,0.1,-0.7,-0.7
Bernardo,"DF,MF",Brighton,7,2,0,0,17.6,0,0,0,0.07,-0.5,-0.5
Bernard,"MF,FW",Everton,12,5,0.25,0.6,16.6,1,0,0,0.15,1.2,1.2
Steven Bergwijn,"FW,MF",Tottenham,9,4,0.33,0.75,15.1,0,0,0,0.12,2,2
Sander Berge,MF,Sheffield Utd,5,2,0.2,0.5,13.5,0,0,0,0.12,0.4,0.4
Jóhann Berg Guðmundsson,MF,Burnley,10,2,0.1,0.5,15.5,2,0,0,0.06,0.4,0.4
Christian Benteke,FW,Crystal Palace,41,19,0.05,0.11,13.2,0,0,0,0.12,-3.1,-3.1
Nabil Bentaleb,MF,Newcastle Utd,4,0,0,,29.5,0,0,0,0.03,-0.1,-0.1
Ryan Bennett,DF,Leicester City,0,0,,,,0,0,0,,0,0
Ryan Bennett,DF,Wolves,1,0,0,,10.8,0,0,0,0.05,-0.1,-0.1
Héctor Bellerín,"DF,MF",Arsenal,7,2,0.14,0.5,16.9,0,0,0,0.05,0.6,0.6
Jan Bednarek,DF,Southampton,7,1,0.14,1,7.8,0,0,0,0.16,-0.1,-0.1
Michy Batshuayi,FW,Chelsea,15,2,0.07,0.5,13.8,0,0,0,0.16,-1.4,-1.4
Borja Bastón,"MF,FW",Aston Villa,0,0,,,,0,0,0,,0,0
Chris Basham,DF,Sheffield Utd,6,0,0,,13.5,0,0,0,0.05,-0.3,-0.3
Harvey Barnes,"MF,FW",Leicester City,61,28,0.1,0.21,16.7,0,0,0,0.13,-2.1,-2.1
Ashley Barnes,FW,Burnley,39,11,0.13,0.45,15.9,0,1,1,0.14,-0.2,-0.4
Ross Barkley,MF,Chelsea,40,12,0.03,0.08,22.4,5,0,0,0.07,-1.7,-1.7
Phil Bardsley,DF,Burnley,11,4,0,0,25.4,0,0,0,0.03,-0.3,-0.3
George Baldock,DF,Sheffield Utd,13,4,0.15,0.5,16.9,0,0,0,0.05,1.4,1.4
Fabián Balbuena,DF,West Ham,10,4,0.1,0.25,8.9,0,0,0,0.15,-0.5,-0.5
Leighton Baines,DF,Everton,1,0,0,,31,1,0,0,0.05,-0.1,-0.1
Eric Bailly,DF,Manchester Utd,0,0,,,,0,0,0,,0,0
César Azpilicueta,DF,Chelsea,29,6,0.07,0.33,13.8,0,0,0,0.08,-0.4,-0.4
Jordan Ayew,FW,Crystal Palace,58,24,0.16,0.38,14.8,0,0,0,0.13,1.5,1.5
Serge Aurier,DF,Tottenham,13,4,0.08,0.25,19.1,0,0,0,0.04,0.5,0.5
Pierre-Emerick Aubameyang,FW,Arsenal,91,40,0.22,0.5,15.5,2,2,2,0.14,7.3,6.8
Christian Atsu,"MF,FW",Newcastle Utd,5,1,0,0,19.1,0,0,0,0.04,-0.2,-0.2
Kepa Arrizabalaga,GK,Chelsea,0,0,,,,0,0,0,,0,0
Stuart Armstrong,MF,Southampton,46,20,0.11,0.25,21.2,0,0,0,0.06,2.2,2.2
