player,position,team,goals,shots,shots_on_target,goals/shots,goals/shots_on_target,average_shot_distance,shots_from_free_kicks,shots_from_penalties,non_penalty_expected_goals/shots,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
Callum Robinson,"FW,MF",Sheffield Utd,12,4,0.08,0.25,14.9,0,0,0,0.13,-0.6,-0.6
Andrew Robertson,DF,Liverpool,22,6,0.09,0.33,18.6,0,0,0,0.08,0.2,0.2
Patrick Roberts,"FW,MF",Norwich City,0,0,,,,0,0,0,,0,0
Roberto,GK,West Ham,0,0,,,,0,0,0,,0,0
Matt Ritchie,"DF,MF",Newcastle Utd,25,7,0.08,0.29,24.4,1,0,1,0.04,0.3,1.1
Jaïro Riedewald,"DF,MF",Crystal Palace,3,0,0,,27.9,0,0,0,0.03,-0.1,-0.1
Diego Rico,DF,Bournemouth,11,3,0,0,26.3,1,0,0,0.04,-0.4,-0.4
Richarlison,"FW,MF",Everton,90,32,0.14,0.41,14.8,0,0,0,0.1,3.9,3.9
Declan Rice,MF,West Ham,31,9,0.03,0.11,23.7,0,0,0,0.04,-0.3,-0.3
Pepe Reina,GK,Aston Villa,0,0,,,,0,0,0,,0,0
Nathan Redmond,"MF,FW",Southampton,59,21,0.07,0.19,18.9,2,0,0,0.09,-1.1,-1.1
Marcus Rashford,FW,Manchester Utd,87,37,0.13,0.3,19.7,16,6,8,0.15,-2.2,-1.9
Darren Randolph,GK,West Ham,0,0,,,,0,0,0,,0,0
Aaron Ramsdale,GK,Bournemouth,0,0,,,,0,0,0,,0,0
Domingos Quina,"MF,FW",Watford,1,1,0,0,27.3,0,0,0,0.03,0,0
Ignacio Pussetto,"FW,MF",Watford,0,0,,,,0,0,0,,0,0
Christian Pulisic,FW,Chelsea,63,25,0.14,0.36,13.4,0,0,0,0.14,0,0
Teemu Pukki,FW,Norwich City,78,33,0.12,0.27,15.5,0,2,2,0.12,-0.2,-0.7
Davy Pröpper,MF,Brighton,29,8,0.03,0.13,21.4,0,0,0,0.06,-0.6,-0.6
Sebastian Prödl,DF,Watford,2,0,0,,10.7,0,0,0,0.05,-0.1,-0.1
Dennis Praet,MF,Leicester City,16,3,0.06,0.33,18.6,0,0,0,0.06,0.1,0.1
Nick Pope,GK,Burnley,0,0,,,,0,0,0,,0,0
Paul Pogba,MF,Manchester Utd,21,7,0.05,0.14,22.5,2,0,1,0.08,-1.4,-0.6
Daniel Podence,"FW,MF",Wolves,10,3,0.1,0.33,14,0,0,0,0.12,-0.2,-0.2
Erik Pieters,"DF,MF",Burnley,14,3,0,0,22.1,0,0,0,0.04,-0.5,-0.5
Brandon Pierrick,"MF,FW",Crystal Palace,0,0,,,,0,0,0,,0,0
Jordan Pickford,GK,Everton,0,0,,,,0,0,0,,0,0
Ayoze Pérez,"MF,FW",Leicester City,46,21,0.15,0.33,14.5,0,1,1,0.13,1.5,1.3
Roberto Pereyra,"FW,MF",Watford,20,8,0.1,0.25,19.1,4,1,1,0.12,-0.1,-0.3
Ricardo Pereira,DF,Leicester City,18,5,0.17,0.6,18.4,0,0,0,0.06,1.8,1.8
Andreas Pereira,"MF,FW",Manchester Utd,37,14,0.03,0.07,22.9,3,0,0,0.06,-1.3,-1.3
Nicolas Pépé,FW,Arsenal,49,17,0.08,0.24,20,7,1,1,0.08,0.1,-0.1
Pedro,"FW,MF",Chelsea,22,10,0.05,0.1,15.8,0,0,0,0.09,-1,-1
Rui Patrício,GK,Wolves,0,0,,,,0,0,0,,0,0
Troy Parrott,FW,Tottenham,0,0,,,,0,0,0,,0,0
Sokratis Papastathopoulos,DF,Arsenal,7,2,0.29,1,9.9,0,0,0,0.15,0.9,0.9
Emerson Palmieri,DF,Chelsea,13,7,0,0,19.2,1,0,0,0.09,-1.1,-1.1
Mesut Özil,MF,Arsenal,9,3,0.11,0.33,14.2,0,0,0,0.16,-0.4,-0.4
Alex Oxlade-Chamberlain,"MF,FW",Liverpool,40,10,0.1,0.4,22.5,0,0,0,0.07,1.2,1.2
Nicolás Otamendi,DF,Manchester City,15,7,0.13,0.29,8.4,0,0,0,0.13,0.1,0.1
Ben Osborn,"MF,DF",Sheffield Utd,3,1,0,0,13.8,0,0,0,0.08,-0.3,-0.3
Divock Origi,FW,Liverpool,14,6,0.29,0.67,15.7,0,0,0,0.13,2.2,2.2
Angelo Ogbonna,DF,West Ham,13,4,0.15,0.5,11,0,0,0,0.14,0.2,0.2
Michael Obafemi,FW,Southampton,12,5,0.25,0.6,14.4,0,0,0,0.15,1.2,1.2
Jack O'Connell,DF,Sheffield Utd,14,2,0,0,10.9,0,0,0,0.07,-1,-1
Ørjan Nyland,GK,Aston Villa,0,0,,,,0,0,0,,0,0
Oliver Norwood,MF,Sheffield Utd,16,5,0,0,27.8,4,1,1,0.04,-0.5,-0.7
Mark Noble,MF,West Ham,14,3,0.07,0.33,25.8,0,3,3,0.04,1.1,0.4
Eddie Nketiah,FW,Arsenal,15,5,0.13,0.4,12.2,0,0,0,0.21,-1.1,-1.1
Oumar Niasse,FW,Everton,0,0,,,,0,0,0,,0,0
Jeremy Ngakia,DF,West Ham,1,1,0,0,33.2,0,0,0,0.02,0,0
Rúben Neves,MF,Wolves,61,10,0.03,0.2,28,7,0,0,0.03,0,0
Pedro Neto,"FW,MF",Wolves,17,6,0.18,0.5,16.9,0,0,0,0.13,0.8,0.8
Reiss Nelson,FW,Arsenal,11,4,0.09,0.25,17.4,0,0,0,0.08,0.1,0.1
Tanguy Ndombele,MF,Tottenham,9,4,0.22,0.5,25.6,0,0,0,0.04,1.6,1.6
Wilfred Ndidi,MF,Leicester City,26,3,0.08,0.67,19.2,0,0,0,0.06,0.4,0.4
Marvelous Nakamba,MF,Aston Villa,7,1,0,0,29.6,0,0,0,0.02,-0.2,-0.2
Georges-Kévin N'Koudou,FW,Tottenham,1,0,0,,17.7,0,0,0,0.04,0,0
Yoshinori Mutō,"MF,FW",Newcastle Utd,1,0,0,,10,0,0,0,0.08,-0.1,-0.1
Shkodran Mustafi,DF,Arsenal,11,3,0,0,9.4,0,0,0,0.08,-0.9,-0.9
Glenn Murray,FW,Brighton,18,5,0.06,0.2,13.9,0,0,0,0.13,-1.4,-1.4
João Moutinho,MF,Wolves,22,6,0.05,0.17,25,4,0,0,0.04,0.1,0.1
Lys Mousset,FW,Sheffield Utd,37,9,0.16,0.67,16.2,0,0,0,0.15,0.5,0.5
Lucas Moura,"FW,MF",Tottenham,56,14,0.07,0.29,17.5,0,0,0,0.1,-1.6,-1.6
Mason Mount,"MF,FW",Chelsea,78,29,0.09,0.24,20.6,12,0,0,0.08,0.6,0.6
Ravel Morrison,MF,Sheffield Utd,1,0,0,,12.9,0,0,0,0.05,0,0
Wes Morgan,DF,Leicester City,4,2,0,0,10,0,0,0,0.14,-0.5,-0.5
Wesley Moraes,FW,Aston Villa,34,17,0.15,0.29,12.6,0,0,1,0.16,-1.4,-0.5
Aaron Mooy,"MF,FW",Brighton,33,8,0.06,0.25,20.9,0,0,0,0.07,-0.3,-0.3
Simon Moore,GK,Sheffield Utd,0,0,,,,0,0,0,,0,0
Martín Montoya,"DF,MF",Brighton,8,3,0,0,16.1,0,0,0,0.18,-1.5,-1.5
Nacho Monreal,DF,Arsenal,1,0,0,,9.8,0,0,0,0.04,0,0
Henrikh Mkhitaryan,FW,Arsenal,2,0,0,,13.5,0,0,0,0.16,-0.3,-0.3
Tyrick Mitchell,DF,Crystal Palace,0,0,,,,0,0,0,,0,0
Tyrone Mings,DF,Aston Villa,8,3,0.25,0.67,9.9,0,0,0,0.1,1.2,1.2
Takumi Minamino,"FW,MF",Liverpool,8,2,0,0,19.5,0,0,0,0.1,-0.8,-0.8
Yerry Mina,DF,Everton,29,11,0.07,0.18,10.7,0,0,0,0.12,-1.4,-1.4
James Milner,"MF,DF",Liverpool,10,2,0,0,24.5,0,2,2,0.06,-0.2,-0.6
Luka Milivojević,MF,Crystal Palace,29,7,0.03,0.14,28.4,11,2,2,0.04,0.3,-0.2
Max Meyer,"MF,FW",Crystal Palace,9,2,0,0,17.8,0,0,0,0.06,-0.5,-0.5
Chris Mepham,DF,Bournemouth,7,2,0.14,0.5,10.5,0,0,0,0.13,0.1,0.1
Nampalys Mendy,MF,Leicester City,1,1,0,0,28.9,0,0,0,0.03,0,0
Benjamin Mendy,DF,Manchester City,10,1,0,0,22.5,0,0,0,0.04,-0.4,-0.4
Ben Mee,DF,Burnley,17,6,0.06,0.17,9,0,0,0,0.1,-0.7,-0.7
Scott McTominay,MF,Manchester Utd,29,10,0.14,0.4,20.9,0,0,0,0.08,1.8,1.8
Dwight McNeil,MF,Burnley,48,14,0.04,0.14,24,10,0,0,0.05,-0.3,-0.3
Kenny McLean,MF,Norwich City,30,10,0.03,0.1,21.6,2,0,0,0.05,-0.4,-0.4
Michael McGovern,GK,Norwich City,0,0,,,,0,0,0,,0,0
David McGoldrick,FW,Sheffield Utd,46,20,0.04,0.1,14.5,0,0,0,0.17,-6,-6
John McGinn,MF,Aston Villa,55,20,0.05,0.15,21.3,1,0,0,0.07,-0.9,-0.9
James McCarthy,MF,Crystal Palace,12,3,0,0,22.2,0,0,0,0.04,-0.5,-0.5
Alex McCarthy,GK,Southampton,0,0,,,,0,0,0,,0,0
Oliver McBurnie,FW,Sheffield Utd,50,24,0.12,0.25,10.3,0,0,0,0.15,-1.7,-1.7
James McArthur,MF,Crystal Palace,28,6,0,0,18.5,0,0,0,0.07,-2,-2
Neal Maupay,FW,Brighton,94,36,0.1,0.25,15.5,0,1,2,0.13,-3.4,-2.8
Joël Matip,DF,Liverpool,4,1,0.25,1,10.2,0,0,0,0.09,0.7,0.7
Nemanja Matić,MF,Manchester Utd,7,2,0,0,26.2,0,0,0,0.03,-0.2,-0.2
Juan Mata,"MF,FW",Manchester Utd,10,2,0,0,18.5,2,0,0,0.11,-1.1,-1.1
Arthur Masuaku,DF,West Ham,5,2,0,0,27.7,0,0,0,0.02,-0.1,-0.1
Adam Masina,DF,Watford,15,3,0.07,0.33,21.1,1,0,0,0.06,0.1,0.1
Emiliano Martínez,GK,Arsenal,0,0,,,,0,0,0,,0,0
Gabriel Martinelli,FW,Arsenal,12,5,0.25,0.6,12.9,0,0,0,0.18,0.8,0.8
Josh Martin,"FW,MF",Norwich City,1,1,0,0,13,0,0,0,0.08,-0.1,-0.1
David Martin,GK,West Ham,0,0,,,,0,0,0,,0,0
Anthony Martial,FW,Manchester Utd,79,38,0.22,0.45,16.5,0,0,1,0.14,4.9,5.7
Adrian Mariappa,DF,Watford,3,0,0,,11.1,0,0,0,0.08,-0.2,-0.2
Pablo Marí,DF,Arsenal,0,0,,,,0,0,0,,0,0
Solly March,"FW,MF",Brighton,21,8,0,0,18.5,1,0,0,0.07,-1.4,-1.4
Javier Manquillo,DF,Newcastle Utd,1,0,0,,11.8,0,0,0,0.04,0,0
Sadio Mané,FW,Liverpool,77,36,0.23,0.5,13.5,0,0,0,0.18,4.8,4.8
Ainsley Maitland-Niles,DF,Arsenal,4,1,0,0,18,0,0,0,0.11,-0.4,-0.4
Riyad Mahrez,"FW,MF",Manchester City,73,30,0.14,0.33,17,6,1,1,0.1,3.2,3
Harry Maguire,DF,Manchester Utd,31,8,0.03,0.13,12.7,0,0,0,0.07,-1.1,-1.1
James Maddison,MF,Leicester City,74,18,0.08,0.33,22,14,0,0,0.07,0.7,0.7
Alexis Mac Allister,"MF,FW",Brighton,7,1,0,0,22.5,1,0,0,0.07,-0.5,-0.5
John Lundstram,MF,Sheffield Utd,43,10,0.12,0.5,17.6,0,0,0,0.12,-0.3,-0.3
Douglas Luiz,MF,Aston Villa,38,12,0.08,0.25,24,3,0,0,0.07,0.4,0.4
David Luiz,DF,Arsenal,23,8,0.09,0.25,20.4,7,0,0,0.07,0.4,0.4
Matthew Lowton,DF,Burnley,1,0,0,,24.4,0,0,0,0.03,0,0
Dejan Lovren,DF,Liverpool,5,1,0,0,8.6,0,0,0,0.08,-0.4,-0.4
Sean Longstaff,MF,Newcastle Utd,25,7,0.04,0.14,24.8,3,0,0,0.05,-0.4,-0.4
Matthew Longstaff,MF,Newcastle Utd,4,2,0.5,1,20.4,0,0,0,0.07,1.7,1.7
Shane Long,FW,Southampton,33,13,0.06,0.15,11.3,0,0,0,0.15,-2.8,-2.8
Kevin Long,DF,Burnley,2,0,0,,11.9,0,0,0,0.09,-0.2,-0.2
Ruben Loftus-Cheek,"MF,FW",Chelsea,4,0,0,,9.6,0,0,0,0.12,-0.5,-0.5
Jürgen Locadia,"FW,MF",Brighton,2,1,0,0,9.9,0,0,0,0.13,-0.3,-0.3
Giovani Lo Celso,"MF,FW",Tottenham,18,3,0,0,22,1,0,0,0.07,-1.3,-1.3
Hugo Lloris,GK,Tottenham,0,0,,,,0,0,0,,0,0
Jesse Lingard,"MF,FW",Manchester Utd,22,6,0.05,0.17,18.7,0,0,0,0.09,-0.9,-0.9
Victor Lindelöf,DF,Manchester Utd,6,1,0.17,1,11.4,0,0,0,0.06,0.7,0.7
Jamal Lewis,DF,Norwich City,9,4,0.11,0.25,21.8,0,0,0,0.04,0.6,0.6
Jefferson Lerma,MF,Bournemouth,30,2,0.03,0.5,24.3,0,0,0,0.04,-0.2,-0.2
Bernd Leno,GK,Arsenal,0,0,,,,0,0,0,,0,0
Aaron Lennon,MF,Burnley,1,0,0,,14.7,0,0,0,0.04,0,0
Florian Lejeune,DF,Newcastle Utd,4,3,0.5,0.67,14.4,0,0,0,0.3,0.8,0.8
Moritz Leitner,MF,Norwich City,8,0,0,,23.1,0,0,0,0.04,-0.3,-0.3
Valentino Lazaro,"DF,MF",Newcastle Utd,4,1,0.25,1,21.9,0,0,0,0.1,0.6,0.6
Jamaal Lascelles,DF,Newcastle Utd,9,2,0.11,0.5,12.9,0,0,0,0.06,0.5,0.5
Aymeric Laporte,DF,Manchester City,4,2,0.25,0.5,16.3,0,0,0,0.13,0.5,0.5
Manuel Lanzini,"MF,FW",West Ham,23,7,0,0,19,3,0,0,0.09,-2.2,-2.2
Henri Lansbury,MF,Aston Villa,2,0,0,,21,0,0,0,0.04,-0.1,-0.1
Tariq Lamptey,DF,Brighton,2,0,0,,25.3,0,0,0,0.03,-0.1,-0.1
Tariq Lamptey,DF,Chelsea,0,0,,,,0,0,0,,0,0
Érik Lamela,"MF,FW",Tottenham,29,8,0.07,0.25,19.5,4,0,0,0.11,-0.9,-0.9
Adam Lallana,"MF,FW",Liverpool,5,1,0.2,1,16.3,0,0,0,0.15,0.2,0.2
Alexandre Lacazette,FW,Arsenal,52,26,0.19,0.38,12.6,3,0,0,0.17,1.9,1.9
Tim Krul,GK,Norwich City,0,0,,,,0,0,0,,0,0
Emil Krafth,DF,Newcastle Utd,4,0,0,,13.5,0,0,0,0.08,-0.3,-0.3
Mateo Kovačić,MF,Chelsea,21,5,0.05,0.2,20.3,0,0,0,0.04,0.1,0.1
Cheikhou Kouyaté,"MF,DF",Crystal Palace,24,4,0.04,0.25,12,0,0,0,0.11,-1.7,-1.7
Ezri Konsa,DF,Aston Villa,11,4,0.09,0.25,13,0,0,0,0.13,-0.5,-0.5
Sead Kolašinac,DF,Arsenal,4,0,0,,12.2,0,0,0,0.1,-0.4,-0.4
Jonathan Kodjia,FW,Aston Villa,2,0,0,,19.5,0,0,0,0.06,-0.1,-0.1
Timm Klose,DF,Norwich City,3,0,0,,12.2,0,0,0,0.07,-0.2,-0.2
Joshua King,"FW,MF",Bournemouth,23,10,0.13,0.3,14.4,0,3,3,0.18,-0.5,-1.1
Max Kilman,DF,Wolves,0,0,,,,0,0,0,,0,0
Martin Kelly,DF,Crystal Palace,2,0,0,,20.4,0,0,0,0.03,-0.1,-0.1
Lloyd Kelly,DF,Bournemouth,1,0,0,,21.6,0,0,0,0.03,0,0
Naby Keïta,MF,Liverpool,12,7,0.17,0.29,19.3,0,0,0,0.14,0.4,0.4
Michael Keane,DF,Everton,14,4,0.14,0.5,7.8,0,0,0,0.13,0.1,0.1
Moise Kean,FW,Everton,30,13,0.07,0.15,16.1,0,0,0,0.13,-2,-2
N'Golo Kanté,MF,Chelsea,18,6,0.17,0.5,21.2,0,0,0,0.08,1.6,1.6
Harry Kane,FW,Tottenham,79,35,0.2,0.46,19.2,7,2,2,0.14,5.5,5.1
Christian Kabasele,DF,Watford,9,1,0,0,10.4,0,0,0,0.1,-0.9,-0.9
James Justin,"DF,MF",Leicester City,7,0,0,,20.2,0,0,0,0.04,-0.3,-0.3
Diogo Jota,FW,Wolves,69,26,0.1,0.27,14.2,0,0,0,0.17,-4.5,-4.5
Jota,"FW,MF",Aston Villa,6,1,0,0,18.9,0,0,0,0.05,-0.3,-0.3
Jorginho,MF,Chelsea,9,1,0.11,1,24.7,0,3,3,0.1,0.8,0.1
Bruno Jordão,FW,Wolves,0,0,,,,0,0,0,,0,0
Phil Jones,DF,Manchester Utd,2,1,0,0,10.5,0,0,0,0.07,-0.1,-0.1
Curtis Jones,MF,Liverpool,6,2,0.17,0.5,17.4,0,0,0,0.07,0.6,0.6
Ben Johnson,DF,West Ham,1,0,0,,28.8,0,0,0,0.01,0,0
Joelinton,FW,Newcastle Utd,50,15,0.04,0.13,14.9,0,0,0,0.11,-3.5,-3.5
João Pedro,"FW,MF",Watford,1,0,0,,17.3,0,0,0,0.05,0,0
Raúl Jiménez,FW,Wolves,114,39,0.11,0.33,15.4,0,4,4,0.12,0.4,-0.4
Gabriel Jesus,FW,Manchester City,100,45,0.14,0.31,11.6,0,0,1,0.18,-4.2,-3.4
Daryl Janmaat,DF,Watford,4,0,0,,17.6,0,0,0,0.07,-0.3,-0.3
Reece James,DF,Chelsea,18,3,0,0,20.7,0,0,0,0.04,-0.8,-0.8
Matty James,MF,Leicester City,0,0,,,,0,0,0,,0,0
Daniel James,FW,Manchester Utd,42,20,0.07,0.15,17.3,0,0,0,0.07,-0.1,-0.1
Alireza Jahanbakhsh,"FW,MF",Brighton,12,2,0.17,1,19.2,0,0,0,0.05,1.4,1.4
Phil Jagielka,DF,Sheffield Utd,0,0,,,,0,0,0,,0,0
Alex Iwobi,"MF,FW",Everton,23,10,0.04,0.1,17.3,0,0,0,0.11,-1.5,-1.5
Danny Ings,FW,Southampton,91,35,0.23,0.6,13.9,0,1,2,0.16,5.8,6.3
Kelechi Iheanacho,FW,Leicester City,36,20,0.14,0.25,15.4,0,0,0,0.17,-1,-1
Odion Ighalo,FW,Manchester Utd,7,3,0,0,11.7,0,0,0,0.27,-1.9,-1.9
Adam Idah,"FW,MF",Norwich City,6,2,0,0,17.5,0,0,0,0.17,-1,-1
Jordon Ibe,DF,Bournemouth,0,0,,,,0,0,0,,0,0
Pierre Højbjerg,MF,Southampton,46,11,0,0,22,0,0,0,0.07,-3.2,-3.2
Will Hughes,MF,Watford,27,3,0.04,0.33,19.3,0,0,0,0.08,-1.3,-1.3
Callum Hudson-Odoi,"FW,MF",Chelsea,21,4,0.05,0.25,18.3,0,0,0,0.09,-0.9,-0.9
Conor Hourihane,MF,Aston Villa,29,10,0.1,0.3,21.4,6,0,0,0.06,1.3,1.3
Nathan Holland,MF,West Ham,1,1,0,0,28.7,0,0,0,0.02,0,0
Mason Holgate,DF,Everton,11,5,0,0,15,0,0,0,0.16,-1.7,-1.7
José Holebas,DF,Watford,6,3,0,0,19.8,1,0,0,0.06,-0.3,-0.3
Rob Holding,DF,Arsenal,2,0,0,,6.3,0,0,0,0.11,-0.2,-0.2
George Hirst,"MF,DF",Leicester City,3,1,0,0,13.4,0,0,0,0.05,-0.1,-0.1
Son Heung-min,FW,Tottenham,80,37,0.14,0.3,17.2,1,0,1,0.1,2.1,3
Onel Hernández,"FW,MF",Norwich City,29,8,0.03,0.13,18.2,0,0,0,0.08,-1.2,-1.2
Javier Hernández,FW,West Ham,3,2,0.33,0.5,17.3,1,0,0,0.33,0,0
Wayne Hennessey,GK,Crystal Palace,0,0,,,,0,0,0,,0,0
Jeff Hendrick,MF,Burnley,22,6,0.09,0.33,18.9,1,0,0,0.08,0.3,0.3
Jordan Henderson,MF,Liverpool,20,8,0.2,0.5,19.2,1,0,0,0.05,2.9,2.9
Dean Henderson,GK,Sheffield Utd,1,0,0,,9.5,0,0,0,0.06,-0.1,-0.1
Tom Heaton,GK,Aston Villa,0,0,,,,0,0,0,,0,0
Isaac Hayden,MF,Newcastle Utd,18,3,0.06,0.33,20.9,0,0,0,0.07,-0.2,-0.2
Kortney Hause,DF,Aston Villa,20,3,0.05,0.33,8.3,0,0,0,0.13,-1.5,-1.5
Grant Hanley,DF,Norwich City,8,2,0,0,10.3,0,0,0,0.08,-0.6,-0.6
Sébastien Haller,FW,West Ham,56,26,0.13,0.27,11.4,0,0,0,0.14,-1,-1
Angus Gunn,GK,Southampton,0,0,,,,0,0,0,,0,0
İlkay Gündoğan,MF,Manchester City,31,6,0.03,0.17,21.5,2,1,2,0.08,-2,-1.4
Frederic Guilbert,"DF,MF",Aston Villa,8,3,0,0,21.8,0,0,0,0.04,-0.3,-0.3
Mattéo Guendouzi,MF,Arsenal,11,5,0,0,22.2,0,0,0,0.07,-0.8,-0.8
Vicente Guaita,GK,Crystal Palace,0,0,,,,0,0,0,,0,0
Pascal Groß,"MF,FW",Brighton,29,9,0.07,0.22,22.6,4,0,0,0.06,0.4,0.4
Mason Greenwood,FW,Manchester Utd,39,20,0.26,0.5,17,0,0,0,0.07,7.1,7.1
Jack Grealish,"FW,MF",Aston Villa,72,23,0.11,0.35,18.5,1,0,1,0.08,1.2,2
Demarai Gray,"MF,FW",Leicester City,22,7,0.09,0.29,19.8,3,0,1,0.09,-0.8,0
Andre Gray,FW,Watford,19,6,0.11,0.33,12.7,0,0,0,0.13,-0.4,-0.4
Dan Gosling,MF,Bournemouth,13,6,0.23,0.5,11.6,0,0,0,0.22,0.1,0.1
Anthony Gordon,"MF,FW",Everton,6,1,0,0,20.8,0,0,0,0.05,-0.3,-0.3
Joe Gomez,DF,Liverpool,1,0,0,,30.4,0,0,0,0.03,0,0
Angel Gomes,MF,Manchester Utd,0,0,,,,0,0,0,,0,0
André Gomes,MF,Everton,5,0,0,,23.5,0,0,0,0.03,-0.2,-0.2
Ben Godfrey,DF,Norwich City,15,6,0,0,18.2,0,0,0,0.05,-0.7,-0.7
Olivier Giroud,FW,Chelsea,39,19,0.21,0.42,11.5,1,0,0,0.19,0.7,0.7
Billy Gilmour,MF,Chelsea,1,0,0,,26.2,0,0,0,0.02,0,0
Morgan Gibbs-White,"MF,FW",Wolves,2,0,0,,14.2,0,0,0,0.05,-0.1,-0.1
Anwar El Ghazi,"FW,MF",Aston Villa,51,19,0.06,0.16,18.9,5,1,1,0.11,-2.2,-2.4
David de Gea,GK,Manchester Utd,0,0,,,,0,0,0,,0,0
Jean-Philippe Gbamin,MF,Everton,0,0,,,,0,0,0,,0,0
Paulo Gazzaniga,GK,Tottenham,0,0,,,,0,0,0,,0,0
Dwight Gayle,FW,Newcastle Utd,23,10,0.17,0.4,11.9,1,0,0,0.19,-0.3,-0.3
James Garner,MF,Manchester Utd,0,0,,,,0,0,0,,0,0
Eric García,DF,Manchester City,2,1,0,0,7.1,0,0,0,0.27,-0.5,-0.5
Christian Fuchs,DF,Leicester City,5,1,0,0,25.8,2,0,0,0.05,-0.2,-0.2
Luke Freeman,MF,Sheffield Utd,3,0,0,,29.5,0,0,0,0.03,-0.1,-0.1
Kieron Freeman,FW,Sheffield Utd,0,0,,,,0,0,0,,0,0
Ryan Fredericks,DF,West Ham,3,0,0,,20.6,0,0,0,0.05,-0.1,-0.1
Fred,MF,Manchester Utd,40,10,0,0,24.5,3,0,0,0.04,-1.7,-1.7
Ryan Fraser,"MF,FW",Bournemouth,27,11,0.04,0.09,17.2,2,0,0,0.14,-2.7,-2.7
Simon Francis,DF,Bournemouth,3,0,0,,12.5,0,0,0,0.05,-0.1,-0.1
Juan Foyth,DF,Tottenham,0,0,,,,0,0,0,,0,0
Dimitri Foulquier,"DF,MF",Watford,0,0,,,,0,0,0,,0,0
Timothy Fosu-Mensah,DF,Manchester Utd,1,0,0,,11.2,0,0,0,0.07,-0.1,-0.1
Ben Foster,GK,Watford,1,1,0,0,10,0,0,0,0.1,-0.1,-0.1
Pablo Fornals,"MF,FW",West Ham,36,11,0.06,0.18,18.1,0,0,0,0.06,-0.3,-0.3
Phil Foden,"FW,MF",Manchester City,34,14,0.15,0.36,16.8,0,0,0,0.1,1.7,1.7
John Fleck,MF,Sheffield Utd,31,11,0.16,0.45,20.1,0,0,0,0.1,1.9,1.9
Roberto Firmino,FW,Liverpool,99,38,0.09,0.24,13.7,0,0,0,0.14,-5,-5
Fernandinho,DF,Manchester City,17,2,0,0,14.9,0,0,0,0.06,-1,-1
Federico Fernández,DF,Newcastle Utd,15,7,0.13,0.29,11.5,0,0,0,0.1,0.6,0.6
Gedson Fernandes,"MF,DF",Tottenham,1,0,0,,26.4,0,0,0,0.03,0,0
Bruno Fernandes,MF,Manchester Utd,40,14,0.1,0.29,24.6,7,4,4,0.08,1.8,1
Kiko Femenía,DF,Watford,5,1,0,0,27.2,0,0,0,0.03,-0.1,-0.1
Akin Famewo,MF,Norwich City,0,0,,,,0,0,0,,0,0
Ralf Fährmann,GK,Norwich City,0,0,,,,0,0,0,,0,0
Fabinho,MF,Liverpool,12,4,0.17,0.5,28.7,2,0,0,0.04,1.6,1.6
Łukasz Fabiański,GK,West Ham,0,0,,,,0,0,0,,0,0
Jonny Evans,DF,Leicester City,23,8,0.04,0.13,8.4,0,0,0,0.16,-2.7,-2.7
Christian Eriksen,"MF,FW",Tottenham,26,9,0.08,0.22,25.1,7,0,0,0.07,0.1,0.1
Björn Engels,DF,Aston Villa,8,1,0.13,1,7.8,0,0,0,0.11,0,0.1
Ahmed Elmohamady,DF,Aston Villa,5,1,0.2,1,11.1,0,0,0,0.05,0.8,0.8
Harvey Elliott,DF,Liverpool,0,0,,,,0,0,0,,0,0
John Egan,DF,Sheffield Utd,27,4,0.07,0.5,9.4,0,0,0,0.1,-0.7,-0.7
Ederson,GK,Manchester City,0,0,,,,0,0,0,,0,0
Lewis Dunk,DF,Brighton,31,10,0.1,0.3,11.8,5,0,0,0.15,-1.5,-1.5
