rank,player,nation,position,team,age,born,ninetys,touches,touches_in_defensive_penalty_area,touches_in_defensive_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty_area,live_ball_touches,take_ons_attempted,take_ons_succeeded,take_on_success_percentage,times_tackled_during_take_on,tackled_during_take_on_percentage,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
18,Felipe Anderson,br BRA,"MF,FW",West Ham,26,1993,16.6,1168,19,143,564,486,56,1168,92,63,68.5,29,31.5,764,5752,3044,106,72,21,48,30,884,132
19,Florin Andone,ro ROU,FW,Brighton,26,1993,0.8,34,2,7,9,18,3,34,7,2,28.6,5,71.4,19,178,93,2,3,1,5,1,17,4
20,Angeliño,es ESP,DF,Manchester City,22,1997,4.7,478,14,89,186,208,11,478,5,4,80,1,20,333,1405,797,21,28,1,6,3,338,70
21,Faustino Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,12,0,0,5,7,3,12,2,1,50,1,50,8,57,25,1,0,1,1,1,8,1
22,Michail Antonio,jm JAM,FW,West Ham,29,1990,19.6,818,11,39,263,532,117,817,103,65,63.1,37,35.9,494,3148,1490,53,42,26,73,45,599,178
23,Stuart Armstrong,sct SCO,MF,Southampton,27,1992,19.1,889,49,149,419,335,42,889,53,30,56.6,23,43.4,470,3237,1472,45,34,8,55,25,544,101
24,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33,1138,970,1132,6,0,0,1138,0,0,,0,,672,3073,1902,0,0,0,1,0,644,0
25,Christian Atsu,gh GHA,"MF,FW",Newcastle Utd,27,1992,8.3,333,11,75,124,144,12,333,36,16,44.4,20,55.6,217,1717,957,29,23,6,20,17,209,22
26,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,30,1989,34.8,1233,26,143,436,667,150,1231,38,17,44.7,21,55.3,727,4964,2702,98,47,38,58,31,928,288
27,Serge Aurier,ci CIV,DF,Tottenham,26,1992,30,2078,124,573,909,619,52,2078,64,39,60.9,25,39.1,1148,4661,2407,66,54,6,54,28,1144,205
28,Jordan Ayew,gh GHA,FW,Crystal Palace,27,1991,35,1300,30,154,596,584,123,1300,117,73,62.4,44,37.6,801,5611,2289,77,54,25,113,95,950,184
29,César Azpilicueta,es ESP,DF,Chelsea,29,1989,35.9,3347,117,932,1619,806,93,3347,21,12,57.1,9,42.9,1738,6145,3481,59,39,7,27,13,2152,226
30,Eric Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,92,15,44,49,0,0,92,1,1,100,0,0,46,186,97,1,0,0,1,1,54,1
31,Leighton Baines,eng ENG,DF,Everton,34,1984,4.5,264,20,64,100,102,1,264,4,2,50,2,50,118,446,248,12,7,1,3,2,147,18
32,Fabián Balbuena,py PAR,DF,West Ham,27,1991,13.1,673,91,343,308,24,15,673,2,2,100,0,0,302,1375,846,8,3,1,6,1,334,2
33,George Baldock,gr GRE,DF,Sheffield Utd,26,1993,38,1908,102,405,623,887,56,1908,70,42,60,28,40,884,5340,2565,97,63,22,43,22,1036,197
34,Phil Bardsley,sct SCO,DF,Burnley,34,1985,21,1154,99,328,618,213,11,1154,7,4,57.1,3,42.9,401,1877,942,23,20,1,13,3,485,27
35,Ross Barkley,eng ENG,MF,Chelsea,25,1993,12.3,772,11,82,400,298,31,772,40,27,67.5,13,32.5,520,3158,1519,46,24,11,25,34,610,63
36,Ashley Barnes,eng ENG,FW,Burnley,29,1989,15,418,11,36,191,193,50,417,14,6,42.9,8,57.1,270,900,341,10,6,5,38,19,335,61
37,Harvey Barnes,eng ENG,"MF,FW",Leicester City,21,1997,23.1,997,9,85,347,592,121,997,81,43,53.1,38,46.9,721,4878,2973,95,54,48,59,23,810,221
38,Chris Basham,eng ENG,DF,Sheffield Utd,31,1988,36,2030,243,818,882,352,41,2030,37,24,64.9,13,35.1,716,3683,2048,32,34,7,33,8,894,70
39,Borja Bastón,es ESP,"MF,FW",Aston Villa,26,1992,0.2,8,1,1,5,3,1,8,0,0,,0,,1,9,9,0,1,0,1,0,4,0
40,Michy Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,125,3,10,58,60,31,125,8,4,50,4,50,79,428,239,8,5,4,13,4,88,22
41,Jan Bednarek,pl POL,DF,Southampton,23,1996,34,2033,269,952,1049,40,15,2033,2,2,100,0,0,806,3186,1736,4,4,1,11,1,962,0
42,Héctor Bellerín,es ESP,"DF,MF",Arsenal,24,1995,12.9,846,34,251,388,211,22,846,31,18,58.1,13,41.9,435,2426,1446,34,24,5,14,12,505,70
43,Ryan Bennett,eng ENG,DF,Wolves,29,1990,6.7,316,49,160,129,28,7,316,0,0,,0,,109,400,230,3,3,0,2,1,157,0
44,Ryan Bennett,eng ENG,DF,Leicester City,29,1990,3.7,256,11,93,144,19,0,256,0,0,,0,,115,540,312,3,4,0,2,0,158,1
45,Nabil Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,8.3,496,18,140,323,38,1,496,10,8,80,2,20,243,978,344,2,2,0,6,2,293,1
46,Christian Benteke,be BEL,FW,Crystal Palace,28,1990,14,530,38,53,224,262,81,530,23,19,82.6,4,17.4,232,1312,584,22,8,10,47,23,399,79
47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,28,1990,6.9,254,9,41,84,136,23,254,6,5,83.3,1,16.7,155,990,404,18,11,4,9,5,162,31
48,Sander Berge,no NOR,MF,Sheffield Utd,21,1998,10.5,502,20,74,251,184,19,502,20,15,75,5,25,261,1479,655,18,8,3,15,7,309,35
49,Steven Bergwijn,nl NED,"FW,MF",Tottenham,21,1997,7.8,340,3,47,161,137,19,340,18,8,44.4,10,55.6,226,1400,759,24,17,6,17,10,233,50
50,Bernard,br BRA,"MF,FW",Everton,26,1992,14.2,762,9,87,352,334,44,762,50,30,60,20,40,519,2835,1401,40,36,15,40,29,537,106
51,Bernardo,br BRA,"DF,MF",Brighton,24,1995,7.5,495,30,152,223,123,13,495,12,8,66.7,4,33.3,238,1277,766,22,6,1,16,11,278,41
52,Ryan Bertrand,eng ENG,DF,Southampton,29,1989,30.5,1972,58,364,960,665,44,1972,24,11,45.8,13,54.2,890,4825,2759,78,38,2,46,21,1044,134
53,Muhamed Bešić,ba BIH,MF,Sheffield Utd,26,1992,2.8,143,9,37,63,46,2,143,7,7,100,0,0,63,323,136,3,5,1,2,2,77,0
54,Philip Billing,dk DEN,MF,Bournemouth,23,1996,28.1,1673,131,462,839,395,50,1673,35,22,62.9,13,37.1,873,4050,1646,29,30,4,51,28,905,59
55,Yves Bissouma,ml MLI,MF,Brighton,22,1996,14,834,28,194,479,177,8,834,48,32,66.7,16,33.3,500,3269,1308,25,20,8,32,25,545,16
56,Willy Boly,ci CIV,DF,Wolves,28,1991,22,1264,139,623,606,39,20,1264,11,9,81.8,2,18.2,588,2675,1364,4,4,0,10,4,725,5
57,Gaëtan Bong,cm CMR,"DF,MF",Brighton,31,1988,0.7,41,0,5,15,22,3,41,2,1,50,1,50,26,119,55,4,1,1,3,1,31,8
58,Sofiane Boufal,ma MAR,"MF,FW",Southampton,25,1993,8.5,496,3,39,190,283,49,496,86,53,61.6,33,38.4,350,2773,1408,48,33,24,33,40,372,67
59,Jarrod Bowen,eng ENG,"FW,MF",West Ham,22,1996,10.2,406,8,70,133,214,41,406,39,15,38.5,24,61.5,276,2344,872,33,23,15,19,14,249,80
60,Robbie Brady,ie IRL,MF,Burnley,27,1992,5,245,13,36,99,112,15,245,10,6,60,4,40,123,580,276,5,10,0,11,11,139,23
61,Jarrad Branthwaite,eng ENG,DF,Everton,17,2002,3.3,259,41,149,111,2,0,259,1,1,100,0,0,153,822,396,0,0,0,3,0,185,0
62,Claudio Bravo,cl CHI,GK,Manchester City,36,1983,3.9,139,113,137,2,0,0,139,1,1,100,0,0,87,434,277,0,0,0,0,0,78,0
63,Armando Broja,al ALB,FW,Chelsea,17,2001,0.1,2,0,0,0,2,0,2,0,0,,0,,4,7,0,0,0,0,0,1,4,2
64,David Brooks,wls WAL,"MF,FW",Bournemouth,22,1997,5.6,226,3,23,84,121,8,226,24,12,50,12,50,137,700,240,4,8,1,7,7,163,24
65,Josh Brownhill,eng ENG,MF,Burnley,23,1995,8.9,422,30,105,215,104,9,422,8,7,87.5,1,12.5,183,704,233,2,10,0,10,4,241,15
66,Emi Buendía,ar ARG,"FW,MF",Norwich City,22,1996,27.4,2023,61,354,965,745,52,2023,142,102,71.8,39,27.5,1302,6925,3605,68,80,15,82,80,1344,106
67,Dan Burn,eng ENG,DF,Brighton,27,1992,32,2290,165,718,1144,441,26,2290,40,19,47.5,21,52.5,1025,5257,2959,52,39,1,37,25,1342,93
68,Sam Byram,eng ENG,DF,Norwich City,25,1993,14.4,1007,84,386,393,234,37,1007,15,6,40,9,60,459,2088,910,21,18,2,13,5,505,58
69,Willy Caballero,ar ARG,GK,Chelsea,37,1981,5,176,160,176,0,0,0,176,0,0,,0,,116,486,257,0,0,0,0,0,109,0
70,Gary Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,1257,190,748,453,63,45,1257,5,4,80,1,20,627,3147,1421,5,7,1,13,4,744,2
71,Dominic Calvert-Lewin,eng ENG,FW,Everton,22,1997,29.2,922,42,76,391,466,134,922,27,14,51.9,13,48.1,511,2568,951,40,28,16,98,23,736,156
72,Víctor Camarasa,es ESP,FW,Crystal Palace,25,1994,0.1,3,0,0,3,0,0,3,0,0,,0,,2,24,1,0,0,0,0,0,3,0
73,João Cancelo,pt POR,DF,Manchester City,25,1994,13.4,1309,30,257,672,395,33,1309,53,37,69.8,17,32.1,949,4380,2266,42,50,14,15,8,937,80
74,Todd Cantwell,eng ENG,"FW,MF",Norwich City,21,1998,27.7,1480,34,259,723,523,79,1480,78,49,62.8,29,37.2,991,5587,2520,75,49,24,77,48,1099,138
75,Étienne Capoue,fr FRA,MF,Watford,31,1988,29.2,1797,94,422,1174,217,12,1797,40,23,57.5,17,42.5,912,3593,1554,16,16,3,18,26,999,23
76,Andy Carroll,eng ENG,FW,Newcastle Utd,30,1989,7,316,27,39,156,122,30,316,11,6,54.5,5,45.5,133,478,109,4,5,0,24,11,236,34
77,Jonny Castro,es ESP,"MF,DF",Wolves,25,1994,32.1,1871,68,476,779,638,61,1871,71,32,45.1,39,54.9,855,5260,2873,100,62,20,54,36,1024,180
78,Craig Cathcart,nir NIR,DF,Watford,30,1989,27.6,1194,156,601,572,23,12,1194,7,4,57.1,3,42.9,583,2439,1037,2,3,1,9,3,591,3
79,Dani Ceballos,es ESP,MF,Arsenal,22,1996,18.8,1510,50,320,807,403,21,1510,36,27,75,9,25,1012,6703,3681,60,52,8,25,30,1089,38
80,Nathaniel Chalobah,eng ENG,MF,Watford,24,1994,10.3,500,24,115,278,110,8,500,9,5,55.6,4,44.4,227,942,306,4,9,1,16,10,250,22
81,Calum Chambers,eng ENG,DF,Arsenal,24,1995,12.2,1067,116,467,406,199,27,1067,17,11,64.7,6,35.3,563,2500,1438,16,10,0,15,10,697,67
82,Ben Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,2329,73,592,1076,683,48,2329,50,19,38,31,62,1427,8189,4644,109,77,16,50,22,1537,180
83,Tahith Chong,nl NED,"FW,DF",Manchester Utd,19,1999,0.4,20,0,3,7,10,2,20,2,1,50,1,50,15,86,56,2,0,1,2,1,16,5
84,Hamza Choudhury,eng ENG,MF,Leicester City,21,1997,9.9,619,25,157,363,100,11,619,10,3,30,7,70,381,1274,399,5,8,1,13,5,402,10
85,Andreas Christensen,dk DEN,DF,Chelsea,23,1996,19.5,1484,137,690,758,43,12,1484,4,4,100,0,0,983,5524,3175,17,12,0,4,1,1066,1
86,Ciaran Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,496,103,273,205,23,8,496,7,6,85.7,1,14.3,207,865,312,2,2,0,3,1,214,2
87,Leon Clarke,eng ENG,"FW,MF",Sheffield Utd,34,1985,0.4,10,2,4,2,4,2,10,0,0,,0,,2,0,0,0,0,0,1,0,7,2
88,Tom Cleverley,eng ENG,MF,Watford,29,1989,10.8,584,17,96,288,208,28,584,11,7,63.6,4,36.4,308,1202,536,13,14,1,11,3,363,43
89,Conor Coady,eng ENG,DF,Wolves,26,1993,38,2082,305,1277,813,1,0,2082,5,4,80,1,20,1184,5442,2750,3,3,1,1,0,1371,0
90,Séamus Coleman,ie IRL,DF,Everton,30,1988,20.4,1322,80,414,606,316,28,1322,58,38,65.5,20,34.5,691,3894,2055,49,38,7,35,14,692,93
91,Aaron Connolly,ie IRL,FW,Brighton,19,2000,14,318,1,17,131,173,55,318,20,6,30,14,70,198,1150,417,21,7,12,53,20,225,86
92,Lewis Cook,eng ENG,"MF,FW",Bournemouth,22,1997,15,894,36,193,498,212,9,894,38,24,63.2,14,36.8,579,2713,1146,18,16,3,26,19,599,31
93,Steve Cook,eng ENG,DF,Bournemouth,28,1991,27,1593,230,882,658,65,23,1593,3,3,100,0,0,858,4077,2154,7,4,0,4,3,905,5
94,Jack Cork,eng ENG,MF,Burnley,30,1989,29,1220,60,210,783,246,27,1220,33,26,78.8,7,21.2,567,2674,977,13,22,4,45,36,675,31
95,Aaron Cresswell,eng ENG,DF,West Ham,29,1989,30.3,1975,100,542,922,520,24,1975,34,11,32.4,23,67.6,934,3750,1808,43,33,2,18,10,1043,97
96,Patrick Cutrone,it ITA,FW,Wolves,21,1998,3.3,102,1,11,49,44,13,102,5,3,60,2,40,51,321,135,5,3,1,8,9,57,20
97,Diogo Dalot,pt POR,"DF,MF",Manchester Utd,20,1999,0.7,80,3,12,36,32,1,80,3,0,0,3,100,36,192,65,2,0,1,1,2,48,7
98,Charlie Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,61,7,24,25,13,0,61,0,0,,0,,37,138,42,1,1,0,1,1,29,3
99,Arnaut Danjuma,nl NED,MF,Bournemouth,22,1997,7,306,3,59,136,119,22,306,38,21,55.3,17,44.7,227,1820,823,31,19,13,12,14,239,60
100,Scott Dann,eng ENG,DF,Crystal Palace,32,1987,14.1,704,108,408,271,28,22,704,6,5,83.3,1,16.7,332,1342,892,1,4,2,5,1,388,2
101,Kevin Danso,at AUT,DF,Southampton,20,1998,3.1,203,12,46,116,43,2,203,7,3,42.9,4,57.1,88,556,287,6,4,0,4,1,109,4
102,Ben Davies,wls WAL,DF,Tottenham,26,1993,15.9,1144,55,354,590,201,18,1144,18,9,50,9,50,600,2447,1399,32,20,2,7,9,643,54
103,Tom Davies,eng ENG,MF,Everton,21,1998,22.5,1119,42,256,682,197,23,1119,30,21,70,9,30,611,3046,1486,24,29,1,28,20,698,32
104,Keinan Davis,eng ENG,FW,Aston Villa,21,1998,6.1,217,4,11,91,120,30,217,20,14,70,6,30,148,864,400,19,11,7,26,11,172,50
105,Craig Dawson,eng ENG,DF,Watford,29,1990,26.2,1252,162,610,568,81,49,1252,4,3,75,1,25,622,2801,1289,4,0,0,15,3,665,7
106,Kevin De Bruyne,be BEL,MF,Manchester City,28,1991,31,2595,39,194,1050,1376,150,2593,81,48,59.3,33,40.7,1785,8895,5181,139,114,44,47,31,1939,257
107,Troy Deeney,eng ENG,FW,Watford,31,1988,24.7,961,28,82,459,430,103,955,20,10,50,10,50,402,1384,522,12,15,3,51,26,717,104
108,Fabian Delph,eng ENG,MF,Everton,29,1989,13.2,909,31,221,558,140,0,909,26,21,80.8,5,19.2,574,2786,1221,19,24,0,17,6,620,9
109,Leander Dendoncker,be BEL,"MF,DF",Wolves,24,1995,31.1,1640,104,558,889,196,38,1640,21,16,76.2,5,23.8,767,3409,1941,17,18,1,31,11,1026,39
110,Gerard Deulofeu,es ESP,FW,Watford,25,1994,23.3,1112,11,134,361,647,133,1111,105,62,59,43,41,751,6112,3408,123,80,62,67,52,749,170
111,Eric Dier,eng ENG,"DF,MF",Tottenham,25,1994,14.9,1082,110,469,562,53,12,1082,4,4,100,0,0,662,2739,1327,4,5,0,5,4,729,4
112,Lucas Digne,fr FRA,DF,Everton,26,1993,33.7,2376,99,631,921,842,52,2376,36,23,63.9,13,36.1,1009,4362,2418,69,54,6,28,24,1112,251
113,Issa Diop,fr FRA,DF,West Ham,22,1997,30.7,1317,229,698,588,39,25,1317,7,5,71.4,2,28.6,630,3407,1747,7,2,0,10,5,629,2
114,Moussa Djenepo,ml MLI,"MF,DF",Southampton,21,1998,10.3,461,15,79,189,198,44,461,66,44,66.7,22,33.3,291,2178,1227,39,20,13,40,21,306,72
115,Matt Doherty,ie IRL,"MF,DF",Wolves,27,1992,31.5,2196,74,488,1088,632,89,2196,48,28,58.3,20,41.7,954,5061,3057,75,63,10,47,15,1332,155
116,Abdoulaye Doucouré,ml MLI,MF,Watford,26,1993,35.1,2090,68,387,1100,646,100,2090,67,40,59.7,27,40.3,1241,5965,3130,69,68,16,58,31,1353,96
117,Tommy Doyle,eng ENG,MF,Manchester City,17,2001,0.2,21,0,0,14,7,0,21,0,0,,0,,14,67,7,0,0,0,0,0,20,0
118,Danny Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,200,5,55,116,30,2,200,4,1,25,3,75,97,431,182,2,3,0,3,3,123,4
119,Danny Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,28,2,5,20,3,0,28,0,0,,0,,9,33,8,0,0,0,1,0,9,1
120,Josip Drmić,ch SUI,FW,Norwich City,26,1992,7.2,241,8,23,127,93,22,241,14,6,42.9,8,57.1,129,444,140,5,4,5,22,15,160,42
121,Martin Dúbravka,sk SVK,GK,Newcastle Utd,30,1989,38,1198,1000,1192,6,0,0,1198,0,0,,0,,508,3675,2574,0,0,0,3,0,331,0
122,Ondrej Duda,sk SVK,MF,Norwich City,24,1994,8,470,15,73,244,159,9,470,10,6,60,4,40,266,1010,445,8,9,1,22,3,317,17
123,Shane Duffy,ie IRL,DF,Brighton,27,1992,13.8,807,115,446,330,34,19,807,4,3,75,1,25,357,1742,913,4,6,0,9,3,458,2
124,Paul Dummett,wls WAL,DF,Newcastle Utd,27,1991,13.6,671,90,313,289,70,6,671,2,1,50,1,50,264,1286,700,7,9,1,3,1,333,16
125,Lewis Dunk,eng ENG,DF,Brighton,27,1991,35.9,2655,408,1487,1086,99,48,2655,7,5,71.4,2,28.6,1506,8106,4367,18,16,1,15,8,1760,5
126,Ederson,br BRA,GK,Manchester City,25,1993,34.1,1148,886,1130,19,0,0,1148,0,0,,0,,800,3620,2521,0,0,0,1,0,667,0
127,John Egan,ie IRL,DF,Sheffield Utd,26,1992,35.4,1682,228,843,782,65,50,1682,2,1,50,1,50,688,3495,1958,6,1,0,14,0,821,5
128,Harvey Elliott,eng ENG,DF,Liverpool,16,2003,0.1,16,0,0,6,10,0,16,2,1,50,1,50,11,40,17,0,0,0,0,0,11,1
129,Ahmed Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,753,49,211,331,216,14,753,11,7,63.6,4,36.4,386,1970,1263,39,30,4,9,2,438,37
130,Björn Engels,be BEL,DF,Aston Villa,24,1994,16.1,819,151,473,317,30,14,819,1,1,100,0,0,426,2458,1586,5,4,1,7,2,482,2
131,Christian Eriksen,dk DEN,"MF,FW",Tottenham,27,1992,12.2,881,15,123,448,323,16,881,2,0,0,2,100,519,2229,1158,28,22,6,23,14,579,32
132,Jonny Evans,nir NIR,DF,Leicester City,31,1988,37.6,2899,340,1443,1361,106,47,2899,8,6,75,2,25,1810,8583,4971,31,13,0,12,3,1926,4
133,Łukasz Fabiański,pl POL,GK,West Ham,34,1985,23.5,720,632,717,3,0,0,720,1,1,100,0,0,366,2478,1606,0,0,0,1,0,218,0
134,Fabinho,br BRA,MF,Liverpool,25,1993,23.1,1783,40,350,1147,295,10,1783,12,9,75,3,25,1137,5013,2323,19,23,0,15,8,1256,23
135,Ralf Fährmann,de GER,GK,Norwich City,30,1988,0.2,12,12,12,0,0,0,12,0,0,,0,,5,19,15,0,0,0,0,0,4,0
136,Akin Famewo,eng ENG,MF,Norwich City,20,1998,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
137,Kiko Femenía,es ESP,DF,Watford,28,1991,24.9,1510,55,421,681,427,17,1510,32,19,59.4,13,40.6,743,3754,1993,49,36,4,21,11,754,81
138,Bruno Fernandes,pt POR,MF,Manchester Utd,24,1994,13.2,1006,18,98,438,479,39,1002,21,15,71.4,6,28.6,554,2610,1487,34,32,7,29,13,737,92
139,Gedson Fernandes,pt POR,"MF,DF",Tottenham,20,1999,0.8,71,1,5,27,39,5,71,8,2,25,6,75,46,319,183,9,3,1,2,0,46,15
140,Federico Fernández,ar ARG,DF,Newcastle Utd,30,1989,29.1,1614,254,942,536,150,24,1614,16,10,62.5,6,37.5,831,3506,1421,4,13,1,21,3,860,13
141,Fernandinho,br BRA,DF,Manchester City,34,1985,26.6,2492,198,895,1493,113,22,2492,13,13,100,0,0,1855,11030,7448,51,27,0,14,6,1880,7
142,Roberto Firmino,br BRA,FW,Liverpool,27,1991,33.2,1558,16,103,697,775,211,1558,90,52,57.8,38,42.2,1082,5483,2646,90,62,35,92,39,1203,218
143,John Fleck,sct SCO,MF,Sheffield Utd,27,1991,28,1414,36,205,608,619,37,1414,60,44,73.3,16,26.7,607,3286,1753,48,43,13,45,17,866,90
144,Phil Foden,eng ENG,"FW,MF",Manchester City,19,2000,10,628,2,51,242,346,60,628,30,25,83.3,5,16.7,454,2198,1157,36,29,13,19,15,524,102
145,Pablo Fornals,es ESP,"MF,FW",West Ham,23,1996,24.1,1159,14,169,522,487,45,1159,33,15,45.5,18,54.5,687,3377,1574,45,31,10,40,26,783,156
146,Ben Foster,eng ENG,GK,Watford,36,1983,38,1320,998,1285,34,1,1,1320,2,2,100,0,0,623,4891,3465,0,0,0,0,0,386,0
147,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,1.5,84,2,18,48,19,2,84,2,1,50,1,50,42,154,79,4,0,1,2,0,56,11
148,Dimitri Foulquier,fr FRA,"DF,MF",Watford,26,1993,0.7,21,2,8,9,6,0,21,2,2,100,0,0,9,87,73,3,1,0,2,0,9,1
149,Juan Foyth,ar ARG,DF,Tottenham,21,1998,0.8,80,8,27,45,8,0,80,4,2,50,2,50,45,181,82,0,0,0,1,1,43,0
150,Simon Francis,eng ENG,DF,Bournemouth,34,1985,10.8,711,103,373,269,73,12,711,7,4,57.1,3,42.9,407,1734,802,5,4,0,4,2,387,16
151,Ryan Fraser,sct SCO,"MF,FW",Bournemouth,25,1994,23,1129,22,171,401,573,58,1129,24,12,50,12,50,800,4732,2646,99,63,24,28,19,786,164
152,Fred,br BRA,MF,Manchester Utd,26,1993,24,2059,61,433,1170,478,20,2059,53,40,75.5,13,24.5,1154,5708,2903,28,42,11,45,26,1395,39
153,Ryan Fredericks,eng ENG,DF,West Ham,26,1992,24.9,1396,92,458,571,377,28,1396,31,11,35.5,20,64.5,637,3518,1972,63,51,14,20,12,705,110
154,Kieron Freeman,wls WAL,FW,Sheffield Utd,27,1992,0.1,2,0,0,0,2,0,2,0,0,,0,,1,3,2,0,0,0,0,0,1,0
155,Luke Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,202,6,27,72,108,4,202,12,8,66.7,4,33.3,117,666,347,14,11,1,11,13,128,23
156,Christian Fuchs,at AUT,DF,Leicester City,33,1986,8.6,753,29,275,375,106,1,753,5,2,40,3,60,391,1375,681,8,10,1,11,2,476,18
157,Eric García,es ESP,DF,Manchester City,18,2001,8.8,801,51,310,476,18,3,801,8,6,75,2,25,614,2735,1540,7,3,0,1,0,649,0
158,James Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,15,1,1,12,3,0,15,0,0,,0,,7,28,9,0,1,0,0,0,13,0
159,Dwight Gayle,eng ENG,FW,Newcastle Utd,28,1990,9.4,236,9,24,118,95,30,236,3,2,66.7,1,33.3,125,510,209,7,3,1,20,11,156,43
160,Paulo Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,561,508,559,2,0,0,561,0,0,,0,,297,1356,904,0,0,0,0,0,232,0
161,Jean-Philippe Gbamin,ci CIV,MF,Everton,23,1995,1.5,87,7,19,57,12,0,87,3,2,66.7,1,33.3,54,213,69,0,1,0,2,4,56,3
162,David de Gea,es ESP,GK,Manchester Utd,28,1990,38,1000,917,998,3,0,0,1000,0,0,,0,,444,2290,1419,0,0,0,1,0,370,0
