rank,player,nation,position,team,age,born,ninetys,touches,touches_in_defensive_penalty_area,touches_in_defensive_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty_area,live_ball_touches,take_ons_attempted,take_ons_succeeded,take_on_success_percentage,times_tackled_during_take_on,tackled_during_take_on_percentage,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,1870,89,529,848,515,41,1869,38,16,42.1,22,57.9,830,4462,2433,60,41,10,31,15,994,89
2,Max Aarons,eng ENG,DF,Norwich City,19,2000,36,2144,159,763,868,536,43,2144,99,48,48.5,51,51.5,1259,7858,4066,92,61,21,54,31,1253,151
3,Tammy Abraham,eng ENG,FW,Chelsea,21,1997,24.6,722,30,60,337,334,146,722,35,16,45.7,19,54.3,333,1698,749,31,17,10,74,42,479,134
4,Che Adams,sct SCO,FW,Southampton,23,1996,12.3,418,11,29,181,214,60,418,25,18,72,7,28,232,1282,464,20,16,10,40,21,298,87
5,Adrián,es ESP,GK,Liverpool,32,1987,9.7,331,298,331,0,0,0,331,0,0,,0,,193,925,528,0,1,1,0,0,152,0
6,Sergio Agüero,ar ARG,FW,Manchester City,31,1988,16.1,544,4,17,178,356,131,541,40,24,60,16,40,405,2057,816,35,26,23,34,30,436,105
7,Albian Ajeti,ch SUI,FW,West Ham,22,1997,1.5,28,0,1,8,19,7,28,2,0,0,2,100,17,61,8,0,0,1,4,2,22,10
8,Nathan Aké,nl NED,DF,Bournemouth,24,1995,27.8,1557,238,888,604,77,36,1557,3,3,100,0,0,958,4935,3112,12,5,0,9,5,922,7
9,Marc Albrighton,eng ENG,"MF,DF",Leicester City,29,1989,9.6,618,12,102,245,284,20,618,33,14,42.4,19,57.6,393,1968,822,20,19,4,12,9,423,94
10,Toby Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,2349,344,1183,1068,101,22,2349,1,0,0,1,100,1460,5973,2949,11,18,1,9,5,1566,10
11,Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,3582,99,825,1590,1193,54,3582,51,21,41.2,30,58.8,2136,9096,5332,98,113,16,47,12,2281,226
12,Alisson,br BRA,GK,Liverpool,26,1992,28.3,992,792,983,10,0,0,992,0,0,,0,,600,2483,1531,0,1,1,0,0,495,0
13,Dele Alli,eng ENG,"MF,FW",Tottenham,23,1996,20.5,1128,36,156,558,427,76,1127,66,29,43.9,36,54.5,707,3569,1684,56,37,14,50,41,760,152
14,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,25,1994,33.6,1291,34,260,538,537,81,1291,93,46,49.5,47,50.5,929,7715,3823,120,82,19,80,35,881,160
15,Marcos Alonso,es ESP,DF,Chelsea,28,1990,15.9,1341,27,335,536,477,59,1341,19,12,63.2,7,36.8,787,4088,2269,62,42,6,33,10,833,155
16,Steven Alzate,co COL,"MF,DF",Brighton,20,1998,13.2,831,32,190,397,251,36,831,47,35,74.5,12,25.5,456,2796,1437,34,34,11,25,28,545,92
17,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,26,1993,8.4,480,100,331,138,13,4,480,2,2,100,0,0,290,1128,545,4,0,0,1,3,303,1
