Match Number,Round Number,Date,Location,Home Team,Away Team,Result
6,1,10/08/2018 20:00,Old Trafford,Man Utd,Leicester,2 - 1
7,1,11/08/2018 12:30,St. James' Park,Newcastle,Spurs,1 - 2
2,1,11/08/2018 15:00,Vitality Stadium,Bournemouth,Cardiff,2 - 0
3,1,11/08/2018 15:00,Craven Cottage,Fulham,Crystal Palace,0 - 2
4,1,11/08/2018 15:00,John Smith's Stadium,Huddersfield,Chelsea,0 - 3
9,1,11/08/2018 15:00,Vicarage Road,Watford,Brighton,2 - 0
10,1,11/08/2018 17:30,Molineux Stadium,Wolves,Everton,2 - 2
5,1,12/08/2018 13:30,Anfield,Liverpool,West Ham,4 - 0
8,1,12/08/2018 13:30,St. Mary's Stadium,Southampton,Burnley,0 - 0
1,1,12/08/2018 16:00,Emirates Stadium,Arsenal,Man City,0 - 2
13,2,18/08/2018 12:30,Cardiff City Stadium,Cardiff,Newcastle,0 - 0
16,2,18/08/2018 15:00,Goodison Park,Everton,Southampton,2 - 1
17,2,18/08/2018 15:00,King Power Stadium,Leicester,Wolves,2 - 0
19,2,18/08/2018 15:00,Wembley Stadium,Spurs,Fulham,3 - 1
20,2,18/08/2018 15:00,London Stadium,West Ham,Bournemouth,1 - 2
14,2,18/08/2018 17:30,Stamford Bridge,Chelsea,Arsenal,3 - 2
12,2,19/08/2018 13:30,Turf Moor,Burnley,Watford,1 - 3
18,2,19/08/2018 13:30,Etihad Stadium,Man City,Huddersfield,6 - 1
11,2,19/08/2018 16:00,Amex Stadium,Brighton,Man Utd,3 - 2
15,2,20/08/2018 20:00,Selhurst Park,Crystal Palace,Liverpool,0 - 2
30,3,25/08/2018 12:30,Molineux Stadium,Wolves,Man City,1 - 1
21,3,25/08/2018 15:00,Emirates Stadium,Arsenal,West Ham,3 - 1
22,3,25/08/2018 15:00,Vitality Stadium,Bournemouth,Everton,2 - 2
24,3,25/08/2018 15:00,John Smith's Stadium,Huddersfield,Cardiff,0 - 0
28,3,25/08/2018 15:00,St. Mary's Stadium,Southampton,Leicester,1 - 2
25,3,25/08/2018 17:30,Anfield,Liverpool,Brighton,1 - 0
29,3,26/08/2018 13:30,Vicarage Road,Watford,Crystal Palace,2 - 1
23,3,26/08/2018 16:00,Craven Cottage,Fulham,Burnley,4 - 2
27,3,26/08/2018 16:00,St. James' Park,Newcastle,Chelsea,1 - 2
26,3,27/08/2018 20:00,Old Trafford,Man Utd,Spurs,0 - 3
37,4,01/09/2018 12:30,King Power Stadium,Leicester,Liverpool,1 - 2
31,4,01/09/2018 15:00,Amex Stadium,Brighton,Fulham,2 - 2
34,4,01/09/2018 15:00,Stamford Bridge,Chelsea,Bournemouth,2 - 0
35,4,01/09/2018 15:00,Selhurst Park,Crystal Palace,Southampton,0 - 2
36,4,01/09/2018 15:00,Goodison Park,Everton,Huddersfield,1 - 1
40,4,01/09/2018 15:00,London Stadium,West Ham,Wolves,0 - 1
38,4,01/09/2018 17:30,Etihad Stadium,Man City,Newcastle,2 - 1
33,4,02/09/2018 13:30,Cardiff City Stadium,Cardiff,Arsenal,2 - 3
32,4,02/09/2018 16:00,Turf Moor,Burnley,Man Utd,0 - 2
39,4,02/09/2018 16:00,Vicarage Road,Watford,Spurs,2 - 1
48,5,15/09/2018 12:30,Wembley Stadium,Spurs,Liverpool,1 - 2
41,5,15/09/2018 15:00,Vitality Stadium,Bournemouth,Leicester,4 - 2
42,5,15/09/2018 15:00,Stamford Bridge,Chelsea,Cardiff,4 - 1
44,5,15/09/2018 15:00,John Smith's Stadium,Huddersfield,Crystal Palace,0 - 1
45,5,15/09/2018 15:00,Etihad Stadium,Man City,Fulham,3 - 0
46,5,15/09/2018 15:00,St. James' Park,Newcastle,Arsenal,1 - 2
49,5,15/09/2018 17:30,Vicarage Road,Watford,Man Utd,1 - 2
50,5,16/09/2018 13:30,Molineux Stadium,Wolves,Burnley,1 - 0
43,5,16/09/2018 16:00,Goodison Park,Everton,West Ham,1 - 3
47,5,17/09/2018 20:00,St. Mary's Stadium,Southampton,Brighton,2 - 2
56,6,22/09/2018 12:30,Craven Cottage,Fulham,Watford,1 - 1
53,6,22/09/2018 15:00,Turf Moor,Burnley,Bournemouth,4 - 0
54,6,22/09/2018 15:00,Cardiff City Stadium,Cardiff,Man City,0 - 5
55,6,22/09/2018 15:00,Selhurst Park,Crystal Palace,Newcastle,0 - 0
57,6,22/09/2018 15:00,King Power Stadium,Leicester,Huddersfield,3 - 1
58,6,22/09/2018 15:00,Anfield,Liverpool,Southampton,3 - 0
59,6,22/09/2018 15:00,Old Trafford,Man Utd,Wolves,1 - 1
52,6,22/09/2018 17:30,Amex Stadium,Brighton,Spurs,1 - 2
60,6,23/09/2018 13:30,London Stadium,West Ham,Chelsea,0 - 0
51,6,23/09/2018 16:00,Emirates Stadium,Arsenal,Everton,2 - 0
69,7,29/09/2018 12:30,London Stadium,West Ham,Man Utd,3 - 1
61,7,29/09/2018 15:00,Emirates Stadium,Arsenal,Watford,2 - 0
65,7,29/09/2018 15:00,Goodison Park,Everton,Fulham,3 - 0
66,7,29/09/2018 15:00,John Smith's Stadium,Huddersfield,Spurs,0 - 2
67,7,29/09/2018 15:00,Etihad Stadium,Man City,Brighton,2 - 0
68,7,29/09/2018 15:00,St. James' Park,Newcastle,Leicester,0 - 2
70,7,29/09/2018 15:00,Molineux Stadium,Wolves,Southampton,2 - 0
64,7,29/09/2018 17:30,Stamford Bridge,Chelsea,Liverpool,1 - 1
63,7,30/09/2018 16:00,Cardiff City Stadium,Cardiff,Burnley,1 - 2
62,7,01/10/2018 20:00,Vitality Stadium,Bournemouth,Crystal Palace,2 - 1
71,8,05/10/2018 20:00,Amex Stadium,Brighton,West Ham,1 - 0
72,8,06/10/2018 15:00,Turf Moor,Burnley,Huddersfield,1 - 1
73,8,06/10/2018 15:00,Selhurst Park,Crystal Palace,Wolves,0 - 1
75,8,06/10/2018 15:00,King Power Stadium,Leicester,Everton,1 - 2
79,8,06/10/2018 15:00,Wembley Stadium,Spurs,Cardiff,1 - 0
80,8,06/10/2018 15:00,Vicarage Road,Watford,Bournemouth,0 - 4
77,8,06/10/2018 17:30,Old Trafford,Man Utd,Newcastle,3 - 2
74,8,07/10/2018 12:00,Craven Cottage,Fulham,Arsenal,1 - 5
78,8,07/10/2018 14:15,St. Mary's Stadium,Southampton,Chelsea,0 - 3
