Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,11/08/2017 19:45,Emirates Stadium,Arsenal,Leicester,4 - 3
9,1,12/08/2017 12:30,Vicarage Road,Watford,Liverpool,3 - 3
3,1,12/08/2017 15:00,Stamford Bridge,Chelsea,Burnley,2 - 3
4,1,12/08/2017 15:00,Selhurst Park,Crystal Palace,Huddersfield,0 - 3
5,1,12/08/2017 15:00,Goodison Park,Everton,Stoke,1 - 0
8,1,12/08/2017 15:00,St. Mary's Stadium,Southampton,Swansea,0 - 0
10,1,12/08/2017 15:00,The Hawthorns,West Brom,Bournemouth,1 - 0
2,1,12/08/2017 17:30,Amex Stadium,Brighton,Man City,0 - 2
7,1,13/08/2017 13:30,St. James' Park,Newcastle,Spurs,0 - 2
6,1,13/08/2017 16:00,Old Trafford,Man Utd,West Ham,4 - 0
18,2,19/08/2017 12:30,Liberty Stadium,Swansea,Man Utd,0 - 4
11,2,19/08/2017 15:00,Vitality Stadium,Bournemouth,Watford,0 - 2
12,2,19/08/2017 15:00,Turf Moor,Burnley,West Brom,0 - 1
14,2,19/08/2017 15:00,King Power Stadium,Leicester,Brighton,2 - 0
15,2,19/08/2017 15:00,Anfield,Liverpool,Crystal Palace,1 - 0
20,2,19/08/2017 15:00,St. Mary's Stadium,Southampton,West Ham,3 - 2
17,2,19/08/2017 17:30,bet365 Stadium,Stoke,Arsenal,1 - 0
13,2,20/08/2017 13:30,John Smith's Stadium,Huddersfield,Newcastle,1 - 0
19,2,20/08/2017 16:00,Wembley Stadium,Spurs,Chelsea,1 - 2
16,2,21/08/2017 20:00,Etihad Stadium,Man City,Everton,1 - 1
21,3,26/08/2017 12:30,Vitality Stadium,Bournemouth,Man City,1 - 2
23,3,26/08/2017 15:00,Selhurst Park,Crystal Palace,Swansea,0 - 2
24,3,26/08/2017 15:00,John Smith's Stadium,Huddersfield,Southampton,0 - 0
27,3,26/08/2017 15:00,St. James' Park,Newcastle,West Ham,3 - 0
29,3,26/08/2017 15:00,Vicarage Road,Watford,Brighton,0 - 0
26,3,26/08/2017 17:30,Old Trafford,Man Utd,Leicester,2 - 0
22,3,27/08/2017 13:30,Stamford Bridge,Chelsea,Everton,2 - 0
30,3,27/08/2017 13:30,The Hawthorns,West Brom,Stoke,1 - 1
25,3,27/08/2017 16:00,Anfield,Liverpool,Arsenal,4 - 0
28,3,27/08/2017 16:00,Wembley Stadium,Spurs,Burnley,1 - 1
36,4,09/09/2017 12:30,Etihad Stadium,Man City,Liverpool,5 - 0
31,4,09/09/2017 15:00,Emirates Stadium,Arsenal,Bournemouth,3 - 0
32,4,09/09/2017 15:00,Amex Stadium,Brighton,West Brom,3 - 1
34,4,09/09/2017 15:00,Goodison Park,Everton,Spurs,0 - 3
35,4,09/09/2017 15:00,King Power Stadium,Leicester,Chelsea,1 - 2
37,4,09/09/2017 15:00,St. Mary's Stadium,Southampton,Watford,0 - 2
38,4,09/09/2017 17:30,bet365 Stadium,Stoke,Man Utd,2 - 2
33,4,10/09/2017 13:30,Turf Moor,Burnley,Crystal Palace,1 - 0
39,4,10/09/2017 16:00,Liberty Stadium,Swansea,Newcastle,0 - 1
40,4,11/09/2017 20:00,London Stadium,West Ham,Huddersfield,2 - 0
41,5,15/09/2017 20:00,Vitality Stadium,Bournemouth,Brighton,2 - 1
43,5,16/09/2017 12:30,Selhurst Park,Crystal Palace,Southampton,0 - 1
44,5,16/09/2017 15:00,John Smith's Stadium,Huddersfield,Leicester,1 - 1
45,5,16/09/2017 15:00,Anfield,Liverpool,Burnley,1 - 1
47,5,16/09/2017 15:00,St. James' Park,Newcastle,Stoke,2 - 1
49,5,16/09/2017 15:00,Vicarage Road,Watford,Man City,0 - 6
50,5,16/09/2017 15:00,The Hawthorns,West Brom,West Ham,0 - 0
48,5,16/09/2017 17:30,Wembley Stadium,Spurs,Swansea,0 - 0
42,5,17/09/2017 13:30,Stamford Bridge,Chelsea,Arsenal,0 - 0
46,5,17/09/2017 16:00,Old Trafford,Man Utd,Everton,4 - 0
60,6,23/09/2017 12:30,London Stadium,West Ham,Spurs,2 - 3
53,6,23/09/2017 15:00,Turf Moor,Burnley,Huddersfield,0 - 0
54,6,23/09/2017 15:00,Goodison Park,Everton,Bournemouth,2 - 1
56,6,23/09/2017 15:00,Etihad Stadium,Man City,Crystal Palace,5 - 0
57,6,23/09/2017 15:00,St. Mary's Stadium,Southampton,Man Utd,0 - 1
58,6,23/09/2017 15:00,bet365 Stadium,Stoke,Chelsea,0 - 4
59,6,23/09/2017 15:00,Liberty Stadium,Swansea,Watford,1 - 2
55,6,23/09/2017 17:30,King Power Stadium,Leicester,Liverpool,2 - 3
52,6,24/09/2017 16:00,Amex Stadium,Brighton,Newcastle,1 - 0
51,6,25/09/2017 20:00,Emirates Stadium,Arsenal,West Brom,2 - 0
65,7,30/09/2017 12:30,John Smith's Stadium,Huddersfield,Spurs,0 - 4
62,7,30/09/2017 15:00,Vitality Stadium,Bournemouth,Leicester,0 - 0
66,7,30/09/2017 15:00,Old Trafford,Man Utd,Crystal Palace,4 - 0
68,7,30/09/2017 15:00,bet365 Stadium,Stoke,Southampton,2 - 1
69,7,30/09/2017 15:00,The Hawthorns,West Brom,Watford,2 - 2
70,7,30/09/2017 15:00,London Stadium,West Ham,Swansea,1 - 0
63,7,30/09/2017 17:30,Stamford Bridge,Chelsea,Man City,0 - 1
61,7,01/10/2017 12:00,Emirates Stadium,Arsenal,Brighton,2 - 0
64,7,01/10/2017 14:15,Goodison Park,Everton,Burnley,0 - 1
67,7,01/10/2017 16:30,St. James' Park,Newcastle,Liverpool,1 - 1
75,8,14/10/2017 12:30,Anfield,Liverpool,Man Utd,0 - 0
72,8,14/10/2017 15:00,Turf Moor,Burnley,West Ham,1 - 1
73,8,14/10/2017 15:00,Selhurst Park,Crystal Palace,Chelsea,2 - 1
76,8,14/10/2017 15:00,Etihad Stadium,Man City,Stoke,7 - 2
78,8,14/10/2017 15:00,Liberty Stadium,Swansea,Huddersfield,2 - 0
79,8,14/10/2017 15:00,Wembley Stadium,Spurs,Bournemouth,1 - 0
80,8,14/10/2017 17:30,Vicarage Road,Watford,Arsenal,2 - 1
71,8,15/10/2017 13:30,Amex Stadium,Brighton,Everton,1 - 1
77,8,15/10/2017 16:00,St. Mary's Stadium,Southampton,Newcastle,2 - 2
74,8,16/10/2017 20:00,King Power Stadium,Leicester,West Brom,1 - 1
90,9,20/10/2017 20:00,London Stadium,West Ham,Brighton,0 - 3
81,9,21/10/2017 12:30,Stamford Bridge,Chelsea,Watford,4 - 2
83,9,21/10/2017 15:00,John Smith's Stadium,Huddersfield,Man Utd,2 - 1
84,9,21/10/2017 15:00,Etihad Stadium,Man City,Burnley,3 - 0
