Match Number,Round Number,Date,Location,Home Team,Away Team,Result
85,9,21/10/2017 15:00,St. James' Park,Newcastle,Crystal Palace,1 - 0
87,9,21/10/2017 15:00,bet365 Stadium,Stoke,Bournemouth,1 - 2
88,9,21/10/2017 15:00,Liberty Stadium,Swansea,Leicester,1 - 2
86,9,21/10/2017 17:30,St. Mary's Stadium,Southampton,West Brom,1 - 0
82,9,22/10/2017 13:30,Goodison Park,Everton,Arsenal,2 - 5
89,9,22/10/2017 16:00,Wembley Stadium,Spurs,Liverpool,4 - 1
98,10,28/10/2017 12:30,Old Trafford,Man Utd,Spurs,1 - 0
91,10,28/10/2017 15:00,Emirates Stadium,Arsenal,Swansea,2 - 1
95,10,28/10/2017 15:00,Selhurst Park,Crystal Palace,West Ham,2 - 2
97,10,28/10/2017 15:00,Anfield,Liverpool,Huddersfield,3 - 0
99,10,28/10/2017 15:00,Vicarage Road,Watford,Stoke,0 - 1
100,10,28/10/2017 15:00,The Hawthorns,West Brom,Man City,2 - 3
92,10,28/10/2017 17:30,Vitality Stadium,Bournemouth,Chelsea,0 - 1
93,10,29/10/2017 13:30,Amex Stadium,Brighton,Southampton,1 - 1
96,10,29/10/2017 16:00,King Power Stadium,Leicester,Everton,2 - 0
94,10,30/10/2017 20:00,Turf Moor,Burnley,Newcastle,1 - 0
107,11,04/11/2017 12:30,bet365 Stadium,Stoke,Leicester,2 - 2
103,11,04/11/2017 15:00,John Smith's Stadium,Huddersfield,West Brom,1 - 0
105,11,04/11/2017 15:00,St. James' Park,Newcastle,Bournemouth,0 - 1
106,11,04/11/2017 15:00,St. Mary's Stadium,Southampton,Burnley,0 - 1
108,11,04/11/2017 15:00,Liberty Stadium,Swansea,Brighton,0 - 1
110,11,04/11/2017 17:30,London Stadium,West Ham,Liverpool,1 - 4
109,11,05/11/2017 12:00,Wembley Stadium,Spurs,Crystal Palace,1 - 0
104,11,05/11/2017 14:15,Etihad Stadium,Man City,Arsenal,3 - 1
101,11,05/11/2017 16:30,Stamford Bridge,Chelsea,Man Utd,1 - 0
102,11,05/11/2017 16:30,Goodison Park,Everton,Watford,3 - 2
111,12,18/11/2017 12:30,Emirates Stadium,Arsenal,Spurs,2 - 0
112,12,18/11/2017 15:00,Vitality Stadium,Bournemouth,Huddersfield,4 - 0
114,12,18/11/2017 15:00,Turf Moor,Burnley,Swansea,2 - 0
115,12,18/11/2017 15:00,Selhurst Park,Crystal Palace,Everton,2 - 2
116,12,18/11/2017 15:00,King Power Stadium,Leicester,Man City,0 - 2
117,12,18/11/2017 15:00,Anfield,Liverpool,Southampton,3 - 0
120,12,18/11/2017 15:00,The Hawthorns,West Brom,Chelsea,0 - 4
118,12,18/11/2017 17:30,Old Trafford,Man Utd,Newcastle,4 - 1
119,12,19/11/2017 16:00,Vicarage Road,Watford,West Ham,2 - 0
113,12,20/11/2017 20:00,Amex Stadium,Brighton,Stoke,2 - 2
130,13,24/11/2017 20:00,London Stadium,West Ham,Leicester,1 - 1
122,13,25/11/2017 15:00,Selhurst Park,Crystal Palace,Stoke,2 - 1
125,13,25/11/2017 15:00,Old Trafford,Man Utd,Brighton,1 - 0
126,13,25/11/2017 15:00,St. James' Park,Newcastle,Watford,0 - 3
128,13,25/11/2017 15:00,Liberty Stadium,Swansea,Bournemouth,0 - 0
129,13,25/11/2017 15:00,Wembley Stadium,Spurs,West Brom,1 - 1
124,13,25/11/2017 17:30,Anfield,Liverpool,Chelsea,1 - 1
127,13,26/11/2017 13:30,St. Mary's Stadium,Southampton,Everton,4 - 1
121,13,26/11/2017 14:00,Turf Moor,Burnley,Arsenal,0 - 1
123,13,26/11/2017 16:00,John Smith's Stadium,Huddersfield,Man City,1 - 2
133,14,28/11/2017 19:45,Amex Stadium,Brighton,Crystal Palace,0 - 0
134,14,28/11/2017 19:45,King Power Stadium,Leicester,Spurs,2 - 1
135,14,28/11/2017 20:00,Vicarage Road,Watford,Man Utd,2 - 4
136,14,28/11/2017 20:00,The Hawthorns,West Brom,Newcastle,2 - 2
131,14,29/11/2017 19:45,Emirates Stadium,Arsenal,Huddersfield,5 - 0
132,14,29/11/2017 19:45,Vitality Stadium,Bournemouth,Burnley,1 - 2
137,14,29/11/2017 19:45,Stamford Bridge,Chelsea,Swansea,1 - 0
138,14,29/11/2017 20:00,Goodison Park,Everton,West Ham,4 - 0
139,14,29/11/2017 20:00,Etihad Stadium,Man City,Southampton,2 - 1
140,14,29/11/2017 20:00,bet365 Stadium,Stoke,Liverpool,0 - 3
144,15,02/12/2017 12:30,Stamford Bridge,Chelsea,Newcastle,3 - 1
143,15,02/12/2017 15:00,Amex Stadium,Brighton,Liverpool,1 - 5
145,15,02/12/2017 15:00,Goodison Park,Everton,Huddersfield,2 - 0
146,15,02/12/2017 15:00,King Power Stadium,Leicester,Burnley,1 - 0
148,15,02/12/2017 15:00,bet365 Stadium,Stoke,Swansea,2 - 1
149,15,02/12/2017 15:00,Vicarage Road,Watford,Spurs,1 - 1
150,15,02/12/2017 15:00,The Hawthorns,West Brom,Crystal Palace,0 - 0
141,15,02/12/2017 17:30,Emirates Stadium,Arsenal,Man Utd,1 - 3
142,15,03/12/2017 13:30,Vitality Stadium,Bournemouth,Southampton,1 - 1
147,15,03/12/2017 16:00,Etihad Stadium,Man City,West Ham,2 - 1
160,16,09/12/2017 12:30,London Stadium,West Ham,Chelsea,1 - 0
151,16,09/12/2017 15:00,Turf Moor,Burnley,Watford,1 - 0
152,16,09/12/2017 15:00,Selhurst Park,Crystal Palace,Bournemouth,2 - 2
153,16,09/12/2017 15:00,John Smith's Stadium,Huddersfield,Brighton,2 - 0
158,16,09/12/2017 15:00,Liberty Stadium,Swansea,West Brom,1 - 0
159,16,09/12/2017 15:00,Wembley Stadium,Spurs,Stoke,5 - 1
156,16,09/12/2017 17:30,St. James' Park,Newcastle,Leicester,2 - 3
157,16,10/12/2017 12:00,St. Mary's Stadium,Southampton,Arsenal,1 - 1
154,16,10/12/2017 14:15,Anfield,Liverpool,Everton,1 - 1
155,16,10/12/2017 16:30,Old Trafford,Man Utd,Man City,1 - 2
161,17,12/12/2017 19:45,Turf Moor,Burnley,Stoke,1 - 0
162,17,12/12/2017 20:00,John Smith's Stadium,Huddersfield,Chelsea,1 - 3
165,17,12/12/2017 20:00,Selhurst Park,Crystal Palace,Watford,2 - 1
163,17,13/12/2017 19:45,Liberty Stadium,Swansea,Man City,0 - 4
167,17,13/12/2017 19:45,St. James' Park,Newcastle,Everton,0 - 1
168,17,13/12/2017 19:45,St. Mary's Stadium,Southampton,Leicester,1 - 4
164,17,13/12/2017 20:00,London Stadium,West Ham,Arsenal,0 - 0
166,17,13/12/2017 20:00,Old Trafford,Man Utd,Bournemouth,1 - 0
169,17,13/12/2017 20:00,Anfield,Liverpool,West Brom,0 - 0
170,17,13/12/2017 20:00,Wembley Stadium,Spurs,Brighton,2 - 0
176,18,16/12/2017 12:30,King Power Stadium,Leicester,Crystal Palace,0 - 3
171,18,16/12/2017 15:00,Emirates Stadium,Arsenal,Newcastle,1 - 0
173,18,16/12/2017 15:00,Amex Stadium,Brighton,Burnley,0 - 0
174,18,16/12/2017 15:00,Stamford Bridge,Chelsea,Southampton,1 - 0
179,18,16/12/2017 15:00,Vicarage Road,Watford,Huddersfield,1 - 4
178,18,16/12/2017 16:00,bet365 Stadium,Stoke,West Ham,0 - 3
177,18,16/12/2017 17:30,Etihad Stadium,Man City,Spurs,4 - 1
180,18,17/12/2017 14:15,The Hawthorns,West Brom,Man Utd,1 - 2
172,18,17/12/2017 16:30,Vitality Stadium,Bournemouth,Liverpool,0 - 4
175,18,18/12/2017 20:00,Goodison Park,Everton,Swansea,3 - 1
181,19,22/12/2017 19:45,Emirates Stadium,Arsenal,Liverpool,3 - 3
184,19,23/12/2017 12:30,Goodison Park,Everton,Chelsea,0 - 0
182,19,23/12/2017 15:00,Amex Stadium,Brighton,Watford,1 - 0
186,19,23/12/2017 15:00,Etihad Stadium,Man City,Bournemouth,4 - 0
187,19,23/12/2017 15:00,St. Mary's Stadium,Southampton,Huddersfield,1 - 1
188,19,23/12/2017 15:00,bet365 Stadium,Stoke,West Brom,3 - 1
189,19,23/12/2017 15:00,Liberty Stadium,Swansea,Crystal Palace,1 - 1
190,19,23/12/2017 15:00,London Stadium,West Ham,Newcastle,2 - 3
183,19,23/12/2017 17:30,Turf Moor,Burnley,Spurs,0 - 3
185,19,23/12/2017 19:45,King Power Stadium,Leicester,Man Utd,2 - 2
198,20,26/12/2017 12:30,Wembley Stadium,Spurs,Southampton,5 - 2
191,20,26/12/2017 15:00,Vitality Stadium,Bournemouth,West Ham,3 - 3
192,20,26/12/2017 15:00,Stamford Bridge,Chelsea,Brighton,2 - 0
194,20,26/12/2017 15:00,John Smith's Stadium,Huddersfield,Stoke,1 - 1
196,20,26/12/2017 15:00,Old Trafford,Man Utd,Burnley,2 - 2
199,20,26/12/2017 15:00,Vicarage Road,Watford,Leicester,2 - 1
200,20,26/12/2017 15:00,The Hawthorns,West Brom,Everton,0 - 0
195,20,26/12/2017 17:30,Anfield,Liverpool,Swansea,5 - 0
197,20,27/12/2017 19:45,St. James' Park,Newcastle,Man City,0 - 1
193,20,28/12/2017 20:00,Selhurst Park,Crystal Palace,Arsenal,2 - 3
201,21,30/12/2017 15:00,Vitality Stadium,Bournemouth,Everton,2 - 1
202,21,30/12/2017 15:00,Stamford Bridge,Chelsea,Stoke,5 - 0
204,21,30/12/2017 15:00,John Smith's Stadium,Huddersfield,Burnley,0 - 0
205,21,30/12/2017 15:00,Anfield,Liverpool,Leicester,2 - 1
207,21,30/12/2017 15:00,St. James' Park,Newcastle,Brighton,0 - 0
209,21,30/12/2017 15:00,Vicarage Road,Watford,Swansea,1 - 2
206,21,30/12/2017 17:30,Old Trafford,Man Utd,Southampton,0 - 0
203,21,31/12/2017 12:00,Selhurst Park,Crystal Palace,Man City,0 - 0
210,21,31/12/2017 16:30,The Hawthorns,West Brom,Arsenal,1 - 1
212,22,01/01/2018 12:30,Amex Stadium,Brighton,Bournemouth,2 - 2
213,22,01/01/2018 15:00,Turf Moor,Burnley,Liverpool,1 - 2
215,22,01/01/2018 15:00,King Power Stadium,Leicester,Huddersfield,3 - 0
218,22,01/01/2018 15:00,bet365 Stadium,Stoke,Newcastle,0 - 1
214,22,01/01/2018 17:30,Goodison Park,Everton,Man Utd,0 - 2
217,22,02/01/2018 19:45,St. Mary's Stadium,Southampton,Crystal Palace,1 - 2
219,22,02/01/2018 19:45,Liberty Stadium,Swansea,Spurs,0 - 2
220,22,02/01/2018 19:45,London Stadium,West Ham,West Brom,2 - 1
216,22,02/01/2018 20:00,Etihad Stadium,Man City,Watford,3 - 1
211,22,03/01/2018 19:45,Emirates Stadium,Arsenal,Chelsea,2 - 2
208,22,04/01/2018 20:00,Wembley Stadium,Spurs,West Ham,1 - 1
222,23,13/01/2018 15:00,Stamford Bridge,Chelsea,Leicester,0 - 0
223,23,13/01/2018 15:00,Selhurst Park,Crystal Palace,Burnley,1 - 0
224,23,13/01/2018 15:00,John Smith's Stadium,Huddersfield,West Ham,1 - 4
227,23,13/01/2018 15:00,St. James' Park,Newcastle,Swansea,1 - 1
229,23,13/01/2018 15:00,Vicarage Road,Watford,Southampton,2 - 2
230,23,13/01/2018 15:00,The Hawthorns,West Brom,Brighton,2 - 0
228,23,13/01/2018 17:30,Wembley Stadium,Spurs,Everton,4 - 0
221,23,14/01/2018 13:30,Vitality Stadium,Bournemouth,Arsenal,2 - 1
225,23,14/01/2018 16:00,Anfield,Liverpool,Man City,4 - 3
226,23,15/01/2018 20:00,Old Trafford,Man Utd,Stoke,3 - 0
232,24,20/01/2018 12:30,Amex Stadium,Brighton,Chelsea,0 - 4
231,24,20/01/2018 15:00,Emirates Stadium,Arsenal,Crystal Palace,4 - 1
233,24,20/01/2018 15:00,Turf Moor,Burnley,Man Utd,0 - 1
234,24,20/01/2018 15:00,Goodison Park,Everton,West Brom,1 - 1
235,24,20/01/2018 15:00,King Power Stadium,Leicester,Watford,2 - 0
238,24,20/01/2018 15:00,bet365 Stadium,Stoke,Huddersfield,2 - 0
240,24,20/01/2018 15:00,London Stadium,West Ham,Bournemouth,1 - 1
236,24,20/01/2018 17:30,Etihad Stadium,Man City,Newcastle,3 - 1
237,24,21/01/2018 16:00,St. Mary's Stadium,Southampton,Spurs,1 - 1
239,24,22/01/2018 20:00,Liberty Stadium,Swansea,Liverpool,1 - 0
242,25,30/01/2018 19:45,Liberty Stadium,Swansea,Arsenal,3 - 1
243,25,30/01/2018 19:45,London Stadium,West Ham,Crystal Palace,1 - 1
241,25,30/01/2018 20:00,John Smith's Stadium,Huddersfield,Liverpool,0 - 3
244,25,31/01/2018 19:45,Stamford Bridge,Chelsea,Bournemouth,0 - 3
245,25,31/01/2018 19:45,Goodison Park,Everton,Leicester,2 - 1
246,25,31/01/2018 19:45,St. James' Park,Newcastle,Burnley,1 - 1
247,25,31/01/2018 19:45,St. Mary's Stadium,Southampton,Brighton,1 - 1
248,25,31/01/2018 20:00,Etihad Stadium,Man City,West Brom,3 - 0
249,25,31/01/2018 20:00,bet365 Stadium,Stoke,Watford,0 - 0
250,25,31/01/2018 20:00,Wembley Stadium,Spurs,Man Utd,2 - 0
254,26,03/02/2018 12:30,Turf Moor,Burnley,Man City,1 - 1
252,26,03/02/2018 15:00,Vitality Stadium,Bournemouth,Stoke,2 - 1
253,26,03/02/2018 15:00,Amex Stadium,Brighton,West Ham,3 - 1
256,26,03/02/2018 15:00,King Power Stadium,Leicester,Swansea,1 - 1
258,26,03/02/2018 15:00,Old Trafford,Man Utd,Huddersfield,2 - 0
260,26,03/02/2018 15:00,The Hawthorns,West Brom,Southampton,2 - 3
251,26,03/02/2018 17:30,Emirates Stadium,Arsenal,Everton,5 - 1
255,26,04/02/2018 14:15,Selhurst Park,Crystal Palace,Newcastle,1 - 1
257,26,04/02/2018 16:30,Anfield,Liverpool,Spurs,2 - 2
259,26,05/02/2018 20:00,Vicarage Road,Watford,Chelsea,4 - 1
269,27,10/02/2018 12:30,Wembley Stadium,Spurs,Arsenal,1 - 0
262,27,10/02/2018 15:00,Goodison Park,Everton,Crystal Palace,3 - 1
267,27,10/02/2018 15:00,bet365 Stadium,Stoke,Brighton,1 - 1
268,27,10/02/2018 15:00,Liberty Stadium,Swansea,Burnley,1 - 0
270,27,10/02/2018 15:00,London Stadium,West Ham,Watford,2 - 0
264,27,10/02/2018 17:30,Etihad Stadium,Man City,Leicester,5 - 1
263,27,11/02/2018 12:00,John Smith's Stadium,Huddersfield,Bournemouth,4 - 1
265,27,11/02/2018 14:15,St. James' Park,Newcastle,Man Utd,1 - 0
266,27,11/02/2018 16:30,St. Mary's Stadium,Southampton,Liverpool,0 - 2
261,27,12/02/2018 20:00,Stamford Bridge,Chelsea,West Brom,3 - 0
276,28,24/02/2018 12:30,King Power Stadium,Leicester,Stoke,1 - 1
272,28,24/02/2018 15:00,Vitality Stadium,Bournemouth,Newcastle,2 - 2
273,28,24/02/2018 15:00,Amex Stadium,Brighton,Swansea,4 - 1
274,28,24/02/2018 15:00,Turf Moor,Burnley,Southampton,1 - 1
277,28,24/02/2018 15:00,Anfield,Liverpool,West Ham,4 - 1
280,28,24/02/2018 15:00,The Hawthorns,West Brom,Huddersfield,1 - 2
279,28,24/02/2018 17:30,Vicarage Road,Watford,Everton,1 - 0
275,28,25/02/2018 12:00,Selhurst Park,Crystal Palace,Spurs,0 - 1
278,28,25/02/2018 14:05,Old Trafford,Man Utd,Chelsea,2 - 1
271,29,01/03/2018 19:45,Emirates Stadium,Arsenal,Man City,0 - 3
282,29,03/03/2018 12:30,Turf Moor,Burnley,Everton,2 - 1
284,29,03/03/2018 15:00,King Power Stadium,Leicester,Bournemouth,1 - 1
287,29,03/03/2018 15:00,St. Mary's Stadium,Southampton,Stoke,0 - 0
288,29,03/03/2018 15:00,Liberty Stadium,Swansea,West Ham,4 - 1
289,29,03/03/2018 15:00,Wembley Stadium,Spurs,Huddersfield,2 - 0
290,29,03/03/2018 15:00,Vicarage Road,Watford,West Brom,1 - 0
285,29,03/03/2018 17:30,Anfield,Liverpool,Newcastle,2 - 0
281,29,04/03/2018 13:30,Amex Stadium,Brighton,Arsenal,2 - 1
286,29,04/03/2018 16:00,Etihad Stadium,Man City,Chelsea,1 - 0
283,29,05/03/2018 20:00,Selhurst Park,Crystal Palace,Man Utd,2 - 3
296,30,10/03/2018 12:30,Old Trafford,Man Utd,Liverpool,2 - 1
294,30,10/03/2018 15:00,Goodison Park,Everton,Brighton,2 - 0
295,30,10/03/2018 15:00,John Smith's Stadium,Huddersfield,Swansea,0 - 0
297,30,10/03/2018 15:00,St. James' Park,Newcastle,Southampton,3 - 0
299,30,10/03/2018 15:00,The Hawthorns,West Brom,Leicester,1 - 4
300,30,10/03/2018 15:00,London Stadium,West Ham,Burnley,0 - 3
293,30,10/03/2018 17:30,Stamford Bridge,Chelsea,Crystal Palace,2 - 1
291,30,11/03/2018 13:30,Emirates Stadium,Arsenal,Watford,3 - 0
292,30,11/03/2018 16:00,Vitality Stadium,Bournemouth,Spurs,1 - 4
298,30,12/03/2018 20:00,bet365 Stadium,Stoke,Man City,0 - 2
301,31,17/03/2018 15:00,Vitality Stadium,Bournemouth,West Brom,2 - 1
303,31,17/03/2018 15:00,John Smith's Stadium,Huddersfield,Crystal Palace,0 - 2
307,31,17/03/2018 15:00,bet365 Stadium,Stoke,Everton,1 - 2
305,31,17/03/2018 17:30,Anfield,Liverpool,Watford,5 - 0
314,32,31/03/2018 12:30,Selhurst Park,Crystal Palace,Liverpool,1 - 2
312,32,31/03/2018 15:00,Amex Stadium,Brighton,Leicester,0 - 2
316,32,31/03/2018 15:00,Old Trafford,Man Utd,Swansea,2 - 0
317,32,31/03/2018 15:00,St. James' Park,Newcastle,Huddersfield,1 - 0
318,32,31/03/2018 15:00,London Stadium,West Ham,Southampton,3 - 0
319,32,31/03/2018 15:00,Vicarage Road,Watford,Bournemouth,2 - 2
320,32,31/03/2018 15:00,The Hawthorns,West Brom,Burnley,1 - 2
315,32,31/03/2018 17:30,Goodison Park,Everton,Man City,1 - 3
311,32,01/04/2018 13:30,Emirates Stadium,Arsenal,Stoke,3 - 0
313,32,01/04/2018 16:00,Stamford Bridge,Chelsea,Spurs,1 - 3
325,33,07/04/2018 12:30,Goodison Park,Everton,Liverpool,0 - 0
322,33,07/04/2018 15:00,Vitality Stadium,Bournemouth,Crystal Palace,2 - 2
323,33,07/04/2018 15:00,Amex Stadium,Brighton,Huddersfield,1 - 1
326,33,07/04/2018 15:00,King Power Stadium,Leicester,Newcastle,1 - 2
328,33,07/04/2018 15:00,bet365 Stadium,Stoke,Spurs,1 - 2
329,33,07/04/2018 15:00,Vicarage Road,Watford,Burnley,1 - 2
330,33,07/04/2018 15:00,The Hawthorns,West Brom,Swansea,1 - 1
327,33,07/04/2018 17:30,Etihad Stadium,Man City,Man Utd,2 - 3
321,33,08/04/2018 14:15,Emirates Stadium,Arsenal,Southampton,3 - 2
324,33,08/04/2018 16:30,Stamford Bridge,Chelsea,West Ham,1 - 1
337,34,14/04/2018 12:30,St. Mary's Stadium,Southampton,Chelsea,2 - 3
331,34,14/04/2018 15:00,Turf Moor,Burnley,Leicester,2 - 1
332,34,14/04/2018 15:00,Selhurst Park,Crystal Palace,Brighton,3 - 2
333,34,14/04/2018 15:00,John Smith's Stadium,Huddersfield,Watford,1 - 0
338,34,14/04/2018 15:00,Liberty Stadium,Swansea,Everton,1 - 1
334,34,14/04/2018 17:30,Anfield,Liverpool,Bournemouth,3 - 0
339,34,14/04/2018 19:45,Wembley Stadium,Spurs,Man City,1 - 3
336,34,15/04/2018 13:30,St. James' Park,Newcastle,Arsenal,2 - 1
335,34,15/04/2018 16:00,Old Trafford,Man Utd,West Brom,0 - 1
340,34,16/04/2018 20:00,London Stadium,West Ham,Stoke,1 - 1
343,35,17/04/2018 19:45,Amex Stadium,Brighton,Spurs,1 - 1
342,35,18/04/2018 19:45,Vitality Stadium,Bournemouth,Man Utd,0 - 2
302,35,19/04/2018 19:45,Turf Moor,Burnley,Chelsea,1 - 2
346,35,19/04/2018 19:45,King Power Stadium,Leicester,Southampton,0 - 0
350,35,21/04/2018 12:30,The Hawthorns,West Brom,Liverpool,2 - 2
349,35,21/04/2018 15:00,Vicarage Road,Watford,Crystal Palace,0 - 0
341,35,22/04/2018 13:30,Emirates Stadium,Arsenal,West Ham,4 - 1
348,35,22/04/2018 13:30,bet365 Stadium,Stoke,Burnley,1 - 1
347,35,22/04/2018 16:30,Etihad Stadium,Man City,Swansea,5 - 0
345,35,23/04/2018 20:00,Goodison Park,Everton,Newcastle,1 - 0
354,36,28/04/2018 12:30,Anfield,Liverpool,Stoke,0 - 0
351,36,28/04/2018 15:00,Turf Moor,Burnley,Brighton,0 - 0
352,36,28/04/2018 15:00,Selhurst Park,Crystal Palace,Leicester,5 - 0
353,36,28/04/2018 15:00,John Smith's Stadium,Huddersfield,Everton,0 - 2
